계획,이수구분(주전공),이수구분(다전공),공학인증,교과영역,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),과정,수강대상
,전공_IT경영,,,,5043723901,미래IT기술 인사이트,,,,신용태,IT정책경영학과,3.0/3.0,0,100,"토 16:20-17:10 (-신용태)
토 17:20-18:10 (-신용태)
토 18:20-19:10 (-신용태)",석박과정,전체
,전선_목회상담,,,,5045963401, 상담사례개념화,,,,신선임,기독교상담학과,3.0/3.0,0,100,월 15:00-17:15 (-신선임),석사과정,전체
,전기-AI융합/전기-IT융합/전기-건축공학/전기-건축학/전기-건축학부/전기-기계/전기-물리/전기-신소재/전기-의생명시스템/전기-전기/전기-전자공학/전기-화공/전기-화학/전선-소프트/전선-컴퓨터,복선-컴퓨터,,,5006762801,(공통)물리1및실험,,,,"이순녀
최현희",물리학과,4.0/3.0,0,25,"월 13:00-13:50 (조만식기념관 12214-이순녀)
월 14:00-14:50 (조만식기념관 12214-이순녀)
월 15:00-15:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)
월 16:00-16:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)",학사과정,"전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-AI융합/전기-IT융합/전기-건축공학/전기-건축학/전기-건축학부/전기-기계/전기-물리/전기-신소재/전기-의생명시스템/전기-전기/전기-전자공학/전기-화공/전기-화학/전선-소프트/전선-컴퓨터,복선-컴퓨터,,,5006762802,(공통)물리1및실험,,,,김남미,물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12123-김남미)
수 14:00-14:50 (조만식기념관 12123-김남미)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)",학사과정,"전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-AI융합/전기-IT융합/전기-건축공학/전기-건축학/전기-건축학부/전기-기계/전기-물리/전기-신소재/전기-의생명시스템/전기-전기/전기-전자공학/전기-화공/전기-화학/전선-소프트/전선-컴퓨터,복선-컴퓨터,,,5006762803,(공통)물리1및실험,,,,"김남미
이순녀",물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12124-이순녀)
수 14:00-14:50 (조만식기념관 12124-이순녀)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)",학사과정,"전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-물리/전기-산업·정보/전기-신소재/전기-의생명시스템/전기-전기/전기-화공/전기-화학,,,,5006763001,화학1및실험,,,,장상목,화학과,4.0/3.0,0,25,"화 15:00-15:50 (숭덕경상관 02318-장상목)
화 16:00-16:50 (숭덕경상관 02318-장상목)
목 14:00-14:50 (베어드홀 01213 (일반화학실험실)-장상목)
목 15:00-15:50 (베어드홀 01213 (일반화학실험실)-장상목)",학사과정,"전체학년 물리 ,산업정보 ,신소재 ,의생명시스템 ,전기 ,화공 ,화학"
,교필,,,,2150105001,(외국인을위한)대학글쓰기,,,,김연주,교양교육운영팀,2.0/2.0,0,30,"월 11:00-11:50 (미래관 20406-김연주)
월 12:00-12:50 (미래관 20406-김연주)",학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교필,,,,2150105002,(외국인을위한)대학글쓰기,,,,김희진,교양교육운영팀,2.0/2.0,0,30,"월 11:00-11:50 (진리관 11522 (이효계강의실)-김희진)
월 12:00-12:50 (진리관 11522 (이효계강의실)-김희진)",학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교필,,,,2150105003,(외국인을위한)대학글쓰기,,,,정회란,교양교육운영팀,2.0/2.0,0,30,"월 11:00-11:50 (교육관 06302-정회란)
월 12:00-12:50 (교육관 06302-정회란)",학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
,교필,,,,2150105004,(외국인을위한)대학글쓰기,,,,김연주,교양교육운영팀,2.0/2.0,0,30,"목 11:00-11:50 (교육관 06202-김연주)
목 12:00-12:50 (교육관 06202-김연주)",학사과정,전체학년 ;순수외국인입학생 (대상외수강제한)
