course_code,course_name,track_type,completion_type,department_id,department_name,raw_classification,raw_department_token
2150161401,프로그래밍기초1,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150161402,프로그래밍기초1,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150161403,프로그래밍기초1,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150161404,프로그래밍기초1,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150161405,프로그래밍기초1,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150161406,프로그래밍기초1,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150161407,프로그래밍기초1,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150161601,프로그래밍기초2,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150162201,기초AI수학,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150162202,기초AI수학,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150162203,기초AI수학,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150162204,기초AI수학,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150162205,기초AI수학,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150162301,이산수학,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150162302,이산수학,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150162303,이산수학,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150162304,이산수학,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163101,확률및통계,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163102,확률및통계,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163103,확률및통계,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163104,확률및통계,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163201,자료구조,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163202,자료구조,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163203,자료구조,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163204,자료구조,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163205,자료구조,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163206,자료구조,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163701,머신러닝,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163702,머신러닝,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163703,머신러닝,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163704,머신러닝,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163801,컴퓨터구조,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163802,컴퓨터구조,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163803,컴퓨터구조,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163804,컴퓨터구조,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163805,컴퓨터구조,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163806,컴퓨터구조,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150164001,고급AI수학,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150164002,고급AI수학,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150164003,고급AI수학,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150164004,고급AI수학,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150164005,고급AI수학,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150164101,고급프로그래밍,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150164102,고급프로그래밍,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150164103,고급프로그래밍,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150164104,고급프로그래밍,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150164105,고급프로그래밍,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150164106,고급프로그래밍,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150164107,고급프로그래밍,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150164108,고급프로그래밍,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150165001,빅데이터분석,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150165002,빅데이터분석,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150165301,프로그래밍언어,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150165302,프로그래밍언어,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150165303,프로그래밍언어,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150165701,네트워크,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150165702,네트워크,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150165703,네트워크,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150165704,네트워크,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150165801,시스템프로그래밍,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150165802,시스템프로그래밍,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150165803,시스템프로그래밍,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150165901,암호응용,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150166001,데이터사이언스,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150166002,데이터사이언스,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150166101,딥러닝프로그래밍,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150166102,딥러닝프로그래밍,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150166103,딥러닝프로그래밍,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150166104,딥러닝프로그래밍,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150166201,로봇프로그래밍,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150167401,소프트웨어특강1,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150167501,캡스톤디자인,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150167502,캡스톤디자인,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150167601,고급캡스톤디자인,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150167602,고급캡스톤디자인,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150167603,고급캡스톤디자인,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150167604,고급캡스톤디자인,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150167605,고급캡스톤디자인,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150167801,시스템보안,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150167901,네트워크보안,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150168201,정보보호프로젝트1,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150168401,컴퓨터비전,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150168402,컴퓨터비전,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150168601,AI가속기,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150168602,AI가속기,DOUBLE_MAJOR,ELECTIVE,9,AI소프트웨어학부,복선,AI소프트
2150163301,알고리즘,DOUBLE_MAJOR,REQUIRED,9,AI소프트웨어학부,복필,AI소프트
2150163302,알고리즘,DOUBLE_MAJOR,REQUIRED,9,AI소프트웨어학부,복필,AI소프트
2150165401,운영체제,DOUBLE_MAJOR,REQUIRED,9,AI소프트웨어학부,복필,AI소프트
2150165402,운영체제,DOUBLE_MAJOR,REQUIRED,9,AI소프트웨어학부,복필,AI소프트
2150059401,[심화]Co-op SAP 트랙,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150064501,오픈소스기반고급설계,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150156801,Co-op클라우드트랙,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150161401,프로그래밍기초1,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150161402,프로그래밍기초1,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150161403,프로그래밍기초1,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150161404,프로그래밍기초1,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150161405,프로그래밍기초1,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150161406,프로그래밍기초1,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150161407,프로그래밍기초1,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150161601,프로그래밍기초2,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150162201,기초AI수학,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150162202,기초AI수학,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150162203,기초AI수학,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150162204,기초AI수학,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150162205,기초AI수학,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150162301,이산수학,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150162302,이산수학,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
