계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전선-정보보호,,,2150130001,기초프로그래밍,,,,김명호,정보보호학과(계약학과),3.0/3.0,0,40,"화 09:00-10:15 (정보과학관 21406-김명호)
화 10:30-11:45 (정보과학관 21406-김명호)",1학년 정보보호학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-정보보호,,,2150130301,정보보호개론,,,,최대선,정보보호학과(계약학과),3.0/3.0,0,40,"수 09:00-10:15 (정보과학관 21406-최대선)
수 10:30-11:45 (정보과학관 21406-최대선)",1학년 정보보호학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-정보보호,,,2150130101,컴퓨터개념이해,,EL+,,조해현,정보보호학과(계약학과),3.0/3.0,0,40,"월 09:00-10:15 (정보과학관 21406-조해현)
월 10:30-11:45 (정보과학관 21406-조해현)",1학년 정보보호학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-정보보호,,,2150131301,객체지향프로그래밍,,,,하석재,정보보호학과(계약학과),3.0/3.0,0,40,월 수 15:00-16:15 (정보과학관 21406-하석재),2학년 정보보호학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-정보보호,,,2150131401,모바일프로그래밍,,,,옥도민,정보보호학과(계약학과),3.0/3.0,0,40,"목 15:00-16:15 (정보과학관 21406-옥도민)
목 16:30-17:45 (정보과학관 21406-옥도민)",2학년 정보보호학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-정보보호,,,2150131501,웹해킹과보안,,,,한승훈,정보보호학과(계약학과),3.0/3.0,0,40,"화 15:00-16:15 (정보과학관 21403-한승훈)
수 10:30-11:45 (정보과학관 21403-한승훈)",2학년 정보보호학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-정보보호,,,2150130901,자료구조,,EL+,,이상준,정보보호학과(계약학과),3.0/3.0,0,40,월 수 16:30-17:45 (정보과학관 21406-이상준),2학년 정보보호학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-정보보호,,,2150131001,컴퓨터구조,,,,공영호,정보보호학과(계약학과),3.0/3.0,0,40,"월 12:00-13:15 (정보과학관 21406-공영호)
월 13:30-14:45 (정보과학관 21406-공영호)",2학년 정보보호학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-정보보호,,,2150133201,네트워크프로그래밍,,,,주경호,정보보호학과(계약학과),3.0/3.0,0,40,화 목 15:00-16:15 (정보과학관 21303-주경호),3학년 정보보호학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-정보보호,,,2150133501,데이터베이스,,,,정진홍,정보보호학과(계약학과),3.0/3.0,0,40,화 목 13:30-14:45 (정보과학관 21406-정진홍),3학년 정보보호학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-정보보호,,,2150133301,보안프로그래밍,,,,하진철,정보보호학과(계약학과),3.0/3.0,0,40,"금 10:30-11:45 (정보과학관 21406-하진철)
금 12:00-13:15 (정보과학관 21406-하진철)",3학년 정보보호학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-정보보호,,,2150132901,시스템프로그래밍,,,,한승훈,정보보호학과(계약학과),3.0/3.0,0,40,"화 10:30-11:45 (정보과학관 21403-한승훈)
화 12:00-13:15 (정보과학관 21403-한승훈)",3학년 정보보호학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-정보보호,,,2150133401,인공지능,,,,김창훈,정보보호학과(계약학과),3.0/3.0,0,40,수 목 12:00-13:15 (정보과학관 21406-김창훈),3학년 정보보호학과(계약학과) (대상외수강제한)(대상외수강제한)
