계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-글로벌미디어,복선-글로벌미디어/부선-글로벌미디어/융선-뉴미디어콘텐츠융합,,2150533504,Art & Technology,,, (공통-재수강),전석,글로벌미디어학부,3.0/3.0,0,40,"월 10:30-11:45 (정보과학관 21403-전석)
월 12:00-13:15 (정보과학관 21403-전석)","전체학년 글로벌미디어,뉴미디어콘텐츠융합"
,전선-글로벌미디어,복선-글로벌미디어/부선-글로벌미디어,,2150156801,Co-op클라우드트랙,,,,최종석,SW교육팀,6.0/6.0,0,0,"화 15:00-16:15 (전산관 19328 (첨단PC실습실)-최종석)
화 16:30-17:45 (전산관 19328 (첨단PC실습실)-최종석)
목 15:00-16:15 (전산관 19328 (첨단PC실습실)-최종석)
목 16:30-17:45 (전산관 19328 (첨단PC실습실)-최종석)",전체
,전필-글로벌미디어,복필-글로벌미디어/부선-글로벌미디어,,2150457405,UX/UI디자인,,, (공통-재수강),김연숙,글로벌미디어학부,3.0/3.0,0,40,"수 10:30-11:45 (정보과학관 21503 (실습실)-김연숙)
수 12:00-13:15 (정보과학관 21503 (실습실)-김연숙)",전체학년 글로벌미디어
,전선-글로벌미디어,복선-글로벌미디어,,2150059401,[심화]Co-op SAP 트랙,,,,"홍지만
최종석",SW교육팀,6.0/6.0,0,0,"월 화 18:00-19:15 (전산관 19328 (첨단PC실습실)-홍지만)
수 목 18:00-19:15 (전산관 19328 (첨단PC실습실)-최종석)",전체
,전필-글로벌미디어,복선-글로벌미디어/부선-글로벌미디어,,2150451504,디지털미디어원리,,, (공통-재수강),정다니엘,글로벌미디어학부,3.0/3.0,0,40,"금 15:00-16:15 (정보과학관 21601-정다니엘)
금 16:30-17:45 (정보과학관 21601-정다니엘)",전체학년 글로벌미디어
,전기-글로벌미디어,복필-글로벌미디어/부선-글로벌미디어,,5010232504,프로그래밍1및실습,,, (공통-재수강),장수호,글로벌미디어학부,4.0/3.0,0,40,"화 10:00-10:50 (정보과학관 21503 (실습실)-장수호)
화 11:00-11:50 (정보과학관 21503 (실습실)-장수호)
목 10:00-10:50 (정보과학관 21503 (실습실)-장수호)
목 11:00-11:50 (정보과학관 21503 (실습실)-장수호)",전체학년 글로벌미디어
,전기-글로벌미디어,복선-글로벌미디어/부선-글로벌미디어/융선-뉴미디어콘텐츠융합,,2150533501,Art & Technology,가,,,정기철,글로벌미디어학부,3.0/3.0,0,40,화 목 09:00-10:15 (정보과학관 21501-정기철),"1학년 글로벌미디어,뉴미디어콘텐츠융합"
,전기-글로벌미디어,복선-글로벌미디어/부선-글로벌미디어/융선-뉴미디어콘텐츠융합,,2150533502,Art & Technology,나,,,정기철,글로벌미디어학부,3.0/3.0,0,40,화 목 10:30-11:45 (정보과학관 21501-정기철),"1학년 글로벌미디어,뉴미디어콘텐츠융합"
,전기-글로벌미디어,복선-글로벌미디어/부선-글로벌미디어/융선-뉴미디어콘텐츠융합,,2150533503,Art & Technology,다,,,정기철,글로벌미디어학부,3.0/3.0,0,40,화 목 13:30-14:45 (정보과학관 21501-정기철),"1학년 글로벌미디어,뉴미디어콘텐츠융합"
,전기-글로벌미디어,복선-글로벌미디어/부선-글로벌미디어,,2150522301,기초조형및실습,가,,,윤인정,글로벌미디어학부,4.0/3.0,0,40,"목 12:00-12:50 (정보과학관 21507 (미디어스튜디오)-윤인정)
목 13:00-13:50 (정보과학관 21507 (미디어스튜디오)-윤인정)
금 15:30-16:20 (정보과학관 21507 (미디어스튜디오)-윤인정)
금 16:30-17:20 (정보과학관 21507 (미디어스튜디오)-윤인정)",1학년 글로벌미디어
,전기-글로벌미디어,복선-글로벌미디어/부선-글로벌미디어,,2150522302,기초조형및실습,나,,,윤인정,글로벌미디어학부,4.0/3.0,0,40,"목 14:00-14:50 (정보과학관 21507 (미디어스튜디오)-윤인정)
목 15:00-15:50 (정보과학관 21507 (미디어스튜디오)-윤인정)
금 10:00-10:50 (정보과학관 21507 (미디어스튜디오)-윤인정)
금 11:00-11:50 (정보과학관 21507 (미디어스튜디오)-윤인정)",1학년 글로벌미디어
,전기-글로벌미디어,복선-글로벌미디어/부선-글로벌미디어,,2150522303,기초조형및실습,다,,,윤인정,글로벌미디어학부,4.0/3.0,0,40,"목 16:00-16:50 (정보과학관 21507 (미디어스튜디오)-윤인정)
목 17:00-17:50 (정보과학관 21507 (미디어스튜디오)-윤인정)
금 13:30-14:20 (정보과학관 21507 (미디어스튜디오)-윤인정)
금 14:30-15:20 (정보과학관 21507 (미디어스튜디오)-윤인정)",1학년 글로벌미디어
,전선-글로벌미디어,복선-글로벌미디어/부선-글로벌미디어,,2150540901,인공지능수학,가,,,박진호,글로벌미디어학부,3.0/3.0,0,40,"월 15:00-16:15 (정보과학관 21501-박진호)
금 13:30-14:45 (정보과학관 21501-박진호)",1학년 글로벌미디어
,전선-글로벌미디어,복선-글로벌미디어/부선-글로벌미디어,,2150540902,인공지능수학,나,,,박진호,글로벌미디어학부,3.0/3.0,0,40,월 금 16:30-17:45 (정보과학관 21501-박진호),1학년 글로벌미디어
,전기-글로벌미디어,복필-글로벌미디어/부선-글로벌미디어,,5010232501,프로그래밍1및실습,가,,,오경수,글로벌미디어학부,4.0/3.0,0,40,"화 10:30-11:20 (정보과학관 21508 (디지털미디어스튜디오)-오경수)
화 11:30-12:20 (정보과학관 21508 (디지털미디어스튜디오)-오경수)
금 10:30-11:20 (정보과학관 21508 (디지털미디어스튜디오)-오경수)
금 11:30-12:20 (정보과학관 21508 (디지털미디어스튜디오)-오경수)",1학년 글로벌미디어
,전기-글로벌미디어,복필-글로벌미디어/부선-글로벌미디어,,5010232502,프로그래밍1및실습,나,,,오경수,글로벌미디어학부,4.0/3.0,0,40,"화 13:30-14:20 (정보과학관 21508 (디지털미디어스튜디오)-오경수)
화 14:30-15:20 (정보과학관 21508 (디지털미디어스튜디오)-오경수)
금 13:30-14:20 (정보과학관 21508 (디지털미디어스튜디오)-오경수)
금 14:30-15:20 (정보과학관 21508 (디지털미디어스튜디오)-오경수)",1학년 글로벌미디어
,전기-글로벌미디어,복필-글로벌미디어/부선-글로벌미디어,,5010232503,프로그래밍1및실습,다,,,오경수,글로벌미디어학부,4.0/3.0,0,40,"화 15:30-16:20 (정보과학관 21508 (디지털미디어스튜디오)-오경수)
화 16:30-17:20 (정보과학관 21508 (디지털미디어스튜디오)-오경수)
금 15:30-16:20 (정보과학관 21508 (디지털미디어스튜디오)-오경수)
금 16:30-17:20 (정보과학관 21508 (디지털미디어스튜디오)-오경수)",1학년 글로벌미디어
,전필-글로벌미디어,복필-글로벌미디어/부선-글로벌미디어,,2150457401,UX/UI디자인,가,,,박재완,글로벌미디어학부,3.0/3.0,0,40,"수 12:00-13:15 (정보과학관 21501-박재완)
수 13:30-14:45 (정보과학관 21501-박재완)",2학년 글로벌미디어
,전필-글로벌미디어,복필-글로벌미디어/부선-글로벌미디어,,2150457402,UX/UI디자인,나,영어,,윤준성,글로벌미디어학부,3.0/3.0,0,40,목 금 13:30-14:45 (정보과학관 21601-윤준성),2학년 글로벌미디어
,전필-글로벌미디어,복필-글로벌미디어/부선-글로벌미디어,,2150457403,UX/UI디자인,다,,,,글로벌미디어학부,3.0/3.0,0,40,"월 12:00-13:15 (정보과학관 21507 (미디어스튜디오)-)
월 13:30-14:45 (정보과학관 21507 (미디어스튜디오)-)",2학년 글로벌미디어
,전필-글로벌미디어,복필-글로벌미디어/부선-글로벌미디어,,2150457404,UX/UI디자인,라,,,김연숙,글로벌미디어학부,3.0/3.0,0,40,"목 15:00-16:15 (정보과학관 21503 (실습실)-김연숙)
목 16:30-17:45 (정보과학관 21503 (실습실)-김연숙)",2학년 글로벌미디어
,전선-글로벌미디어,복선-글로벌미디어/부선-글로벌미디어,,2150661001,데이터사이언스,가,EL+,,안용대,글로벌미디어학부,3.0/3.0,0,40,"화 13:30-14:45 (정보과학관 21502 (실습실)-안용대)
목 15:00-16:15 (정보과학관 21502 (실습실)-안용대)",2학년 글로벌미디어
,전선-글로벌미디어,복선-글로벌미디어/부선-글로벌미디어,,2150661002,데이터사이언스,나,EL+,,안용대,글로벌미디어학부,3.0/3.0,0,40,"화 15:00-16:15 (정보과학관 21502 (실습실)-안용대)
목 13:30-14:45 (정보과학관 21502 (실습실)-안용대)",2학년 글로벌미디어
,전필-글로벌미디어,복선-글로벌미디어/부선-글로벌미디어,,2150451501,디지털미디어원리,가,,,김동호,글로벌미디어학부,3.0/3.0,0,40,"화 13:30-14:45 (정보과학관 21601-김동호)
수 10:30-11:45 (정보과학관 21601-김동호)",2학년 글로벌미디어
,전필-글로벌미디어,복선-글로벌미디어/부선-글로벌미디어,,2150451502,디지털미디어원리,나,,,김동호,글로벌미디어학부,3.0/3.0,0,40,"화 15:00-16:15 (정보과학관 21601-김동호)
수 13:30-14:45 (정보과학관 21601-김동호)",2학년 글로벌미디어
