계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-디지털미디어,복선-디지털미디어/부선-디지털미디어,,2150681201,미디어제작,,대면+녹화,,,디지털미디어학과,3.0/3.0,0,40,화 19:30-20:45 (정보과학관 21502 (실습실)-),1학년 디지털미디어(구 미디어경영)
,전기-디지털미디어,복선-디지털미디어/부선-디지털미디어,,2150012501,컴퓨터시스템,,대면+녹화,,정기철,디지털미디어학과,3.0/3.0,0,40,화 21:00-22:15 (정보과학관 21501-정기철),1학년 디지털미디어(구 미디어경영)
,전기-디지털미디어,복필-디지털미디어/부선-디지털미디어,,2150677801,프로그래밍1,개발자반,,,오경수,디지털미디어학과,3.0/3.0,0,40,"토 13:30-14:45 (정보과학관 21508 (디지털미디어스튜디오)-오경수)
토 15:00-16:15 (정보과학관 21508 (디지털미디어스튜디오)-오경수)",1학년 디지털미디어(구 미디어경영)
,전기-디지털미디어,복필-디지털미디어/부선-디지털미디어,,2150677802,프로그래밍1,비개발자반,,,정기철,디지털미디어학과,3.0/3.0,0,40,"월 19:30-20:45 (정보과학관 21503 (실습실)-정기철)
월 21:00-22:15 (정보과학관 21503 (실습실)-정기철)",1학년 디지털미디어(구 미디어경영)
,전선-디지털미디어,복선-디지털미디어/부선-디지털미디어,,2150151101,UX방법론,,대면+녹화,,박재완,디지털미디어학과,3.0/3.0,0,40,토 15:00-16:15 (정보과학관 21507 (미디어스튜디오)-박재완),2학년 디지털미디어(구 미디어경영)
,전선-디지털미디어,복선-디지털미디어/부선-디지털미디어,,2150692901,디지털영상,,,,,디지털미디어학과,3.0/3.0,0,40,"월 19:30-20:45 (정보과학관 21502 (실습실)-)
월 21:00-22:15 (정보과학관 21502 (실습실)-)",2학년 디지털미디어(구 미디어경영)
,전선-디지털미디어,복선-디지털미디어/부선-디지털미디어,,2150012901,웹프로그래밍,,"대면+녹화
EL+",,길상혁,디지털미디어학과,3.0/3.0,0,40,화 21:00-22:15 (정보과학관 21503 (실습실)-길상혁),2학년 디지털미디어(구 미디어경영)
,전선-디지털미디어,복선-디지털미디어/부선-디지털미디어,,2150010601,자료구조,,대면+녹화,,박진호,디지털미디어학과,3.0/3.0,0,40,토 13:30-14:45 (정보과학관 21501-박진호),2학년 디지털미디어(구 미디어경영)
,전선-디지털미디어,복선-디지털미디어/부선-디지털미디어,,2150150701,확률과통계,,,,박선룡,디지털미디어학과,3.0/3.0,0,40,"목 19:30-20:45 (정보과학관 21306-박선룡)
목 21:00-22:15 (정보과학관 21306-박선룡)",2학년 디지털미디어(구 미디어경영)
,전선-디지털미디어,복선-디지털미디어/부선-디지털미디어,,2150026701,게임기획과제작,,,,,디지털미디어학과,3.0/3.0,0,40,"목 19:30-20:45 (정보과학관 21601-)
목 21:00-22:15 (정보과학관 21601-)",3학년 디지털미디어(구 미디어경영)
,전선-디지털미디어,복선-디지털미디어/부선-디지털미디어,,2150693001,데이터사이언스,,,,이강희,디지털미디어학과,3.0/3.0,0,40,"월 19:30-20:45 (정보과학관 21508 (디지털미디어스튜디오)-이강희)
월 21:00-22:15 (정보과학관 21508 (디지털미디어스튜디오)-이강희)",3학년 디지털미디어(구 미디어경영)
,전선-디지털미디어,복선-디지털미디어/부선-디지털미디어,,2150012601,디지털스토리텔링,,,,,디지털미디어학과,3.0/3.0,0,40,"토 10:30-11:45 (정보과학관 21501-)
토 12:00-13:15 (정보과학관 21501-)",3학년 디지털미디어(구 미디어경영)
,전선-디지털미디어,복선-디지털미디어/부선-디지털미디어,,2150151401,모바일프로그래밍,,"대면+녹화
EL+",,강범준,디지털미디어학과,3.0/3.0,0,40,토 15:00-16:15 (정보과학관 21503 (실습실)-강범준),3학년 디지털미디어(구 미디어경영)
,전선-디지털미디어,복선-디지털미디어/부선-디지털미디어,,2150010801,컴퓨터그래픽스,,대면+녹화,,이정진,디지털미디어학과,3.0/3.0,0,40,화 19:30-20:45 (정보과학관 21601-이정진),3학년 디지털미디어(구 미디어경영)
,전선-디지털미디어,복선-디지털미디어/부선-디지털미디어,,2150027001,e-비즈니스,,,,,디지털미디어학과,3.0/3.0,0,40,"수 19:30-20:45 (정보과학관 21507 (미디어스튜디오)-)
수 21:00-22:15 (정보과학관 21507 (미디어스튜디오)-)",4학년 디지털미디어(구 미디어경영)
,전선-디지털미디어,복선-디지털미디어/부선-디지털미디어,,2150027301,뉴미디어광고,,,,,디지털미디어학과,3.0/3.0,0,40,"토 10:30-11:45 (정보과학관 21601-)
토 12:00-13:15 (정보과학관 21601-)",4학년 디지털미디어(구 미디어경영)
,전선-디지털미디어,복선-디지털미디어/부선-디지털미디어,,2150151701,운영체제,,,,홍지만,디지털미디어학과,3.0/3.0,0,40,"월 19:30-20:45 (정보과학관 21501-홍지만)
월 21:00-22:15 (정보과학관 21501-홍지만)",4학년 디지털미디어(구 미디어경영)
,전선-디지털미디어,복선-디지털미디어/부선-디지털미디어,,2150010701,핀테크,,,,최형광,디지털미디어학과,3.0/3.0,0,40,"목 19:30-20:45 (미래관 20205-최형광)
목 21:00-22:15 (미래관 20205-최형광)",4학년 디지털미디어(구 미디어경영)
