계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-IT융합,,,5006762801,(공통)물리1및실험,,,,"이순녀
최현희",물리학과,4.0/3.0,0,25,"월 13:00-13:50 (조만식기념관 12214-이순녀)
월 14:00-14:50 (조만식기념관 12214-이순녀)
월 15:00-15:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)
월 16:00-16:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-IT융합,,,5006762802,(공통)물리1및실험,,,,김남미,물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12123-김남미)
수 14:00-14:50 (조만식기념관 12123-김남미)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-IT융합,,,5006762803,(공통)물리1및실험,,,,"김남미
이순녀",물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12124-이순녀)
수 14:00-14:50 (조만식기념관 12124-이순녀)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전선-IT융합,복선-IT융합/부선-IT융합,,2150156801,Co-op클라우드트랙,,,,최종석,SW교육팀,6.0/6.0,0,0,"화 15:00-16:15 (전산관 19328 (첨단PC실습실)-최종석)
화 16:30-17:45 (전산관 19328 (첨단PC실습실)-최종석)
목 15:00-16:15 (전산관 19328 (첨단PC실습실)-최종석)
목 16:30-17:45 (전산관 19328 (첨단PC실습실)-최종석)",전체
,전선-IT융합,복선-IT융합/부선-IT융합,,2150059401,[심화]Co-op SAP 트랙,,,,"홍지만
최종석",SW교육팀,6.0/6.0,0,0,"월 화 18:00-19:15 (전산관 19328 (첨단PC실습실)-홍지만)
수 목 18:00-19:15 (전산관 19328 (첨단PC실습실)-최종석)",전체
,전기-IT융합,복선-IT융합/부선-IT융합,,2150518201,기초공학수학1,,,,손정숙,전자정보공학부 IT융합전공,3.0/3.0,0,40,"월 10:30-11:45 (문화관 03312-손정숙)
금 09:00-10:15 (문화관 03312-손정숙)",1학년 IT융합전공(전자공학 수강제한) (대상외수강제한)(대상외수강제한)
,전기-IT융합,복선-IT융합/부선-IT융합,,2150518202,기초공학수학1,,,,이상민,전자정보공학부 IT융합전공,3.0/3.0,0,40,"월 10:30-11:45 (미래관 20205-이상민)
금 09:00-10:15 (미래관 20205-이상민)",1학년 IT융합전공(전자공학 수강제한) (대상외수강제한)(대상외수강제한)
,전기-IT융합,복선-IT융합/부선-IT융합,,2150518205,기초공학수학1,,,,장미송,전자정보공학부 IT융합전공,3.0/3.0,0,40,"화 09:00-10:15 (문화관 03312-장미송)
금 10:30-11:45 (문화관 03312-장미송)","1학년 IT융합전공 ,전자공학전공 (대상외수강제한)(대상외수강제한)"
,전기-IT융합,복선-IT융합/부선-IT융합,,2150577701,물리1및실험,,,,김남미,전자정보공학부 IT융합전공,4.0/3.0,0,25,"목 09:00-09:50 (백마관 07403-김남미)
목 10:00-10:50 (백마관 07403-김남미)
목 11:00-11:50 (조만식기념관 12214-김남미)
목 12:00-12:50 (조만식기념관 12214-김남미)",1학년 IT융합전공(전자공학수강제한) (대상외수강제한)(대상외수강제한)
,전기-IT융합,복선-IT융합/부선-IT융합,,2150577702,물리1및실험,,,,최현희,전자정보공학부 IT융합전공,4.0/3.0,0,25,"목 09:00-09:50 (조만식기념관 12214-최현희)
목 10:00-10:50 (조만식기념관 12214-최현희)
목 11:00-11:50 (미래관 20305-최현희)
목 12:00-12:50 (미래관 20305-최현희)",1학년 IT융합전공(전자공학수강제한) (대상외수강제한)(대상외수강제한)
