계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-전자공학,,,5006762801,(공통)물리1및실험,,,,"이순녀
최현희",물리학과,4.0/3.0,0,25,"월 13:00-13:50 (조만식기념관 12214-이순녀)
월 14:00-14:50 (조만식기념관 12214-이순녀)
월 15:00-15:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)
월 16:00-16:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-전자공학,,,5006762802,(공통)물리1및실험,,,,김남미,물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12123-김남미)
수 14:00-14:50 (조만식기념관 12123-김남미)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-전자공학,,,5006762803,(공통)물리1및실험,,,,"김남미
이순녀",물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12124-이순녀)
수 14:00-14:50 (조만식기념관 12124-이순녀)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-전자공학,복선-전자공학/부선-전자공학,,2150518203,기초공학수학1,,,,최성자,전자정보공학부 IT융합전공,3.0/3.0,0,40,"월 13:30-14:45 (형남공학관 05B124-최성자)
목 10:30-11:45 (형남공학관 05B124-최성자)",1학년 전자공학전공(대상외수강제한) (대상외수강제한)(대상외수강제한)
,전기-전자공학,복선-전자공학/부선-전자공학,,2150518204,기초공학수학1,,,,최현주,전자정보공학부 IT융합전공,3.0/3.0,0,40,"월 13:30-14:45 (백마관 07316-최현주)
목 10:30-11:45 (백마관 07316-최현주)",1학년 전자공학전공(IT융합 수강제한) (대상외수강제한)(대상외수강제한)
,전기-전자공학,복선-전자공학/부선-전자공학,,2150518205,기초공학수학1,,,,장미송,전자정보공학부 IT융합전공,3.0/3.0,0,40,"화 09:00-10:15 (문화관 03312-장미송)
금 10:30-11:45 (문화관 03312-장미송)","1학년 IT융합전공 ,전자공학전공 (대상외수강제한)(대상외수강제한)"
,전기-전자공학,복선-전자공학/부선-전자공학,,2150577704,물리1및실험,,,,최현희,전자정보공학부 IT융합전공,4.0/3.0,0,25,"월 09:00-09:50 (미래관 20401-최현희)
월 10:00-10:50 (미래관 20401-최현희)
월 11:00-11:50 (조만식기념관 12214-최현희)
월 12:00-12:50 (조만식기념관 12214-최현희)",1학년 전자공학전공(IT융합수강제한) (대상외수강제한)(대상외수강제한)
,전기-전자공학,복선-전자공학/부선-전자공학,,2150577705,물리1및실험,,,,김남미,전자정보공학부 IT융합전공,4.0/3.0,0,25,"월 09:00-09:50 (조만식기념관 12214-김남미)
월 10:00-10:50 (조만식기념관 12214-김남미)
월 11:00-11:50 (백마관 07317-김남미)
월 12:00-12:50 (백마관 07317-김남미)",1학년 전자공학전공(IT융합수강제한) (대상외수강제한)(대상외수강제한)
,전기-전자공학,복선-전자공학/부선-전자공학,,2150577706,물리1및실험,,,,"박혜연
김남미",전자정보공학부 IT융합전공,4.0/3.0,0,25,"월 09:00-09:50 (조만식기념관 12215 (물리실험실)-박혜연)
월 10:00-10:50 (조만식기념관 12215 (물리실험실)-박혜연)
월 11:00-11:50 (백마관 07317-김남미)
월 12:00-12:50 (백마관 07317-김남미)",1학년 전자공학전공(IT융합수강제한) (대상외수강제한)(대상외수강제한)
,전기-전자공학,복선-전자공학/부선-전자공학,,2150566201,일반화학,,,,장병하,전자정보공학부 전자공학전공,3.0/3.0,0,40,"화 12:00-13:15 (문화관 03312-장병하)
목 09:00-10:15 (문화관 03312-장병하)",1학년 전자공학(대상외수강제한)
,전기-전자공학,복선-전자공학/부선-전자공학,,2150566202,일반화학,,,,장상목,전자정보공학부 전자공학전공,3.0/3.0,0,40,"화 12:00-13:15 (문화관 03105-장상목)
목 09:00-10:15 (문화관 03105-장상목)",1학년 전자공학(대상외수강제한)
,전필-전자공학,복선-전자공학/부선-전자공학,,2150685601,공학수학,공학수학(가),,,신현출,전자정보공학부 전자공학전공,3.0/3.0,0,40,"수 12:00-13:15 (문화관 03312-신현출)
금 12:00-13:15 (형남공학관 05103 (정용기강의실)-신현출)",2학년 전자공학전공(IT융합 수강제한)
,전필-전자공학,복선-전자공학/부선-전자공학,,2150685602,공학수학,공학수학(나),,,신현출,전자정보공학부 전자공학전공,3.0/3.0,0,40,"수 13:30-14:45 (문화관 03312-신현출)
금 13:30-14:45 (형남공학관 05103 (정용기강의실)-신현출)",2학년 전자공학전공(IT융합 수강제한)
,전필-전자공학,복선-전자공학/부선-전자공학,,2150685603,공학수학,공학수학(다),영어,,정동현,전자정보공학부 전자공학전공,3.0/3.0,0,40,"화 15:00-16:15 (미래관 20107-정동현)
금 15:00-16:15 (미래관 20107-정동현)",2학년 전자공학전공(IT융합 수강제한)
,전필-전자공학,복선-전자공학/부선-전자공학,,2150685604,공학수학,공학수학(라),,,정원국,전자정보공학부 전자공학전공,3.0/3.0,0,40,"화 09:00-10:15 (미래관 20204 (윤동주강의실)-정원국)
목 09:00-10:15 (미래관 20204 (윤동주강의실)-정원국)",2학년 전자공학전공(IT융합 수강제한)
,전필-전자공학,복선-전자공학/부선-전자공학,,2150685605,공학수학,공학수학(마),,,정원국,전자정보공학부 전자공학전공,3.0/3.0,0,40,"화 15:00-16:15 (형남공학관 05112 (배명진강의실)-정원국)
목 16:30-17:45 (형남공학관 05112 (배명진강의실)-정원국)",2학년 전자공학전공(IT융합 수강제한)
,전기-전자공학,,,5006762501,기초공학수학1,,, (공통-재수강),이상욱,수학과,3.0/3.0,0,40,"화 13:30-14:45 (백마관 07218-이상욱)
금 13:30-14:45 (진리관 11516-이상욱)","2학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전자정보공학부-IT융합, 전자정보공학부-전자공학, 컴퓨터
3학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전자정보공학부-IT융합, 전자정보공학부-전자공학, 컴퓨터
4학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전"
,전기-전자공학,,,5006762502,기초공학수학1,,, (공통-재수강),최현주,수학과,3.0/3.0,0,40,"월 15:00-16:15 (교육관 06302-최현주)
목 15:00-16:15 (베어드홀 01103-최현주)","2학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전자정보공학부-IT융합, 전자정보공학부-전자공학, 컴퓨터
3학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전자정보공학부-IT융합, 전자정보공학부-전자공학, 컴퓨터
4학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전"
,전필-전자공학,복선-전자공학/부선-전자공학,,2150685501,디지털공학,디지털공학(가),,,양승인,전자정보공학부 전자공학전공,3.0/3.0,0,40,"화 09:00-10:15 (형남공학관 05105 (심영복강의실)-양승인)
목 09:00-10:15 (형남공학관 05105 (심영복강의실)-양승인)",2학년 전자공학전공(IT융합 수강제한)
