계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전선-경영학부,복선-경영학부/부선-경영학부/연계1-융합창업/융선-ICT유통물류융합/융선-문화서비스산업융합,,2150644002,Entrepreneurship,,, (공통-재수강),원용연,벤처중소기업학과,3.0/3.0,0,40,"금 18:00-19:15 (숭덕경상관 02208-원용연)
금 19:30-20:45 (숭덕경상관 02208-원용연)","전체학년 벤처중소, 경영학부, 회계학과, 금융학부, 융합창업연계, ICT유통물류융합, 문화서비스산업융합"
,전선-경영학부,복선-경영학부/부선-경영학부,,2150059401,[심화]Co-op SAP 트랙,,,,"홍지만
최종석",SW교육팀,6.0/6.0,0,0,"월 화 18:00-19:15 (전산관 19328 (첨단PC실습실)-홍지만)
수 목 18:00-19:15 (전산관 19328 (첨단PC실습실)-최종석)",전체
,전선-경영학부,복선-경영학부/부선-경영학부,,2150404004,거시조직론,,,,한주연,경영학부,3.0/3.0,0,40,"수 12:00-13:15 (숭덕경상관 02210-한주연)
금 12:00-13:15 (숭덕경상관 02212-한주연)",전체학년 경영학부;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전필-경영학부,복필-경영학부/부선-경영학부,,2150568101,경영수리와통계,,, (공통-재수강),안태호,경영학부,3.0/3.0,0,40,월 수 09:00-10:15 (숭덕경상관 02207-안태호),"전체학년 경영학부, 벤처중소, 회계학과"
,전필-경영학부,복필-경영학부/부선-경영학부,,2150568102,경영수리와통계,,, (공통-재수강),김갑식,경영학부,3.0/3.0,0,40,"목 16:30-17:45 (숭덕경상관 02211-김갑식)
목 18:00-19:15 (숭덕경상관 02211-김갑식)","전체학년 경영학부, 벤처중소, 회계학과"
,전필-경영학부,복필-경영학부/부선-경영학부,,2150568103,경영수리와통계,,, (공통-재수강),조윤재,경영학부,3.0/3.0,0,40,"수 18:00-19:15 (숭덕경상관 02209-조윤재)
수 19:30-20:45 (숭덕경상관 02209-조윤재)","전체학년 경영학부, 벤처중소, 회계학과"
,전필-경영학부,복필-경영학부/부선-경영학부,,2150568104,경영수리와통계,,, (공통-재수강),오정은,경영학부,3.0/3.0,0,40,"월 16:30-17:45 (문화관 03105-오정은)
월 18:00-19:15 (문화관 03105-오정은)","전체학년 경영학부, 벤처중소, 회계학과"
,전필-경영학부,복필-경영학부/부선-경영학부,,2150568105,경영수리와통계,,, (공통-재수강),김명겸,경영학부,3.0/3.0,0,40,"목 18:00-19:15 (숭덕경상관 02207-김명겸)
목 19:30-20:45 (숭덕경상관 02207-김명겸)","전체학년 경영학부, 벤처중소, 회계학과"
,전필-경영학부,복필-경영학부/부선-경영학부,,2150568106,경영수리와통계,,, (공통-재수강),송광석,경영학부,3.0/3.0,0,40,"월 10:30-11:45 (교육관 06303-송광석)
월 12:00-13:15 (교육관 06303-송광석)","전체학년 경영학부, 벤처중소, 회계학과"
,전필-경영학부,복필-경영학부/부선-경영학부,,2150568107,경영수리와통계,,, (공통-재수강),김홍진,경영학부,3.0/3.0,0,40,"금 18:00-19:15 (숭덕경상관 02207-김홍진)
금 19:30-20:45 (숭덕경상관 02207-김홍진)","전체학년 경영학부, 벤처중소, 회계학과"
,전필-경영학부,복필-경영학부/부선-경영학부,,2150568108,경영수리와통계,,,,안태호,경영학부,3.0/3.0,0,40,월 수 10:30-11:45 (숭덕경상관 02207-안태호),전체학년 경영학부;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전필-경영학부,복필-경영학부/부선-경영학부,,2150568109,경영수리와통계,,,,정재호,경영학부,3.0/3.0,0,40,"화 15:00-16:15 (숭덕경상관 02208-정재호)
화 16:30-17:45 (숭덕경상관 02208-정재호)",전체학년 경영학부;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전필-경영학부,복필-경영학부/부선-경영학부/융선-사회적기업혁신융합,,2150107605,경영정보시스템,,, (공통-재수강),여인모,경영학부,3.0/3.0,0,40,"목 18:00-19:15 (숭덕경상관 02101-여인모)
목 19:30-20:45 (숭덕경상관 02101-여인모)","전체학년 경영학부, 사회적기업혁신융합"
,전필-경영학부,복필-경영학부/부선-경영학부/융선-사회적기업혁신융합,,2150107606,경영정보시스템,,,,김광용,경영학부,3.0/3.0,0,40,화 수 13:30-14:45 (숭덕경상관 02207-김광용),전체학년 경영학부;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전필-경영학부,복필-경영학부/부선-경영학부/융선-사회적기업혁신융합,,2150107607,경영정보시스템,,영·한혼합,,유성진,경영학부,3.0/3.0,0,40,"화 16:30-17:45 (숭덕경상관 02207-유성진)
화 18:00-19:15 (숭덕경상관 02207-유성진)",전체학년 경영학부;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전필-경영학부,복필-경영학부/부선-경영학부,,2150567306,경영학의이해,,, (공통-재수강),박지선,경영학부,3.0/3.0,0,40,"금 12:00-13:15 (문화관 03312-박지선)
금 13:30-14:45 (문화관 03312-박지선)","전체학년 경영학부, 벤처중소, 회계학과"
,전필-경영학부,복필-경영학부/부선-경영학부,,2150567307,경영학의이해,,영·한혼합,,진민정,경영학부,3.0/3.0,0,40,"월 18:00-19:15 (숭덕경상관 02212-진민정)
월 19:30-20:45 (숭덕경상관 02212-진민정)",전체학년 경영학부;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전필-경영학부,복필-경영학부/부선-경영학부,,2150567308,경영학의이해,,,,박승연,경영학부,3.0/3.0,0,40,"월 15:00-16:15 (숭덕경상관 02211-박승연)
월 16:30-17:45 (숭덕경상관 02211-박승연)",전체학년 경영학부;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전필-경영학부,복필-경영학부/부선-경영학부,,2150287001,관리경제,,, (공통-재수강),김수현,경영학부,3.0/3.0,0,40,"월 13:30-14:45 (숭덕경상관 02101-김수현)
수 15:00-16:15 (숭덕경상관 02211-김수현)",전체학년 경영학부
,전필-경영학부,복필-경영학부/부선-경영학부,,2150287002,관리경제,,, (공통-재수강),김원옥,경영학부,3.0/3.0,0,40,"수 12:00-13:15 (교육관 06301-김원옥)
수 13:30-14:45 (교육관 06301-김원옥)",전체학년 경영학부
,전필-경영학부,복필-경영학부/부선-경영학부,,2150287003,관리경제,,, (공통-재수강),이은정,경영학부,3.0/3.0,0,40,화 수 10:30-11:45 (문화관 03106-이은정),전체학년 경영학부
,전필-경영학부,복필-경영학부/부선-경영학부,,2150287004,관리경제,,,,이은정,경영학부,3.0/3.0,0,40,화 수 09:00-10:15 (숭덕경상관 02208-이은정),전체학년 경영학부;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전필-경영학부,복필-경영학부/부선-경영학부,,2150287005,관리경제,,,,김경화,경영학부,3.0/3.0,0,40,"화 13:30-14:45 (교육관 06303-김경화)
목 12:00-13:15 (교육관 06303-김경화)",전체학년 경영학부;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전선-경영학부,복선-경영학부/부선-경영학부/융선-스포츠마케팅융합,,2150364604,글로벌전략경영,,,,임주미,경영학부,3.0/3.0,0,40,"월 16:30-17:45 (숭덕경상관 02316-임주미)
월 18:00-19:15 (숭덕경상관 02316-임주미)",전체학년 경영학부;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전선-경영학부,복선-경영학부/부선-경영학부,,2150238403,금융시장론,,,,서영숙,경영학부,3.0/3.0,0,40,수 목 15:00-16:15 (숭덕경상관 02212-서영숙),전체학년 경영학부;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전필-경영학부,복필-경영학부/부선-경영학부/융선-ICT유통물류융합/융선-사회적기업혁신융합/융선-스포츠마케팅융합,,2150338204,마케팅,,, (공통-재수강),김근배,경영학부,3.0/3.0,0,40,"수 10:30-11:45 (교육관 06303-김근배)
수 12:00-13:15 (교육관 06303-김근배)","전체학년 경영학부, 벤처중소, 스포츠마케팅융합, ICT유통물류융합, 사회적기업혁신융합"
,전필-경영학부,복필-경영학부/부선-경영학부/융선-ICT유통물류융합/융선-사회적기업혁신융합/융선-스포츠마케팅융합,,2150338205,마케팅,,,,이정규,경영학부,3.0/3.0,0,40,"월 09:00-10:15 (조만식기념관 12310-이정규)
월 10:30-11:45 (조만식기념관 12310-이정규)",전체학년 경영학부;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전필-경영학부,복필-경영학부/부선-경영학부,,5010247404,비즈니스커뮤니케이션,,, (공통-재수강),전규리,경영학부,3.0/3.0,0,40,"월 12:00-13:15 (문화관 03314-전규리)
월 13:30-14:45 (문화관 03314-전규리)",전체학년 경영학부
,전필-경영학부,복필-경영학부/부선-경영학부,,5010247405,비즈니스커뮤니케이션,,,,최정일,경영학부,3.0/3.0,0,40,"화 19:30-20:45 (숭덕경상관 02207-최정일)
화 21:00-22:15 (숭덕경상관 02207-최정일)",전체학년 경영학부;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전필-경영학부,복필-경영학부/부선-경영학부,,5010247406,비즈니스커뮤니케이션,,,,배회경,경영학부,3.0/3.0,0,40,"금 13:30-14:45 (문화관 03106-배회경)
금 15:00-16:15 (문화관 03106-배회경)",전체학년 경영학부;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전선-경영학부,복선-경영학부/부선-경영학부,,2150097404,비즈니스협상,,영·한혼합,,정원준,경영학부,3.0/3.0,0,40,"화 16:30-17:45 (숭덕경상관 02101-정원준)
화 18:00-19:15 (숭덕경상관 02101-정원준)",전체학년 경영학부;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전선-경영학부,복선-경영학부/부선-경영학부/융선-스포츠마케팅융합,,2150547203,서비스마케팅,,,,강기두,경영학부,3.0/3.0,0,40,수 목 16:30-17:45 (숭덕경상관 02101-강기두),전체학년 경영학부;순수외국인입학생 (대상외수강제한)(대상외수강제한)
