계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전필-금융학부,복필-금융학부/부선-금융학부/연계1-융합창업/융선-ICT유통물류융합/융선-문화서비스산업융합,,2150644002,Entrepreneurship,,, (공통-재수강),원용연,벤처중소기업학과,3.0/3.0,0,40,"금 18:00-19:15 (숭덕경상관 02208-원용연)
금 19:30-20:45 (숭덕경상관 02208-원용연)","전체학년 벤처중소, 경영학부, 회계학과, 금융학부, 융합창업연계, ICT유통물류융합, 문화서비스산업융합"
,전선-금융학부,복선-금융학부/부선-금융학부/융선-사회적기업혁신융합,,2150811405,오퍼레이션매니지먼트,,영·한혼합, (공통-재수강),서항주,경영학부,3.0/3.0,0,40,"화 09:00-10:15 (교육관 06303-서항주)
화 10:30-11:45 (교육관 06303-서항주)","전체학년 경영학부,금융학부,사회적기업혁신융합"
,전필-금융학부,복필-금융학부/부선-금융학부/융선-사회적기업혁신융합,,2150191205,재무관리,,, (공통-재수강),황정호,경영학부,3.0/3.0,0,40,"수 15:00-16:15 (미래관 20501-황정호)
수 16:30-17:45 (미래관 20501-황정호)","전체학년 경영학부,회계학과,금융학부,사회적기업혁신융합"
,전기-금융학부,복선-금융학부/부선-금융학부,,5011569001,경제원론,,,,이재현,금융학부,3.0/3.0,0,40,"월 12:00-13:15 (숭덕경상관 02211-이재현)
수 13:30-14:45 (숭덕경상관 02211-이재현)",1학년 금융
,전기-금융학부,복선-금융학부/부선-금융학부,,5011569002,경제원론,,,,이재현,금융학부,3.0/3.0,0,40,"월 13:30-14:45 (숭덕경상관 02211-이재현)
수 10:30-11:45 (숭덕경상관 02211-이재현)",1학년 금융
,전기-금융학부,복선-금융학부/부선-금융학부,,2150616701,금융수학,,,,정재만,금융학부,3.0/3.0,0,40,"화 09:00-10:15 (숭덕경상관 02211-정재만)
목 10:30-11:45 (숭덕경상관 02211-정재만)",1학년 금융 (대상외수강제한)(대상외수강제한)
,전기-금융학부,복선-금융학부/부선-금융학부,,2150616702,금융수학,,,,정재만,금융학부,3.0/3.0,0,40,"화 10:30-11:45 (숭덕경상관 02211-정재만)
목 09:00-10:15 (숭덕경상관 02211-정재만)",1학년 금융 (대상외수강제한)(대상외수강제한)
,전선-금융학부,복선-금융학부/부선-금융학부,,2150628101,금융과법,,,,,금융학부,3.0/3.0,0,40,"화 19:00-20:15 (숭덕경상관 02211-)
화 20:30-21:45 (숭덕경상관 02211-)",2학년 금융
,전기-금융학부,복선-금융학부/부선-금융학부,,2150616703,금융수학,1학년 금융 수강불가,, (공통-재수강),정재만,금융학부,3.0/3.0,0,40,화 목 12:00-13:15 (숭덕경상관 02211-정재만),"2학년 금융
3학년 금융
4학년 금융"
,전필-금융학부,복필-금융학부/부선-금융학부,,2150624101,금융프로그래밍1,,,,이승주,금융학부,3.0/3.0,0,40,"월 09:00-10:15 (숭덕경상관 02211-이승주)
수 10:30-11:45 (숭덕경상관 02112 (PC실습실)-이승주)",2학년 금융
,전필-금융학부,복필-금융학부/부선-금융학부,,2150624102,금융프로그래밍1,,,,이승주,금융학부,3.0/3.0,0,40,"월 10:30-11:45 (숭덕경상관 02211-이승주)
수 09:00-10:15 (숭덕경상관 02112 (PC실습실)-이승주)",2학년 금융
,전필-금융학부,복필-금융학부/부선-금융학부/융선-사회적기업혁신융합,,2150191201,재무관리,,,,최수정,경영학부,3.0/3.0,0,40,"월 10:30-11:45 (숭덕경상관 02212-최수정)
수 10:30-11:45 (문화관 03105-최수정)","2학년 경영학부,회계학과,금융학부,사회적기업혁신융합"
,전필-금융학부,복필-금융학부/부선-금융학부/융선-사회적기업혁신융합,,2150191202,재무관리,,,,최수정,경영학부,3.0/3.0,0,40,"월 16:30-17:45 (숭덕경상관 02107-최수정)
월 18:00-19:15 (숭덕경상관 02107-최수정)","2학년 경영학부,회계학과,금융학부,사회적기업혁신융합"
,전필-금융학부,복필-금융학부/부선-금융학부/융선-사회적기업혁신융합,,2150191203,재무관리,,,,하진기,경영학부,3.0/3.0,0,40,"화 13:30-14:45 (문화관 03314-하진기)
목 13:30-14:45 (교육관 06301-하진기)","2학년 경영학부,회계학과,금융학부,사회적기업혁신융합"
,전필-금융학부,복필-금융학부/부선-금융학부/융선-사회적기업혁신융합,,2150191204,재무관리,,,,김원옥,경영학부,3.0/3.0,0,40,"목 15:00-16:15 (교육관 06301-김원옥)
목 16:30-17:45 (교육관 06301-김원옥)","2학년 경영학부,회계학과,금융학부,사회적기업혁신융합"
,전필-금융학부,복필-금융학부/부필-금융학부/융선-ICT유통물류융합/융선-사회적기업혁신융합,,2150643001,재무관리,,,,손석우,회계학과,3.0/3.0,0,40,"목 10:30-11:45 (교육관 06301-손석우)
목 12:00-13:15 (교육관 06301-손석우)","2학년 회계학과,경영학부,금융학부"
,전필-금융학부,복필-금융학부/부필-금융학부/융선-ICT유통물류융합/융선-사회적기업혁신융합,,2150643002,재무관리,,,,김호범,회계학과,3.0/3.0,0,40,"월 18:00-19:15 (숭덕경상관 02209-김호범)
월 19:30-20:45 (숭덕경상관 02209-김호범)","2학년 회계학과,경영학부,금융학부"
,전필-금융학부,복필-금융학부/부선-금융학부,,2150642701,재무회계,,, (공통-재수강),김민희,회계학과,3.0/3.0,0,40,"월 12:00-13:15 (숭덕경상관 02208-김민희)
월 13:30-14:45 (숭덕경상관 02208-김민희)","2학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크
3학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크
4학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크"
,전필-금융학부,복필-금융학부/부선-금융학부,,2150642702,재무회계,,, (공통-재수강),김보민,회계학과,3.0/3.0,0,40,"수 09:00-10:15 (미래관 20405-김보민)
수 10:30-11:45 (미래관 20405-김보민)","2학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크
3학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크
4학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크"
,전필-금융학부,복필-금융학부/부선-금융학부,,2150642703,재무회계,,, (공통-재수강),노기팔,회계학과,3.0/3.0,0,40,"월 15:00-16:15 (숭덕경상관 02208-노기팔)
월 16:30-17:45 (숭덕경상관 02208-노기팔)","2학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크
3학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크
4학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크"
