계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전선-벤처경영,,,2150161001,DX시대의중소기업비즈니스실무,,대면+녹화,,신호철,벤처경영학과(계약학과),3.0/3.0,0,35,토 15:00-16:15 (숭덕경상관 02208-신호철),전체학년 벤처경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-벤처경영,,,2150656601,Entrepreneurship,,,,,벤처경영학과(계약학과),3.0/3.0,0,0,,전체
,전선-벤처경영,,,2150080001,ICT및스마트기술,,,,,벤처경영학과(계약학과),3.0/3.0,0,40,,전체
,전선-벤처경영,,,2150048801,Social Entrepreneurship,,,,,벤처경영학과(계약학과),3.0/3.0,0,0,,전체
,전선-벤처경영,,,2150648201,경영학의이해,,대면+녹화,,원종민,벤처경영학과(계약학과),3.0/3.0,0,35,토 13:30-14:45 (숭덕경상관 02207-원종민),전체학년 벤처경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-벤처경영,,,2150648001,경제원론,,,,,벤처경영학과(계약학과),3.0/3.0,0,0,,전체
,전선-벤처경영,,,2150649801,공급사슬관리,,,,,벤처경영학과(계약학과),3.0/3.0,0,40,,전체
,전선-벤처경영,,,2150160901,국제무역관습론,,대면+녹화,,이주섭,벤처경영학과(계약학과),3.0/3.0,0,35,토 11:00-12:15 (경상관 02208-이주섭),전체학년 벤처경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-벤처경영,,,2150080501,기술경영과혁신전략,,,,,벤처경영학과(계약학과),3.0/3.0,0,40,,전체
,전선-벤처경영,,,2150097501,무역분쟁해결론,,대면+녹화,,이주섭,벤처경영학과(계약학과),3.0/3.0,0,35,토 09:30-10:45 (경상관 02208-이주섭),전체학년 벤처경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-벤처경영,,,2150079901,문화마케팅,,대면+녹화,,유재원,벤처경영학과(계약학과),3.0/3.0,0,35,토 09:30-10:45 (숭덕경상관 02207-유재원),전체학년 벤처경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-벤처경영,,,2150160601,바이브코딩,,대면+녹화,,한용희,벤처경영학과(계약학과),3.0/3.0,0,35,토 15:00-16:15 (진리관 11310 (PC실습실)-한용희),전체학년 벤처경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-벤처경영,,,2150697001,벤처경영과머신러닝,,대면+녹화,,한용희,벤처경영학과(계약학과),3.0/3.0,0,35,토 16:30-17:45 (숭덕경상관 02112 (PC실습실)-한용희),전체학년 벤처경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-벤처경영,,,2150017501,벤처중소기업 M&A 및 Exit,,,,,벤처경영학과(계약학과),3.0/3.0,0,0,,전체
,전선-벤처경영,,,2150636601,벤처중소마케팅,,,,,벤처경영학과(계약학과),3.0/3.0,0,0,,전체
,전선-벤처경영,,,2150161301,벤처중소재무,,대면+녹화,,연규철,벤처경영학과(계약학과),3.0/3.0,0,35,토 13:30-14:45 (숭덕경상관 02208-연규철),전체학년 벤처경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-벤처경영,,,2150649001,서비스창업과운영,,대면+녹화,,유재원,벤처경영학과(계약학과),3.0/3.0,0,35,토 11:00-12:15 (숭덕경상관 02207-유재원),전체학년 벤처경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-벤처경영,,,2150048701,신기술벤처창업,,,,,벤처경영학과(계약학과),3.0/3.0,0,40,,전체
,전선-벤처경영,,,2150037901,전략경영,,대면+녹화,,"신상윤
서리빈",벤처경영학과(계약학과),3.0/3.0,0,35,토 16:30-17:45 (숭덕경상관 02208-서리빈),전체학년 벤처경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-벤처경영,연계2-융합창업,,2150648101,회계원리,,,,,벤처경영학과(계약학과),3.0/3.0,0,0,,전체
