계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전선-혁신경영,,,2150017901,경영과컴퓨터,,대면+녹화,,김광용,혁신경영학과(계약학과),3.0/3.0,0,30,토 13:30-14:45 (숭덕경상관 02318-김광용),전체학년 혁신경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-혁신경영,,,2150676401,경영분석론,,대면+녹화,,이준희,혁신경영학과(계약학과),3.0/3.0,0,30,토 15:00-16:15 (숭덕경상관 02316-이준희),전체학년 혁신경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-혁신경영,,,2150650001,경영수리와통계,,대면+녹화,,안태호,혁신경영학과(계약학과),3.0/3.0,0,30,토 11:00-12:15 (숭덕경상관 02318-안태호),전체학년 혁신경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-혁신경영,,,2150018001,경영정보시스템전략,,대면+녹화,,최정일,혁신경영학과(계약학과),3.0/3.0,0,30,토 15:00-16:15 (숭덕경상관 02317-최정일),전체학년 혁신경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-혁신경영,,,2150650101,경영학의이해,,대면+녹화,,이명환,혁신경영학과(계약학과),3.0/3.0,0,30,토 15:00-16:15 (숭덕경상관 02318-이명환),전체학년 혁신경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-혁신경영,,,2150676601,기획및조정관리,,대면+녹화,,조동혁,혁신경영학과(계약학과),3.0/3.0,0,30,토 16:30-17:45 (숭덕경상관 02318-조동혁),전체학년 혁신경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-혁신경영,,,2150650301,비즈니스커뮤니케이션,,대면+녹화,,연지영,혁신경영학과(계약학과),3.0/3.0,0,30,토 13:30-14:45 (숭덕경상관 02317-연지영),전체학년 혁신경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-혁신경영,,,2150650601,오퍼레이션매니지먼트,,대면+녹화,,박종우,혁신경영학과(계약학과),3.0/3.0,0,30,토 11:00-12:15 (숭덕경상관 02317-박종우),전체학년 혁신경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-혁신경영,,,2150655701,유통과프랜차이즈,,대면+녹화,,전홍식,혁신경영학과(계약학과),3.0/3.0,0,30,토 09:30-10:45 (숭덕경상관 02318-전홍식),전체학년 혁신경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-혁신경영,,,2150661401,의사결정과학,,대면+녹화,,조인수,혁신경영학과(계약학과),3.0/3.0,0,30,토 11:00-12:15 (숭덕경상관 02316-조인수),전체학년 혁신경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-혁신경영,,,2150661301,인적자원관리,,대면+녹화,,신호철,혁신경영학과(계약학과),3.0/3.0,0,30,토 09:30-10:45 (숭덕경상관 02316-신호철),전체학년 혁신경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-혁신경영,,,2150650501,품질경영,,대면+녹화,,유한주,혁신경영학과(계약학과),3.0/3.0,0,30,토 09:30-10:45 (숭덕경상관 02317-유한주),전체학년 혁신경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-혁신경영,,,2150676701,품질시스템및품질혁신,,대면+녹화,,박종우,혁신경영학과(계약학과),3.0/3.0,0,30,토 08:00-09:15 (숭덕경상관 02316-박종우),전체학년 혁신경영학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-혁신경영,,,2150650401,회계원리,,대면+녹화,,오웅락,혁신경영학과(계약학과),3.0/3.0,0,30,토 16:30-17:45 (숭덕경상관 02317-오웅락),전체학년 혁신경영학과(계약학과) (대상외수강제한)(대상외수강제한)
