계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전선-회계세무,,,2150174101,재무빅데이터분석,,,,김민희,회계세무학과(계약학과),3.0/3.0,0,40,"월 18:00-19:15 (숭덕경상관 02210-김민희)
월 19:30-20:45 (숭덕경상관 02210-김민희)","2학년 회계세무학과(계약학과) ,회계학과
3학년 회계세무학과(계약학과) ,회계학과
4학년 회계세무학과(계약학과) ,회계학과 (대상외수강제한)(대상외수강제한)"
,전선-회계세무,,,2150082501,국제회계기준1,,대면+녹화,,박경호,회계세무학과(계약학과),3.0/3.0,0,40,토 15:00-16:15 (숭덕경상관 02209-박경호),3학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150082502,국제회계기준1,,대면+녹화,,박경호,회계세무학과(계약학과),3.0/3.0,0,40,토 16:30-17:45 (숭덕경상관 02210-박경호),3학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150082301,전략관리회계,,대면+녹화,,이용규,회계세무학과(계약학과),3.0/3.0,0,40,토 09:00-10:15 (숭덕경상관 02209-이용규),3학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150082302,전략관리회계,,대면+녹화,,이용규,회계세무학과(계약학과),3.0/3.0,0,40,토 10:30-11:45 (숭덕경상관 02210-이용규),3학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150082601,전산회계,,대면+녹화,,오웅락,회계세무학과(계약학과),3.0/3.0,0,40,토 13:30-14:45 (숭덕경상관 02209-오웅락),3학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150082602,전산회계,,대면+녹화,,오웅락,회계세무학과(계약학과),3.0/3.0,0,40,토 15:00-16:15 (숭덕경상관 02210-오웅락),3학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150082401,회계감사,,대면+녹화,,전규안,회계세무학과(계약학과),3.0/3.0,0,40,토 10:30-11:45 (숭덕경상관 02209-전규안),3학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150082402,회계감사,,대면+녹화,,전규안,회계세무학과(계약학과),3.0/3.0,0,40,토 09:00-10:15 (숭덕경상관 02210-전규안),3학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150087001,회계정보시각화,,대면+녹화,,이광진,회계세무학과(계약학과),3.0/3.0,0,40,토 16:30-17:45 (숭덕경상관 02209-이광진),3학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150087002,회계정보시각화,,대면+녹화,,이광진,회계세무학과(계약학과),3.0/3.0,0,40,토 13:30-14:45 (숭덕경상관 02210-이광진),3학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150088001,관리회계세미나,,대면+녹화,,박진하,회계세무학과(계약학과),3.0/3.0,0,40,토 13:30-14:45 (숭덕경상관 02112 (PC실습실)-박진하),4학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150088002,관리회계세미나,,대면+녹화,,박진하,회계세무학과(계약학과),3.0/3.0,0,40,토 15:00-16:15 (숭덕경상관 02112 (PC실습실)-박진하),4학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150088101,금융회계,,대면+녹화,,김응길,회계세무학과(계약학과),3.0/3.0,0,40,토 15:00-16:15 (안익태기념관 04402-김응길),4학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150088102,금융회계,,대면+녹화,,김응길,회계세무학과(계약학과),3.0/3.0,0,40,토 13:30-14:45 (안익태기념관 04403-김응길),4학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150087901,비영리회계,,대면+녹화,,이유선,회계세무학과(계약학과),3.0/3.0,0,40,토 10:30-11:45 (안익태기념관 04402-이유선),4학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150087902,비영리회계,,대면+녹화,,김용수,회계세무학과(계약학과),3.0/3.0,0,40,토 10:30-11:45 (안익태기념관 04403-김용수),4학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150088201,세무회계세미나,,대면+녹화,,김민희,회계세무학과(계약학과),3.0/3.0,0,40,토 16:30-17:45 (안익태기념관 04402-김민희),4학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150088202,세무회계세미나,,대면+녹화,,이유선,회계세무학과(계약학과),3.0/3.0,0,40,토 09:00-10:15 (안익태기념관 04403-이유선),4학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150174301,재무회계연습,,대면+녹화,,이정이,회계세무학과(계약학과),3.0/3.0,0,40,토 09:00-10:15 (안익태기념관 04402-이정이),4학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
,전선-회계세무,,,2150174302,재무회계연습,,대면+녹화,,이명환,회계세무학과(계약학과),3.0/3.0,0,40,토 16:30-17:45 (안익태기념관 04403-이명환),4학년 회계세무학과(계약학과) (대상외수강제한)(대상외수강제한)
