계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전필-회계학과,복필-회계학과/부선-회계학과/연계1-융합창업/융선-ICT유통물류융합/융선-문화서비스산업융합,,2150644002,Entrepreneurship,,, (공통-재수강),원용연,벤처중소기업학과,3.0/3.0,0,40,"금 18:00-19:15 (숭덕경상관 02208-원용연)
금 19:30-20:45 (숭덕경상관 02208-원용연)","전체학년 벤처중소, 경영학부, 회계학과, 금융학부, 융합창업연계, ICT유통물류융합, 문화서비스산업융합"
,전필-회계학과,복선-회계학과/부선-회계학과,,2150568101,경영수리와통계,,, (공통-재수강),안태호,경영학부,3.0/3.0,0,40,월 수 09:00-10:15 (숭덕경상관 02207-안태호),"전체학년 경영학부, 벤처중소, 회계학과"
,전필-회계학과,복선-회계학과/부선-회계학과,,2150568102,경영수리와통계,,, (공통-재수강),김갑식,경영학부,3.0/3.0,0,40,"목 16:30-17:45 (숭덕경상관 02211-김갑식)
목 18:00-19:15 (숭덕경상관 02211-김갑식)","전체학년 경영학부, 벤처중소, 회계학과"
,전필-회계학과,복선-회계학과/부선-회계학과,,2150568103,경영수리와통계,,, (공통-재수강),조윤재,경영학부,3.0/3.0,0,40,"수 18:00-19:15 (숭덕경상관 02209-조윤재)
수 19:30-20:45 (숭덕경상관 02209-조윤재)","전체학년 경영학부, 벤처중소, 회계학과"
,전필-회계학과,복선-회계학과/부선-회계학과,,2150568104,경영수리와통계,,, (공통-재수강),오정은,경영학부,3.0/3.0,0,40,"월 16:30-17:45 (문화관 03105-오정은)
월 18:00-19:15 (문화관 03105-오정은)","전체학년 경영학부, 벤처중소, 회계학과"
,전필-회계학과,복선-회계학과/부선-회계학과,,2150568105,경영수리와통계,,, (공통-재수강),김명겸,경영학부,3.0/3.0,0,40,"목 18:00-19:15 (숭덕경상관 02207-김명겸)
목 19:30-20:45 (숭덕경상관 02207-김명겸)","전체학년 경영학부, 벤처중소, 회계학과"
,전필-회계학과,복선-회계학과/부선-회계학과,,2150568106,경영수리와통계,,, (공통-재수강),송광석,경영학부,3.0/3.0,0,40,"월 10:30-11:45 (교육관 06303-송광석)
월 12:00-13:15 (교육관 06303-송광석)","전체학년 경영학부, 벤처중소, 회계학과"
,전필-회계학과,복선-회계학과/부선-회계학과,,2150568107,경영수리와통계,,, (공통-재수강),김홍진,경영학부,3.0/3.0,0,40,"금 18:00-19:15 (숭덕경상관 02207-김홍진)
금 19:30-20:45 (숭덕경상관 02207-김홍진)","전체학년 경영학부, 벤처중소, 회계학과"
,전필-회계학과,복선-회계학과/부선-회계학과,,2150567306,경영학의이해,,, (공통-재수강),박지선,경영학부,3.0/3.0,0,40,"금 12:00-13:15 (문화관 03312-박지선)
금 13:30-14:45 (문화관 03312-박지선)","전체학년 경영학부, 벤처중소, 회계학과"
,전필-회계학과,복선-회계학과/부선-회계학과/융선-사회적기업혁신융합,,2150191205,재무관리,,, (공통-재수강),황정호,경영학부,3.0/3.0,0,40,"수 15:00-16:15 (미래관 20501-황정호)
수 16:30-17:45 (미래관 20501-황정호)","전체학년 경영학부,회계학과,금융학부,사회적기업혁신융합"
,전필-회계학과,복필-회계학과/부선-회계학과/연계2-융합창업/융선-사회적기업혁신융합,,2150230704,회계원리,,영어, (공통-재수강),조재희,경영학부,3.0/3.0,0,40,"수 15:00-16:15 (숭덕경상관 02210-조재희)
목 13:30-14:45 (숭덕경상관 02210-조재희)","전체학년 경영학부,벤처중소,회계학과,사회적기업과사회혁신융합"
,전필-회계학과,복필-회계학과/부선-회계학과/연계2-융합창업/융선-사회적기업혁신융합,,2150230705,회계원리,,, (공통-재수강),윤회,경영학부,3.0/3.0,0,40,"금 12:00-13:15 (숭덕경상관 02209-윤회)
금 13:30-14:45 (숭덕경상관 02209-윤회)","전체학년 경영학부,벤처중소,회계학과,사회적기업과사회혁신융합"
,전필-회계학과,복필-회계학과/부선-회계학과/연계2-융합창업/융선-사회적기업혁신융합,,2150230707,회계원리,,, (공통-재수강),조용생,경영학부,3.0/3.0,0,40,"월 12:00-13:15 (미래관 20405-조용생)
월 13:30-14:45 (미래관 20405-조용생)","전체학년 경영학부,벤처중소,회계학과,사회적기업과사회혁신융합"
,전필-회계학과,복필-회계학과/부선-회계학과/연계2-융합창업/융선-사회적기업혁신융합,,2150642004,회계원리,,, (공통-재수강),이광진,회계학과,3.0/3.0,0,40,월 화 10:30-11:45 (문화관 03314-이광진),"전체학년 벤처중소,경영학부,회계학과,융합창업연계,사회적기업과사회혁신융합"
,전필-회계학과,복선-회계학과/부선-회계학과,,2150518701,경영학의이해,,영어,,서리빈,벤처중소기업학과,3.0/3.0,0,40,수 목 12:00-13:15 (숭덕경상관 02316-서리빈),"1학년 벤처중소, 경영학부, 회계학과 (대상외수강제한)(대상외수강제한)"
,전필-회계학과,복선-회계학과/부선-회계학과,,2150567301,경영학의이해,,,,박지선,경영학부,3.0/3.0,0,45,"수 10:30-11:45 (백마관 07403-박지선)
수 12:00-13:15 (백마관 07403-박지선)","1학년 경영학부,벤처중소,회계학과 (대상외수강제한)(대상외수강제한)"
,전필-회계학과,복선-회계학과/부선-회계학과,,2150567302,경영학의이해,,"영·한혼합
EL+",,정원준,경영학부,3.0/3.0,0,45,"목 16:30-17:45 (숭덕경상관 02208-정원준)
목 18:00-19:15 (숭덕경상관 02208-정원준)","1학년 경영학부,벤처중소,회계학과 (대상외수강제한)(대상외수강제한)"
,전필-회계학과,복선-회계학과/부선-회계학과,,2150567303,경영학의이해,,,,조경훈,경영학부,3.0/3.0,0,45,"목 15:00-16:15 (미래관 20501-조경훈)
목 16:30-17:45 (미래관 20501-조경훈)","1학년 경영학부,벤처중소,회계학과 (대상외수강제한)(대상외수강제한)"
,전필-회계학과,복선-회계학과/부선-회계학과,,2150567304,경영학의이해,,,,진민정,경영학부,3.0/3.0,0,45,"화 18:00-19:15 (숭덕경상관 02210-진민정)
화 19:30-20:45 (숭덕경상관 02210-진민정)","1학년 경영학부,벤처중소,회계학과 (대상외수강제한)(대상외수강제한)"
,전필-회계학과,복선-회계학과/부선-회계학과,,2150641701,경영학의이해,,,,이형수,회계학과,3.0/3.0,0,45,"화 15:00-16:15 (전산관 19327-이형수)
화 16:30-17:45 (전산관 19327-이형수)","1학년 회계학과,경영학부,벤처중소 (대상외수강제한)(대상외수강제한)"
,전필-회계학과,복필-회계학과/부선-회계학과/연계2-융합창업/융선-사회적기업혁신융합,,2150230708,회계원리,,,,이광진,경영학부,3.0/3.0,0,40,월 화 09:00-10:15 (문화관 03314-이광진),"1학년 경영학부,벤처중소,사회적기업혁신융합 ,자유전공학부 ,회계학과"
,전필-회계학과,복필-회계학과/부선-회계학과/연계2-융합창업/융선-사회적기업혁신융합,,2150642001,회계원리,,,,김선용,회계학과,3.0/3.0,0,40,"수 09:00-10:15 (문화관 03312-김선용)
수 10:30-11:45 (문화관 03312-김선용)","1학년 경영학부,벤처중소,사회적기업과사회혁신융합 ,자유전공학부"
,전필-회계학과,복필-회계학과/부선-회계학과/연계2-융합창업/융선-사회적기업혁신융합,,2150642002,회계원리,,,,손재성,회계학과,3.0/3.0,0,40,"목 12:00-13:15 (미래관 20405-손재성)
목 13:30-14:45 (미래관 20405-손재성)","1학년 경영학부,벤처중소,사회적기업과사회혁신융합"
,전필-회계학과,복필-회계학과/부선-회계학과/연계2-융합창업/융선-사회적기업혁신융합,,2150642003,회계원리,,,,김응길,회계학과,3.0/3.0,0,50,"수 13:30-14:45 (숭덕경상관 02210-김응길)
목 15:00-16:15 (숭덕경상관 02210-김응길)",1학년 회계학과 (대상외수강제한)(대상외수강제한)
,전필-회계학과,복필-회계학과/부선-회계학과/연계2-융합창업/융선-사회적기업혁신융합,,2150642006,회계원리,,,,김응길,회계학과,3.0/3.0,0,40,화 목 16:30-17:45 (숭덕경상관 02210-김응길),1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전필-회계학과,복필-회계학과/부선-회계학과/연계1-융합창업/융선-ICT유통물류융합,,2150328201,Entrepreneurship,,,,,경영학부,3.0/3.0,0,40,"수 09:00-10:15 (숭덕경상관 02316-)
수 10:30-11:45 (숭덕경상관 02316-)","2학년 경영학부, 벤처중소, 회계학과, 융합창업연계, ICT유통물류융합"
,전필-회계학과,복필-회계학과/부선-회계학과/연계1-융합창업/융선-ICT유통물류융합,,2150328202,Entrepreneurship,,,,최금선,경영학부,3.0/3.0,0,40,"금 10:30-11:45 (숭덕경상관 02208-최금선)
금 12:00-13:15 (숭덕경상관 02208-최금선)","2학년 경영학부, 벤처중소, 회계학과, 융합창업연계, ICT유통물류융합"
,전필-회계학과,복필-회계학과/부선-회계학과/연계1-융합창업/융선-ICT유통물류융합,,2150328203,Entrepreneurship,,,,,경영학부,3.0/3.0,0,40,"화 15:00-16:15 (숭덕경상관 02316-)
화 16:30-17:45 (숭덕경상관 02316-)","2학년 경영학부, 벤처중소, 회계학과, 융합창업연계, ICT유통물류융합"
,전필-회계학과,복필-회계학과/부선-회계학과/연계1-융합창업/융선-ICT유통물류융합/융선-문화서비스산업융합,,2150644001,Entrepreneurship,,,,문경준,벤처중소기업학과,3.0/3.0,0,40,"목 18:00-19:15 (숭덕경상관 02109-문경준)
목 19:30-20:45 (숭덕경상관 02109-문경준)","2학년 벤처중소, 경영학부, 회계학과, ICT유통물류융합, 융합창업연계, 문화서비스산업융합"
,전필-회계학과,복선-회계학과/부선-회계학과/연계2-융합창업,,2150324101,관리회계,,,,이용규,회계학과,3.0/3.0,0,40,화 목 10:30-11:45 (숭덕경상관 02209-이용규),2학년 회계학과
,전필-회계학과,복선-회계학과/부선-회계학과/연계2-융합창업,,2150324102,관리회계,,,,이용규,회계학과,3.0/3.0,0,40,화 목 13:30-14:45 (숭덕경상관 02209-이용규),2학년 회계학과
,전필-회계학과,복선-회계학과/부선-회계학과/연계2-융합창업,,2150324103,관리회계,,, (공통-재수강),박진하,회계학과,3.0/3.0,0,40,월 수 09:00-10:15 (숭덕경상관 02209-박진하),"2학년 회계학과
3학년 회계학과
4학년 회계학과"
,전필-회계학과,복선-회계학과/부선-회계학과/연계2-융합창업,,2150324104,관리회계,,, (공통-재수강),박진하,회계학과,3.0/3.0,0,40,월 수 13:30-14:45 (숭덕경상관 02209-박진하),"2학년 회계학과
3학년 회계학과
4학년 회계학과"
,전선-회계학과,복선-회계학과/부선-회계학과,,2150630701,세법원리,,,,장종순,회계학과,3.0/3.0,0,40,"월 15:00-16:15 (문화관 03314-장종순)
월 16:30-17:45 (문화관 03314-장종순)",2학년 회계학과
,전선-회계학과,복선-회계학과/부선-회계학과,,2150630702,세법원리,,,,조재희,회계학과,3.0/3.0,0,40,화 수 16:30-17:45 (숭덕경상관 02209-조재희),2학년 회계학과
,전선-회계학과,복선-회계학과/부선-회계학과,,2150630703,세법원리,,, (공통-재수강),오지환,회계학과,3.0/3.0,0,40,"수 16:30-17:45 (숭덕경상관 02210-오지환)
수 18:00-19:15 (숭덕경상관 02210-오지환)","2학년 회계학과
3학년 회계학과
4학년 회계학과"
,전선-회계학과,복선-회계학과/부선-회계학과,,2150630704,세법원리,,, (공통-재수강),이형배,회계학과,3.0/3.0,0,40,"화 15:00-16:15 (미래관 20405-이형배)
화 16:30-17:45 (미래관 20405-이형배)","2학년 회계학과
3학년 회계학과
4학년 회계학과"
,전필-회계학과,복선-회계학과/부선-회계학과/융선-사회적기업혁신융합,,2150191201,재무관리,,,,최수정,경영학부,3.0/3.0,0,40,"월 10:30-11:45 (숭덕경상관 02212-최수정)
수 10:30-11:45 (문화관 03105-최수정)","2학년 경영학부,회계학과,금융학부,사회적기업혁신융합"
,전필-회계학과,복선-회계학과/부선-회계학과/융선-사회적기업혁신융합,,2150191202,재무관리,,,,최수정,경영학부,3.0/3.0,0,40,"월 16:30-17:45 (숭덕경상관 02107-최수정)
월 18:00-19:15 (숭덕경상관 02107-최수정)","2학년 경영학부,회계학과,금융학부,사회적기업혁신융합"
,전필-회계학과,복선-회계학과/부선-회계학과/융선-사회적기업혁신융합,,2150191203,재무관리,,,,하진기,경영학부,3.0/3.0,0,40,"화 13:30-14:45 (문화관 03314-하진기)
목 13:30-14:45 (교육관 06301-하진기)","2학년 경영학부,회계학과,금융학부,사회적기업혁신융합"
,전필-회계학과,복선-회계학과/부선-회계학과/융선-사회적기업혁신융합,,2150191204,재무관리,,,,김원옥,경영학부,3.0/3.0,0,40,"목 15:00-16:15 (교육관 06301-김원옥)
목 16:30-17:45 (교육관 06301-김원옥)","2학년 경영학부,회계학과,금융학부,사회적기업혁신융합"
,전필-회계학과,복필-회계학과/부선-회계학과/융선-ICT유통물류융합/융선-사회적기업혁신융합,,2150643001,재무관리,,,,손석우,회계학과,3.0/3.0,0,40,"목 10:30-11:45 (교육관 06301-손석우)
목 12:00-13:15 (교육관 06301-손석우)","2학년 회계학과,경영학부,금융학부"
,전필-회계학과,복필-회계학과/부선-회계학과/융선-ICT유통물류융합/융선-사회적기업혁신융합,,2150643002,재무관리,,,,김호범,회계학과,3.0/3.0,0,40,"월 18:00-19:15 (숭덕경상관 02209-김호범)
월 19:30-20:45 (숭덕경상관 02209-김호범)","2학년 회계학과,경영학부,금융학부"
,전필-회계학과,복필-회계학과/부선-회계학과,,2150642701,재무회계,,, (공통-재수강),김민희,회계학과,3.0/3.0,0,40,"월 12:00-13:15 (숭덕경상관 02208-김민희)
월 13:30-14:45 (숭덕경상관 02208-김민희)","2학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크
3학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크
4학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크"
,전필-회계학과,복필-회계학과/부선-회계학과,,2150642702,재무회계,,, (공통-재수강),김보민,회계학과,3.0/3.0,0,40,"수 09:00-10:15 (미래관 20405-김보민)
수 10:30-11:45 (미래관 20405-김보민)","2학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크
3학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크
4학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크"
,전필-회계학과,복필-회계학과/부선-회계학과,,2150642703,재무회계,,, (공통-재수강),노기팔,회계학과,3.0/3.0,0,40,"월 15:00-16:15 (숭덕경상관 02208-노기팔)
월 16:30-17:45 (숭덕경상관 02208-노기팔)","2학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크
3학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크
4학년 경영학부 ,회계학과 ,벤처중소 ,금융, 보험계리리스크"
,전선-회계학과,복선-회계학과/부선-회계학과,,2150328301,중급회계1,,,,박경호,회계학과,3.0/3.0,0,40,화 수 10:30-11:45 (숭덕경상관 02210-박경호),2학년 회계학과
,전선-회계학과,복선-회계학과/부선-회계학과,,2150328302,중급회계1,,,,박경호,회계학과,3.0/3.0,0,40,월 수 15:00-16:15 (숭덕경상관 02209-박경호),2학년 회계학과
,전선-회계학과,복선-회계학과/부선-회계학과,,2150328303,중급회계1,,, (공통-재수강),박경호,회계학과,3.0/3.0,0,40,화 목 15:00-16:15 (숭덕경상관 02209-박경호),"2학년 회계학과
3학년 회계학과
4학년 회계학과"
,전선-회계학과,복선-회계학과/부선-회계학과,,2150328304,중급회계1,,, (공통-재수강),이용선,회계학과,3.0/3.0,0,40,"목 16:30-17:45 (숭덕경상관 02209-이용선)
목 18:00-19:15 (숭덕경상관 02209-이용선)","2학년 회계학과
3학년 회계학과
4학년 회계학과"
,전필-회계학과,복선-회계학과/부선-회계학과,,2150609801,중급회계2,,, (공통-재수강),김용수,회계학과,3.0/3.0,0,40,"수 09:00-10:15 (문화관 03314-김용수)
수 10:30-11:45 (문화관 03314-김용수)","2학년 회계학과
3학년 회계학과
4학년 회계학과"
,교직전공-회계,,,5012317401,상업교과교육론,교직전공(교과교육영역); 학점교류생 수강불가,,,이종호,학사팀,3.0/3.0,0,40,월 18:00-20:45 (조만식기념관 12202-이종호),"3학년 ;교직이수자 ,컴퓨터 ,경영학부 ,회계학과 ,글로벌통상
4학년 ;교직이수자 ,경영학부 ,회계학과 ,글로벌통상 ,컴퓨터"
,교직전공-회계,,,5010162001,상업교과논리및논술,교직전공(교과교육영역); 학점교류생 수강불가,,,이종호,학사팀,3.0/2.0,0,20,목 18:00-20:45 (조만식기념관 12202-이종호),"3학년 ;교직이수자 ,경영학부 ,회계학과 ,글로벌통상 ,컴퓨터
4학년 ;교직이수자 ,경영학부 ,회계학과 ,글로벌통상 ,컴퓨터"
