계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-경제,복선-경제/부선-경제,,2150169401,경제수학,,,,강달원,경제학과,3.0/3.0,0,40,"수 10:30-11:45 (숭덕경상관 02109-강달원)
목 09:00-10:15 (숭덕경상관 02109-강달원)",1학년 경제
,전기-경제,복선-경제/부선-경제,,2150169402,경제수학,,,,강달원,경제학과,3.0/3.0,0,40,"화 10:30-11:45 (숭덕경상관 02212-강달원)
목 10:30-11:45 (숭덕경상관 02109-강달원)",1학년 경제
,전기-경제,복선-경제/부선-경제,,2150169403,경제수학,,,,김형진,경제학과,3.0/3.0,0,40,"수 10:30-11:45 (교육관 06302-김형진)
수 12:00-13:15 (교육관 06302-김형진)",1학년 경제
,전기-경제,복필-경제/부선-경제,,5010210701,경제원론,,,,김현숙,경제학과,3.0/3.0,0,40,"화 13:30-14:45 (숭덕경상관 02107-김현숙)
목 15:00-16:15 (숭덕경상관 02107-김현숙)",1학년 경제
,전기-경제,복필-경제/부선-경제,,5010210702,경제원론,,,,임재규,경제학과,3.0/3.0,0,40,"월 13:30-14:45 (숭덕경상관 02107-임재규)
화 10:30-11:45 (숭덕경상관 02107-임재규)",1학년 경제
,전기-경제,복필-경제/부선-경제,,5010210703,경제원론,,,,송해련,경제학과,3.0/3.0,0,40,"월 15:00-16:15 (미래관 20304-송해련)
월 16:30-17:45 (미래관 20304-송해련)",1학년 경제
,전기-경제,복필-경제/부선-경제,,5010210704,경제원론,,,,김희중,경제학과,3.0/3.0,0,40,"목 15:00-16:15 (숭덕경상관 02108-김희중)
목 16:30-17:45 (숭덕경상관 02108-김희중)",1학년 경제
,전선-경제,복선-경제/부선-경제,,2150441801,경영학의이해,,,,김진아,경제학과,3.0/3.0,0,40,"월 16:30-17:45 (숭덕경상관 02109-김진아)
월 18:00-19:15 (숭덕경상관 02109-김진아)",2학년 경제
,전기-경제,복선-경제/부선-경제,,2150518901,경제통계와데이터분석,,,,이유수,경제학과,3.0/3.0,0,40,"월 16:30-17:45 (숭덕경상관 02209-이유수)
수 16:30-17:45 (숭덕경상관 02109-이유수)",2학년 경제
,전기-경제,복선-경제/부선-경제,,2150518902,경제통계와데이터분석,,,,오주현,경제학과,3.0/3.0,0,40,"월 15:00-16:15 (백마관 07219-오주현)
월 16:30-17:45 (백마관 07219-오주현)",2학년 경제
,전기-경제,복선-경제/부선-경제,,2150518903,경제통계와데이터분석,,,,오주현,경제학과,3.0/3.0,0,40,"월 12:00-13:15 (백마관 07219-오주현)
월 13:30-14:45 (백마관 07219-오주현)",2학년 경제
,전선-경제,복선-경제/부선-경제,,2150434501,디지털경제와화폐금융,,,,이승헌,경제학과,3.0/3.0,0,40,화 목 13:30-14:45 (미래관 20304-이승헌),2학년 경제
,전선-경제,복선-경제/부선-경제,,2150434502,디지털경제와화폐금융,,,,김형진,경제학과,3.0/3.0,0,40,"금 10:30-11:45 (숭덕경상관 02109-김형진)
금 12:00-13:15 (숭덕경상관 02109-김형진)",2학년 경제
,전필-경제,복필-경제/부선-경제/융선-동아시아경제통상/융선-순환경제·친환경,,2150267101,미시경제학,,,,박창수,경제학과,3.0/3.0,0,40,"목 10:30-11:45 (숭덕경상관 02107-박창수)
금 10:30-11:45 (숭덕경상관 02209-박창수)","2학년 경제,동아시아경제통상융합,순환경제·친환경화학소재 ,경제"
,전필-경제,복필-경제/부선-경제/융선-동아시아경제통상/융선-순환경제·친환경,,2150267102,미시경제학,,,,김형진,경제학과,3.0/3.0,0,40,"목 12:00-13:15 (숭덕경상관 02107-김형진)
목 13:30-14:45 (숭덕경상관 02107-김형진)","2학년 경제,동아시아경제통상융합,순환경제·친환경화학소재"
,전필-경제,복필-경제/부선-경제/융선-동아시아경제통상/융선-순환경제·친환경,,2150267103,미시경제학,,,,강달원,경제학과,3.0/3.0,0,40,화 수 15:00-16:15 (숭덕경상관 02107-강달원),"2학년 경제,동아시아경제통상융합,순환경제·친환경화학소재"
,전필-경제,복필-경제/부선-경제/융선-동아시아경제통상/융선-순환경제·친환경,,2150267104,미시경제학,,,,강달원,경제학과,3.0/3.0,0,40,"월 15:00-16:15 (숭덕경상관 02107-강달원)
수 16:30-17:45 (숭덕경상관 02107-강달원)","2학년 경제,동아시아경제통상융합,순환경제·친환경화학소재"
,전선-경제,복선-경제/부선-경제,,2150156501,비교경제제도론,,,,강달원,경제학과,3.0/3.0,0,40,"월 10:30-11:45 (숭덕경상관 02109-강달원)
화 16:30-17:45 (숭덕경상관 02107-강달원)",2학년 경제
,전선-경제,복선-경제/부선-경제,,2150547001,AI·빅데이터기반경제이슈분석,,영어,,곽보름,경제학과,3.0/3.0,0,40,수 목 13:30-14:45 (숭덕경상관 02109-곽보름),3학년 경제
