계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전선-국제무역,복선-국제무역/부선-국제무역,,2150155301,ESG경영전략,4학년 우선신청,대면+녹화,,신우철,국제무역학과,3.0/3.0,0,55,수 19:30-20:45 (숭덕경상관 02111-신우철),전체학년 국제무역 (대상외수강제한)(대상외수강제한)
,전기-국제무역,복선-국제무역/부선-국제무역,,2150655201,경제원론,1학년 우선신청,대면+녹화,,이인구,국제무역학과,3.0/3.0,0,35,토 13:30-14:45 (숭덕경상관 02110-이인구),전체학년 국제무역 (대상외수강제한)(대상외수강제한)
,전기-국제무역,복선-국제무역/부선-국제무역,,2150655202,경제원론,1학년 우선신청,대면+녹화,,최혜린,국제무역학과,3.0/3.0,0,35,토 13:30-14:45 (숭덕경상관 02111-최혜린),전체학년 국제무역 (대상외수강제한)(대상외수강제한)
,전선-국제무역,복선-국제무역/부선-국제무역,,2150033901,국제거시경제이론,4학년 우선신청,대면+녹화,,최혜린,국제무역학과,3.0/3.0,0,55,토 15:00-16:15 (숭덕경상관 02110-최혜린),전체학년 국제무역 (대상외수강제한)(대상외수강제한)
,전선-국제무역,복선-국제무역/부선-국제무역,,2150675801,국제결제론,3학년 우선신청,,,한재필,국제무역학과,3.0/3.0,0,55,"화 19:30-20:45 (숭덕경상관 02110-한재필)
화 21:00-22:15 (숭덕경상관 02110-한재필)",전체학년 국제무역 (대상외수강제한)(대상외수강제한)
,전선-국제무역,복선-국제무역/부선-국제무역,,2150682501,국제금융이론,3학년 우선신청,,,이인구,국제무역학과,3.0/3.0,0,55,"월 19:30-20:45 (숭덕경상관 02111-이인구)
월 21:00-22:15 (숭덕경상관 02111-이인구)",전체학년 국제무역 (대상외수강제한)(대상외수강제한)
,전선-국제무역,복선-국제무역/부선-국제무역,,2150676001,국제마케팅,3학년 우선신청,대면+녹화,,조승호,국제무역학과,3.0/3.0,0,55,토 10:30-11:45 (숭덕경상관 02111-조승호),전체학년 국제무역 (대상외수강제한)(대상외수강제한)
,전선-국제무역,복선-국제무역/부선-국제무역,,2150009901,국제물류관리론,2학년 우선신청,,,한재필,국제무역학과,3.0/3.0,0,55,"월 19:30-20:45 (숭덕경상관 02201-한재필)
월 21:00-22:15 (숭덕경상관 02201-한재필)",전체학년 국제무역 (대상외수강제한)(대상외수강제한)
,전기-국제무역,복선-국제무역/부선-국제무역,,2150916901,국제상무의이해,1학년 우선신청,대면+녹화,,이병문,국제무역학과,3.0/3.0,0,35,토 10:30-11:45 (숭덕경상관 02110-이병문),전체학년 국제무역 (대상외수강제한)(대상외수강제한)
,전기-국제무역,복선-국제무역/부선-국제무역,,2150916902,국제상무의이해,1학년 우선신청,대면+녹화,,신홍섭,국제무역학과,3.0/3.0,0,35,토 10:30-11:45 (숭덕경상관 02208-신홍섭),전체학년 국제무역 (대상외수강제한)(대상외수강제한)
,전선-국제무역,복선-국제무역/부선-국제무역,,2150676101,국제운송실무,3학년 우선신청,대면+녹화,,이병문,국제무역학과,3.0/3.0,0,65,수 19:30-20:45 (숭덕경상관 02201-이병문),전체학년 국제무역 (대상외수강제한)(대상외수강제한)
,전선-국제무역,복선-국제무역/부선-국제무역,,2150693601,국제전자무역,4학년 우선신청,,,허해관,국제무역학과,3.0/3.0,0,55,"월 19:30-20:45 (숭덕경상관 02101-허해관)
월 21:00-22:15 (숭덕경상관 02101-허해관)",전체학년 국제무역 (대상외수강제한)(대상외수강제한)
,전기-국제무역,복필-국제무역/부선-국제무역,,2150916801,국제통상개론,1학년 우선신청,대면+녹화, (팀티칭),"이인구
오선영",국제무역학과,3.0/3.0,0,35,"토 12:00-13:15 (숭덕경상관 02111-오선영)
토 12:00-13:15 (숭덕경상관 02111-이인구)",전체학년 국제무역 (대상외수강제한)(대상외수강제한)
,전기-국제무역,복필-국제무역/부선-국제무역,,2150916802,국제통상개론,1학년 우선신청,대면+녹화, (팀티칭),"이인구
오선영",국제무역학과,3.0/3.0,0,35,"토 12:00-13:15 (숭덕경상관 02110-이인구)
토 12:00-13:15 (숭덕경상관 02110-오선영)",전체학년 국제무역 (대상외수강제한)(대상외수강제한)
,전선-국제무역,복선-국제무역/부선-국제무역,,2150670601,국제통상법,2학년 우선신청,대면+녹화,,오선영,국제무역학과,3.0/3.0,0,55,토 10:30-11:45 (숭덕경상관 02201-오선영),전체학년 국제무역 (대상외수강제한)(대상외수강제한)
,전선-국제무역,복선-국제무역/부선-국제무역,,2150662301,글로벌경영의이해,2학년 우선신청,대면+녹화,,조승호,국제무역학과,3.0/3.0,0,55,토 12:00-13:15 (숭덕경상관 02201-조승호),전체학년 국제무역 (대상외수강제한)(대상외수강제한)
,전선-국제무역,복선-국제무역/부선-국제무역,,2150012301,수출입통관과관세,2학년 우선신청,,,허해관,국제무역학과,3.0/3.0,0,60,"토 13:30-14:45 (숭덕경상관 02201-허해관)
토 15:00-16:15 (숭덕경상관 02201-허해관)",전체학년 국제무역 (대상외수강제한)(대상외수강제한)
