계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전선-글로벌통상,복선-글로벌통상/부선-글로벌통상,,2150677501,GTEP무역실습1,GTEP 학생만 수강가능,,,조승호,글로벌통상학과,3.0/3.0,0,0,,"전체학년 글로벌통상, GTEP 실습생"
,전기-글로벌통상,복선-글로벌통상/부선-글로벌통상,,2150108104,경영학의이해,1학년 우선신청,,,정지윤,글로벌통상학과,3.0/3.0,0,45,월 수 15:00-16:15 (숭덕경상관 02110-정지윤),"전체학년 ;순수외국인입학생 ,글로벌통상 (대상외수강제한)(대상외수강제한)"
,전기-글로벌통상,복선-글로벌통상/부선-글로벌통상,,2150108105,경영학의이해,1학년 우선신청,,,한주영,글로벌통상학과,3.0/3.0,0,45,"목 15:00-16:15 (숭덕경상관 02110-한주영)
목 16:30-17:45 (숭덕경상관 02110-한주영)",전체학년 글로벌통상;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전기-글로벌통상,복선-글로벌통상/부선-글로벌통상,,2150108106,경영학의이해,1학년 우선신청,,,이정아,글로벌통상학과,3.0/3.0,0,45,"월 16:30-17:45 (숭덕경상관 02101-이정아)
월 18:00-19:15 (숭덕경상관 02101-이정아)","전체학년 ;순수외국인입학생 ,글로벌통상 (대상외수강제한)(대상외수강제한)"
,전선-글로벌통상,복선-글로벌통상/부선-글로벌통상/융선-동아시아경제통상,,2150117203,관세론,2학년 우선신청,,,박미봉,글로벌통상학과,3.0/3.0,0,40,"월 13:30-14:45 (진리관 11309-박미봉)
월 15:00-16:15 (진리관 11309-박미봉)",전체학년 글로벌통상;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전선-글로벌통상,복선-글로벌통상/부선-글로벌통상,,2150404903,국제거래관습,4학년 우선신청,,,박미봉,글로벌통상학과,3.0/3.0,0,40,"월 10:30-11:45 (진리관 11309-박미봉)
월 12:00-13:15 (진리관 11309-박미봉)",전체학년 글로벌통상;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전선-글로벌통상,복선-글로벌통상/부선-글로벌통상/융선-동아시아경제통상,,2150372503,국제결제와신용장,3학년 우선신청,,,한재필,글로벌통상학과,3.0/3.0,0,40,"화 15:00-16:15 (숭덕경상관 02110-한재필)
수 12:00-13:15 (숭덕경상관 02110-한재필)",전체학년 글로벌통상;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전선-글로벌통상,복필-글로벌통상/부선-글로벌통상/연계2-융합창업/융선-동아시아경제통상,,2150317005,국제상무론,2학년 우선신청,,,안현기,글로벌통상학과,3.0/3.0,0,40,"목 13:30-14:45 (백마관 07219-안현기)
목 15:00-16:15 (백마관 07219-안현기)",전체학년 글로벌통상;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전선-글로벌통상,복필-글로벌통상/부선-글로벌통상/연계2-융합창업/융선-동아시아경제통상,,2150317006,국제상무론,2학년 우선신청,,,김필준,글로벌통상학과,3.0/3.0,0,40,"화 15:00-16:15 (백마관 07219-김필준)
화 16:30-17:45 (백마관 07219-김필준)",전체학년 글로벌통상;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전선-글로벌통상,복필-글로벌통상/부선-글로벌통상/연계2-융합창업/융선-동아시아경제통상,,2150317007,국제상무론,2학년 우선신청,,,이병문,글로벌통상학과,3.0/3.0,0,40,화 목 10:30-11:45 (숭덕경상관 02111-이병문),"전체학년 ;순수외국인입학생 ,글로벌통상 (대상외수강제한)(대상외수강제한)"
,전선-글로벌통상,복선-글로벌통상/부선-글로벌통상,,2150435003,국제운송론,3학년 우선신청,,,안현기,글로벌통상학과,3.0/3.0,0,40,"목 09:00-10:15 (진리관 11309-안현기)
목 10:30-11:45 (진리관 11309-안현기)",전체학년 글로벌통상;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전기-글로벌통상,복선-글로벌통상/부선-글로벌통상,,2150331804,국제통상개론,1학년 우선신청,,,박창기,글로벌통상학과,3.0/3.0,0,45,화 목 16:30-17:45 (숭덕경상관 02111-박창기),전체학년 글로벌통상;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전기-글로벌통상,복선-글로벌통상/부선-글로벌통상,,2150331805,국제통상개론,1학년 우선신청,,,고상훈,글로벌통상학과,3.0/3.0,0,45,월 수 16:30-17:45 (문화관 03312-고상훈),전체학년 글로벌통상;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전기-글로벌통상,복선-글로벌통상/부선-글로벌통상,,2150331806,국제통상개론,1학년 우선신청,,,김종길,글로벌통상학과,3.0/3.0,0,45,"수 15:00-16:15 (문화관 03106-김종길)
수 16:30-17:45 (문화관 03106-김종길)","전체학년 ;순수외국인입학생 ,글로벌통상 (대상외수강제한)(대상외수강제한)"
,전선-글로벌통상,복필-글로벌통상/부선-글로벌통상,,2150360904,국제통상법,2학년 우선신청,,,오선영,글로벌통상학과,3.0/3.0,0,40,월 수 10:30-11:45 (숭덕경상관 02201-오선영),전체학년 글로벌통상;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전선-글로벌통상,복필-글로벌통상/부선-글로벌통상,,2150360905,국제통상법,2학년 우선신청,,,김두수,글로벌통상학과,3.0/3.0,0,40,"화 15:00-16:15 (진리관 11309-김두수)
목 12:00-13:15 (진리관 11309-김두수)","전체학년 ;순수외국인입학생 ,글로벌통상 (대상외수강제한)(대상외수강제한)"
,전선-글로벌통상,복선-글로벌통상/부선-글로벌통상,,2150530801,국제통상지역언어,2학년 우선신청,,,구기보,글로벌통상학과,3.0/3.0,0,40,화 목 12:00-13:15 (숭덕경상관 02110-구기보),전체학년 글로벌통상;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전선-글로벌통상,복선-글로벌통상/부선-글로벌통상,,2150530805,국제통상지역언어,2학년 우선신청,,,홍정륜,글로벌통상학과,3.0/3.0,0,40,화 목 10:30-11:45 (문화관 03312-홍정륜),전체학년 글로벌통상;순수외국인입학생 (대상외수강제한)(대상외수강제한)
,전선-글로벌통상,복선-글로벌통상/부선-글로벌통상,,2150372403,글로벌마케팅,3학년 우선신청,,,조승호,글로벌통상학과,3.0/3.0,0,40,수 목 13:30-14:45 (숭덕경상관 02201-조승호),전체학년 글로벌통상;순수외국인입학생 (대상외수강제한)(대상외수강제한)
