계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-금융경제,복필-금융경제/부선-금융경제,,2150917001,경제원론1,,,,김현숙,금융경제학과,3.0/3.0,0,35,"토 09:00-10:15 (숭덕경상관 02107-김현숙)
토 10:30-11:45 (숭덕경상관 02107-김현숙)",1학년 금융경제 (대상외수강제한)(대상외수강제한)
,전기-금융경제,복필-금융경제/부선-금융경제,,2150917002,경제원론1,,,,,금융경제학과,3.0/3.0,0,35,"토 09:00-10:15 (숭덕경상관 02108-)
토 10:30-11:45 (숭덕경상관 02108-)",1학년 금융경제 (대상외수강제한)(대상외수강제한)
,전선-금융경제,복선-금융경제/부선-금융경제,,2150917201,북&시네마경제학,,,,안시형,금융경제학과,3.0/3.0,0,52,"화 19:30-20:45 (숭덕경상관 02108-안시형)
화 21:00-22:15 (숭덕경상관 02108-안시형)",1학년 금융경제 (대상외수강제한)(대상외수강제한)
,전기-금융경제,복선-금융경제/부선-금융경제,,2150662701,경제통계,,대면+녹화,,장성연,금융경제학과,3.0/3.0,0,55,화 19:30-20:45 (숭덕경상관 02107-장성연),2학년 금융경제 (대상외수강제한)(대상외수강제한)
,전선-금융경제,복선-금융경제/부선-금융경제,,2150663101,금융제도와법,,,,조상연,금융경제학과,3.0/3.0,0,55,"토 09:00-10:15 (형남공학관 05112 (배명진강의실)-조상연)
토 10:30-11:45 (형남공학관 05112 (배명진강의실)-조상연)",2학년 금융경제(경제학과) (대상외수강제한)(대상외수강제한)
,전선-금융경제,복선-금융경제/부선-금융경제,,2150662801,미시경제학,,,,박창수,금융경제학과,3.0/3.0,0,35,"토 12:00-13:15 (숭덕경상관 02109-박창수)
토 13:30-14:45 (숭덕경상관 02109-박창수)",2학년 금융경제 (대상외수강제한)(대상외수강제한)
,전선-금융경제,복선-금융경제/부선-금융경제,,2150662802,미시경제학,,,,강달원,금융경제학과,3.0/3.0,0,35,"토 12:00-13:15 (숭덕경상관 02108-강달원)
토 13:30-14:45 (숭덕경상관 02108-강달원)",2학년 금융경제 (대상외수강제한)(대상외수강제한)
,전기-금융경제,복선-금융경제/부선-금융경제,,2150662901,회계원리,,,,조용생,금융경제학과,3.0/3.0,0,55,"수 19:30-20:45 (숭덕경상관 02109-조용생)
수 21:00-22:15 (숭덕경상관 02109-조용생)",2학년 금융경제 (대상외수강제한)(대상외수강제한)
,전선-금융경제,복선-금융경제/부선-금융경제,,2150675401,국제금융론,,,,박준우,금융경제학과,3.0/3.0,0,55,"토 12:00-13:15 (문화관 03110-박준우)
토 13:30-14:45 (문화관 03110-박준우)",3학년 금융경제(경제학과) (대상외수강제한)(대상외수강제한)
,전선-금융경제,복선-금융경제/부선-금융경제,,2150675301,기업금융과투자전략,,,,송한진,금융경제학과,3.0/3.0,0,55,"수 19:30-20:45 (숭덕경상관 02107-송한진)
수 21:00-22:15 (숭덕경상관 02107-송한진)",3학년 금융경제(경제학과) (대상외수강제한)(대상외수강제한)
,전선-금융경제,복선-금융경제/부선-금융경제,,2150663501,기업평가의이해,,,,송인찬,금융경제학과,3.0/3.0,0,55,"월 19:30-20:45 (숭덕경상관 02109-송인찬)
월 21:00-22:15 (숭덕경상관 02109-송인찬)",3학년 금융경제(경제학과) (대상외수강제한)(대상외수강제한)
,전선-금융경제,복선-금융경제/부선-금융경제,,2150675501,채권투자론,,,,신동준,금융경제학과,3.0/3.0,0,55,"토 09:00-10:15 (숭덕경상관 02109-신동준)
토 10:30-11:45 (숭덕경상관 02109-신동준)",3학년 금융경제(경제학과) (대상외수강제한)(대상외수강제한)
,전선-금융경제,복선-금융경제/부선-금융경제,,2150675601,파생상품론,,,,신동국,금융경제학과,3.0/3.0,0,55,"목 19:30-20:45 (숭덕경상관 02107-신동국)
목 21:00-22:15 (숭덕경상관 02107-신동국)",3학년 금융경제(경제학과) (대상외수강제한)(대상외수강제한)
,전선-금융경제,복선-금융경제/부선-금융경제,,2150010301,금융경제학세미나,,,,황정호,금융경제학과,3.0/3.0,0,55,"화 19:30-20:45 (숭덕경상관 02109-황정호)
화 21:00-22:15 (숭덕경상관 02109-황정호)",4학년 금융경제(경제학과) (대상외수강제한)(대상외수강제한)
,전선-금융경제,복선-금융경제/부선-금융경제,,2150693301,사모펀드개요및실무,,,,김형윤,금융경제학과,3.0/3.0,0,55,"월 19:30-20:45 (숭덕경상관 02317-김형윤)
월 21:00-22:15 (숭덕경상관 02317-김형윤)",4학년 금융경제(경제학과) (대상외수강제한)(대상외수강제한)
,전선-금융경제,복선-금융경제/부선-금융경제,,2150693401,투자심리와행동경제학,,,,,금융경제학과,3.0/3.0,0,50,"수 19:30-20:45 (숭덕경상관 02108-)
수 21:00-22:15 (숭덕경상관 02108-)",4학년 금융경제(경제학과) (대상외수강제한)(대상외수강제한)
,전선-금융경제,복선-금융경제/부선-금융경제,,2150127401,한국경제론,,,,박인수,금융경제학과,3.0/3.0,0,55,"목 19:30-20:45 (숭덕경상관 02108-박인수)
목 21:00-22:15 (숭덕경상관 02108-박인수)",4학년 금융경제(경제학과) (대상외수강제한)(대상외수강제한)
