계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-기계,,,5006762801,(공통)물리1및실험,,,,"이순녀
최현희",물리학과,4.0/3.0,0,25,"월 13:00-13:50 (조만식기념관 12214-이순녀)
월 14:00-14:50 (조만식기념관 12214-이순녀)
월 15:00-15:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)
월 16:00-16:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-기계,,,5006762802,(공통)물리1및실험,,,,김남미,물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12123-김남미)
수 14:00-14:50 (조만식기념관 12123-김남미)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-기계,,,5006762803,(공통)물리1및실험,,,,"김남미
이순녀",물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12124-이순녀)
수 14:00-14:50 (조만식기념관 12124-이순녀)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-기계,복선-기계/부선-기계,,5010198501,공학물리1,,EL+,,송기영,기계공학부,3.0/3.0,0,40,"월 12:00-13:15 (백마관 07318-송기영)
화 12:00-13:15 (문화관 03208-송기영)",1학년 기계
,전기-기계,복선-기계/부선-기계,,5010198502,공학물리1,,EL+,,송기영,기계공학부,3.0/3.0,0,40,"월 13:30-14:45 (백마관 07318-송기영)
화 13:30-14:45 (문화관 03208-송기영)",1학년 기계
,전기-기계,복선-기계/부선-기계,,5010198503,공학물리1,,,,노형운,기계공학부,3.0/3.0,0,40,"수 15:00-16:15 (문화관 03208-노형운)
수 16:30-17:45 (문화관 03208-노형운)",1학년 기계
,전기-기계,복선-기계/부선-기계,,2150613701,공학수학1,,,,이윤우,기계공학부,3.0/3.0,0,40,"월 16:30-17:45 (안익태기념관 04403-이윤우)
수 15:00-16:15 (형남공학관 05111-이윤우)",1학년 기계
,전기-기계,복선-기계/부선-기계,,2150613702,공학수학1,,,,이강현,기계공학부,3.0/3.0,0,40,"월 15:00-16:15 (안익태기념관 04403-이강현)
수 12:00-13:15 (안익태기념관 04403-이강현)",1학년 기계
,전기-기계,복선-기계/부선-기계,,2150613703,공학수학1,,,,이강현,기계공학부,3.0/3.0,0,40,"화 10:30-11:45 (형남공학관 05111-이강현)
수 09:00-10:15 (형남공학관 05111-이강현)",1학년 기계
,전기-기계,복선-기계/부선-기계,,5010192201,인공지능프로그래밍기초,,,,이윤우,기계공학부,3.0/3.0,0,40,"화 15:00-16:15 (형남공학관 05320 (공대실습실)-이윤우)
목 13:30-14:45 (형남공학관 05320 (공대실습실)-이윤우)",1학년 기계
,전기-기계,복선-기계/부선-기계,,5010192202,인공지능프로그래밍기초,,,,이윤우,기계공학부,3.0/3.0,0,40,"수 13:30-14:45 (형남공학관 05320 (공대실습실)-이윤우)
목 16:30-17:45 (형남공학관 05320 (공대실습실)-이윤우)",1학년 기계
,전기-기계,복선-기계/부선-기계,,5010192203,인공지능프로그래밍기초,,,,이윤우,기계공학부,3.0/3.0,0,40,"화 16:30-17:45 (형남공학관 05320 (공대실습실)-이윤우)
목 15:00-16:15 (형남공학관 05320 (공대실습실)-이윤우)",1학년 기계
,전선-기계,복선-기계/부선-기계/융선-AI모빌리티융합/융선-스마트자동차융합,,5010234901,고급공학수학1,,,,이동령,기계공학부,3.0/3.0,0,40,"화 09:00-10:15 (형남공학관 05111-이동령)
수 09:00-10:15 (문화관 03208-이동령)","2학년 기계,스마트자동차융합,AI모빌리티융합"
,전선-기계,복선-기계/부선-기계/융선-AI모빌리티융합/융선-스마트자동차융합,,5010234902,고급공학수학1,,,,이동령,기계공학부,3.0/3.0,0,40,"월 13:30-14:45 (안익태기념관 04403-이동령)
수 13:30-14:45 (문화관 03208-이동령)","2학년 기계,스마트자동차융합,AI모빌리티융합"
,전선-기계,복선-기계/부선-기계/융선-AI모빌리티융합/융선-스마트자동차융합,,5010234903,고급공학수학1,,,,노형운,기계공학부,3.0/3.0,0,40,"목 10:30-11:45 (백마관 07318-노형운)
목 12:00-13:15 (백마관 07318-노형운)","2학년 기계,스마트자동차융합,AI모빌리티융합"
,전필-기계,복선-기계/부필-기계/융선-지식재산융합,,2150356101,고체역학,,,,박성훈,기계공학부,3.0/3.0,0,40,월 화 16:30-17:45 (형남공학관 05111-박성훈),"2학년 기계 ,지식재산융합"
,전필-기계,복선-기계/부필-기계/융선-지식재산융합,,2150356102,고체역학,,,,이원,기계공학부,3.0/3.0,0,40,"화 09:00-10:15 (안익태기념관 04403-이원)
수 10:30-11:45 (안익태기념관 04403-이원)","2학년 기계, 지식재산융합"
,전필-기계,복선-기계/부필-기계/융선-지식재산융합,,2150356103,고체역학,,,,이원,기계공학부,3.0/3.0,0,40,"화 10:30-11:45 (안익태기념관 04403-이원)
수 09:00-10:15 (안익태기념관 04403-이원)","2학년 기계, 지식재산융합"
,전선-기계,복선-기계/부선-기계,,2150322001,기구학,,,,안정호,기계공학부,3.0/3.0,0,40,"수 12:00-13:15 (형남공학관 05420 (기계공학과제도실)-안정호)
수 13:30-14:45 (형남공학관 05420 (기계공학과제도실)-안정호)",2학년 기계
,전선-기계,복선-기계/부선-기계,,2150322002,기구학,,,,안정호,기계공학부,3.0/3.0,0,40,"수 15:00-16:15 (형남공학관 05420 (기계공학과제도실)-안정호)
수 16:30-17:45 (형남공학관 05420 (기계공학과제도실)-안정호)",2학년 기계
