계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-산업·정보,,,5006763001,화학1및실험,,,,장상목,화학과,4.0/3.0,0,25,"화 15:00-15:50 (숭덕경상관 02318-장상목)
화 16:00-16:50 (숭덕경상관 02318-장상목)
목 14:00-14:50 (베어드홀 01213 (일반화학실험실)-장상목)
목 15:00-15:50 (베어드홀 01213 (일반화학실험실)-장상목)","전체학년 물리 ,산업정보 ,신소재 ,의생명시스템 ,전기 ,화공 ,화학"
,전선-산업·정보,복선-산업·정보/부선-산업·정보,,2150059401,[심화]Co-op SAP 트랙,,,,"홍지만
최종석",SW교육팀,6.0/6.0,0,0,"월 화 18:00-19:15 (전산관 19328 (첨단PC실습실)-홍지만)
수 목 18:00-19:15 (전산관 19328 (첨단PC실습실)-최종석)",전체
,전기-산업·정보,복선-산업·정보/부선-산업·정보,MSC-산업공인증/인필-산업공인증,2150613801,기초공학수학1,,,,최성자,산업·정보시스템공학과,3.0/3.0,0,50,"화 10:30-11:45 (미래관 20201-최성자)
목 13:30-14:45 (안익태기념관 04403-최성자)",1학년 산업정보 (대상외수강제한)(대상외수강제한)
,전기-산업·정보,복선-산업·정보/부선-산업·정보,MSC-산업공인증/인필-산업공인증,2150613802,기초공학수학1,,,,김연욱,산업·정보시스템공학과,3.0/3.0,0,50,"화 10:30-11:45 (미래관 20305-김연욱)
목 13:30-14:45 (안익태기념관 04404-김연욱)",1학년 산업정보 (대상외수강제한)(대상외수강제한)
,전선-산업·정보,복선-산업·정보/부선-산업·정보,공학주제-산업공인증/인필-산업공인증,2150652201,산업정보시스템공학개론,,,,손재동,산업·정보시스템공학과,3.0/3.0,0,40,"월 15:00-16:15 (형남공학관 05B124-손재동)
수 13:30-14:45 (형남공학관 05B124-손재동)",1학년 산업정보
,전선-산업·정보,복선-산업·정보/부선-산업·정보,공학주제-산업공인증/인필-산업공인증,2150652202,산업정보시스템공학개론,,,,손재동,산업·정보시스템공학과,3.0/3.0,0,40,"화 12:00-13:15 (형남공학관 05B124-손재동)
목 16:30-17:45 (형남공학관 05B124-손재동)",1학년 산업정보
,전선-산업·정보,복선-산업·정보/부선-산업·정보,공학주제-산업공인증/인필-산업공인증,2150652203,산업정보시스템공학개론,,,,손재동,산업·정보시스템공학과,3.0/3.0,0,40,"화 15:00-16:15 (형남공학관 05B124-손재동)
목 15:00-16:15 (형남공학관 05B124-손재동)",1학년 산업정보
,전기-산업·정보,복선-산업·정보/부선-산업·정보,MSC-산업공인증/인필-산업공인증,5010192801,프로그래밍1,,,,이건호,산업·정보시스템공학과,3.0/3.0,0,40,화 수 09:00-10:15 (형남공학관 05320 (공대실습실)-이건호),1학년 산업정보
,전기-산업·정보,복선-산업·정보/부선-산업·정보,MSC-산업공인증/인필-산업공인증,5010192802,프로그래밍1,,,,최유리,산업·정보시스템공학과,3.0/3.0,0,40,"수 12:00-13:15 (형남공학관 05719 (산공과 전산실습실1)-최유리)
수 13:30-14:45 (형남공학관 05719 (산공과 전산실습실1)-최유리)",1학년 산업정보
,전기-산업·정보,복선-산업·정보/부선-산업·정보,MSC-산업공인증/인필-산업공인증,5010192803,프로그래밍1,,,,최유리,산업·정보시스템공학과,3.0/3.0,0,40,"수 15:00-16:15 (형남공학관 05719 (산공과 전산실습실1)-최유리)
수 16:30-17:45 (형남공학관 05719 (산공과 전산실습실1)-최유리)",1학년 산업정보
,전기-산업·정보,복선-산업·정보/부선-산업·정보,MSC-산업공인증/인필-산업공인증,5010196801,화학1및실험,,,,박연실,산업·정보시스템공학과,4.0/3.0,0,25,"월 09:00-09:50 (문화관 03105-박연실)
월 10:00-10:50 (문화관 03105-박연실)
월 11:00-11:50 (베어드홀 01213 (일반화학실험실)-박연실)
월 12:00-12:50 (베어드홀 01213 (일반화학실험실)-박연실)",1학년 산업정보
,전기-산업·정보,복선-산업·정보/부선-산업·정보,MSC-산업공인증/인필-산업공인증,5010196802,화학1및실험,,,,"박연실
강성훈",산업·정보시스템공학과,4.0/3.0,0,25,"월 09:00-09:50 (문화관 03105-박연실)
월 10:00-10:50 (문화관 03105-박연실)
월 11:00-11:50 (베어드홀 01214 (일반화학실험실)-강성훈)
월 12:00-12:50 (베어드홀 01214 (일반화학실험실)-강성훈)",1학년 산업정보
,전기-산업·정보,복선-산업·정보/부선-산업·정보,MSC-산업공인증/인필-산업공인증,5010196803,화학1및실험,,,,남궁미옥,산업·정보시스템공학과,4.0/3.0,0,25,"월 09:00-09:50 (베어드홀 01213 (일반화학실험실)-남궁미옥)
월 10:00-10:50 (베어드홀 01213 (일반화학실험실)-남궁미옥)
월 11:00-11:50 (문화관 03105-남궁미옥)
월 12:00-12:50 (문화관 03105-남궁미옥)",1학년 산업정보
,전기-산업·정보,복선-산업·정보/부선-산업·정보,MSC-산업공인증/인필-산업공인증,5010196804,화학1및실험,,,,"남궁미옥
김종훈",산업·정보시스템공학과,4.0/3.0,0,25,"월 09:00-09:50 (베어드홀 01214 (일반화학실험실)-김종훈)
월 10:00-10:50 (베어드홀 01214 (일반화학실험실)-김종훈)
월 11:00-11:50 (문화관 03105-남궁미옥)
월 12:00-12:50 (문화관 03105-남궁미옥)",1학년 산업정보
,전필-산업·정보,복선-산업·정보/부선-산업·정보/융선-ICT유통물류융합/융선-스마트소재제품융합,공학주제-산업공인증/인필-산업공인증,2150558701,경영정보시스템,,,,김동수,산업·정보시스템공학과,3.0/3.0,0,40,"월 12:00-13:15 (형남공학관 05321 (조춘구강의실)-김동수)
목 10:30-11:45 (형남공학관 05321 (조춘구강의실)-김동수)","2학년 산업정보, ICT유통물류융합, 스마트소재제품융합"
,전필-산업·정보,복선-산업·정보/부선-산업·정보/융선-ICT유통물류융합/융선-스마트소재제품융합,공학주제-산업공인증/인필-산업공인증,2150558702,경영정보시스템,,,,김동수,산업·정보시스템공학과,3.0/3.0,0,40,"월 13:30-14:45 (형남공학관 05321 (조춘구강의실)-김동수)
목 12:00-13:15 (형남공학관 05321 (조춘구강의실)-김동수)","2학년 산업정보,스마트소재제품융합,ICT유통물류융합"
