계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-화공,,,5006762801,(공통)물리1및실험,,,,"이순녀
최현희",물리학과,4.0/3.0,0,25,"월 13:00-13:50 (조만식기념관 12214-이순녀)
월 14:00-14:50 (조만식기념관 12214-이순녀)
월 15:00-15:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)
월 16:00-16:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-화공,,,5006762802,(공통)물리1및실험,,,,김남미,물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12123-김남미)
수 14:00-14:50 (조만식기념관 12123-김남미)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-화공,,,5006762803,(공통)물리1및실험,,,,"김남미
이순녀",물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12124-이순녀)
수 14:00-14:50 (조만식기념관 12124-이순녀)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-화공,,,5006763001,화학1및실험,,,,장상목,화학과,4.0/3.0,0,25,"화 15:00-15:50 (숭덕경상관 02318-장상목)
화 16:00-16:50 (숭덕경상관 02318-장상목)
목 14:00-14:50 (베어드홀 01213 (일반화학실험실)-장상목)
목 15:00-15:50 (베어드홀 01213 (일반화학실험실)-장상목)","전체학년 물리 ,산업정보 ,신소재 ,의생명시스템 ,전기 ,화공 ,화학"
,전기-화공,복선-화공/부선-화공/융선-스마트소재제품융합,,2150577801,공학물리1,,영·한혼합,,양태욱,화학공학과,3.0/3.0,0,40,"목 12:00-13:15 (문화관 03308-양태욱)
목 13:30-14:45 (문화관 03308-양태욱)","1학년 화공,스마트소재제품융합"
,전기-화공,복선-화공/부선-화공/융선-스마트소재제품융합,,2150577802,공학물리1,,영·한혼합,,양태욱,화학공학과,3.0/3.0,0,40,"목 15:00-16:15 (문화관 03308-양태욱)
목 16:30-17:45 (문화관 03308-양태욱)","1학년 화공,스마트소재제품융합"
,전기-화공,복선-화공/부선-화공/융선-스마트소재제품융합,,2150577803,공학물리1,,"영·한혼합
EL+",,양태욱,화학공학과,3.0/3.0,0,40,"목 18:00-19:15 (문화관 03308-양태욱)
목 19:30-20:45 (문화관 03308-양태욱)","1학년 화공, 스마트소재제품융합"
,전기-화공,복선-화공/부선-화공,,2150576701,공학수학1,,영·한혼합,,양태욱,화학공학과,3.0/3.0,0,40,"금 15:00-16:15 (문화관 03308-양태욱)
금 16:30-17:45 (문화관 03308-양태욱)",1학년 화공
,전기-화공,복선-화공/부선-화공,,2150576702,공학수학1,,"영·한혼합
EL+",,양태욱,화학공학과,3.0/3.0,0,40,"화 15:00-16:15 (문화관 03308-양태욱)
화 16:30-17:45 (문화관 03308-양태욱)",1학년 화공
,전기-화공,복선-화공/부선-화공,,2150576703,공학수학1,,영·한혼합,,양태욱,화학공학과,3.0/3.0,0,40,"금 12:00-13:15 (문화관 03308-양태욱)
금 13:30-14:45 (문화관 03308-양태욱)",1학년 화공
,전선-화공,복선-화공/부선-화공/융선-스마트소재제품융합,,2150577001,공학화학1,,,,이준협,화학공학과,3.0/3.0,0,40,"월 13:30-14:45 (안익태기념관 04404-이준협)
화 10:30-11:45 (문화관 03208-이준협)","1학년 화공, 스마트소재제품융합"
,전선-화공,복선-화공/부선-화공/융선-스마트소재제품융합,,2150577002,공학화학1,,,,이준협,화학공학과,3.0/3.0,0,40,"월 15:00-16:15 (안익태기념관 04402-이준협)
화 12:00-13:15 (문화관 03106-이준협)","1학년 화공,스마트소재제품융합"
,전선-화공,복선-화공/부선-화공/융선-스마트소재제품융합,,2150577003,공학화학1,,,,이준협,화학공학과,3.0/3.0,0,40,"월 16:30-17:45 (안익태기념관 04402-이준협)
화 15:00-16:15 (안익태기념관 04402-이준협)","1학년 화공,스마트소재제품융합"
,전선-화공,복선-화공/부선-화공/융선-에너지공학융합,,2150113201,공업물리화학1,,,,권혁회,화학공학과,3.0/3.0,0,40,"월 10:30-11:45 (문화관 03308-권혁회)
수 10:30-11:45 (안익태기념관 04402-권혁회)","2학년 화공, 에너지공학융합"
,전선-화공,복선-화공/부선-화공/융선-에너지공학융합,,2150113202,공업물리화학1,,,,권혁회,화학공학과,3.0/3.0,0,40,"월 13:30-14:45 (문화관 03308-권혁회)
수 09:00-10:15 (안익태기념관 04402-권혁회)","2학년 화공,에너지공학융합"
,전선-화공,복선-화공/부선-화공/융선-에너지공학융합,,2150113203,공업물리화학1,,,,권혁회,화학공학과,3.0/3.0,0,40,"월 09:00-10:15 (문화관 03308-권혁회)
수 13:30-14:45 (문화관 03308-권혁회)","2학년 화공, 에너지공학융합"
,전선-화공,복선-화공/부선-화공/융선-스마트안전보건환경,,2150114601,공업유기화학1,,대면+녹화,(40),김윤곤,화학공학과,3.0/3.0,0,40,화 13:30-14:45 (문화관 03308-김윤곤),"2학년 화공,스마트안전보건환경융합"
,전선-화공,복선-화공/부선-화공/융선-스마트안전보건환경,,2150114602,공업유기화학1,,대면+녹화,(40),김윤곤,화학공학과,3.0/3.0,0,40,수 13:30-14:45 (베어드홀 01103-김윤곤),"2학년 화공,스마트안전보건환경융합"
,전기-화공,,,5006762501,기초공학수학1,,, (공통-재수강),이상욱,수학과,3.0/3.0,0,40,"화 13:30-14:45 (백마관 07218-이상욱)
금 13:30-14:45 (진리관 11516-이상욱)","2학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전자정보공학부-IT융합, 전자정보공학부-전자공학, 컴퓨터
3학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전자정보공학부-IT융합, 전자정보공학부-전자공학, 컴퓨터
4학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전"
,전기-화공,,,5006762502,기초공학수학1,,, (공통-재수강),최현주,수학과,3.0/3.0,0,40,"월 15:00-16:15 (교육관 06302-최현주)
목 15:00-16:15 (베어드홀 01103-최현주)","2학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전자정보공학부-IT융합, 전자정보공학부-전자공학, 컴퓨터
3학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전자정보공학부-IT융합, 전자정보공학부-전자공학, 컴퓨터
4학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전"
,전필-화공,복필-화공/부선-화공,,2150285801,화공기초실험1,,,,홍성호,화학공학과,2.0/1.0,0,20,"월 18:00-18:50 (형남공학관 05914 (환경공학실험실)-홍성호)
월 19:00-19:50 (형남공학관 05914 (환경공학실험실)-홍성호)",2학년 화공
,전필-화공,복필-화공/부선-화공,,2150285802,화공기초실험1,,,,홍성호,화학공학과,2.0/1.0,0,20,"화 18:00-18:50 (형남공학관 05914 (환경공학실험실)-홍성호)
화 19:00-19:50 (형남공학관 05914 (환경공학실험실)-홍성호)",2학년 화공
,전필-화공,복필-화공/부선-화공,,2150285803,화공기초실험1,,,,홍성호,화학공학과,2.0/1.0,0,20,"수 18:00-18:50 (형남공학관 05914 (환경공학실험실)-홍성호)
수 19:00-19:50 (형남공학관 05914 (환경공학실험실)-홍성호)",2학년 화공
