계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전선-국제법무,복선-국제법무/부선-국제법무,,2150904701,Introduction to Anglo-American Law,,영어,,Eric Anderson,국제법무학과,3.0/3.0,0,40,수 목 12:00-13:15 (미래관 20304-Eric Anderson),1학년 국제법무학과
,전기-국제법무,복선-국제법무/부선-국제법무/융선-지식재산융합,,2150904601,공법과사법,,,,임상혁,국제법무학과,3.0/3.0,0,40,화 수 13:30-14:45 (진리관 11404-임상혁),"1학년 국제법무학과, 지식재산융합"
,전선-국제법무,복선-국제법무/부선-국제법무/융선-지식재산융합,,2150626501,대륙법과영미법,,영어,,Christophe Duvert,국제법무학과,3.0/3.0,0,40,"월 09:00-10:15 (미래관 20304-Christophe Duvert)
수 10:30-11:45 (미래관 20304-Christophe Duvert)","1학년 국제법무학과, 지식재산융합"
,전선-국제법무,복선-국제법무/부선-국제법무,,5023312001,Comparative Constitutional Law,,영어,,Eric Anderson,국제법무학과,3.0/3.0,0,40,"화 12:00-13:15 (미래관 20304-Eric Anderson)
목 10:30-11:45 (미래관 20304-Eric Anderson)",2학년 국제법무학과
,전선-국제법무,복선-국제법무/부선-국제법무/융선-지식재산융합,,5023312301,Comparative Contract,,,,박완규,국제법무학과,3.0/3.0,0,40,월 목 12:00-13:15 (진리관 11407-박완규),"2학년 국제법무학과, 지식재산융합"
,전선-국제법무,복선-국제법무/부선-국제법무/융선-통일외교및개발협력,,2150046801,International organization & Treaty,,영어,,Christophe Duvert,국제법무학과,3.0/3.0,0,40,"월 10:30-11:45 (미래관 20304-Christophe Duvert)
수 12:00-13:15 (미래관 20404-Christophe Duvert)","2학년 국제법무,통일외교및개발협력"
,전선-국제법무,복선-국제법무/부선-국제법무,,2150033501,채권법특강,,,,김태훈,국제법무학과,3.0/3.0,0,40,"수 09:00-10:15 (진리관 11407-김태훈)
수 10:30-11:45 (진리관 11407-김태훈)",2학년 국제법무학과
,전기-국제법무,복선-국제법무/부선-국제법무,,2150035001,형법특강,,,,고민석,국제법무학과,3.0/3.0,0,40,"화 09:00-10:15 (진리관 11407-고민석)
화 10:30-11:45 (진리관 11407-고민석)",2학년 국제법무학과
,전선-국제법무,복선-국제법무/부선-국제법무,,2150554701,Comparative Civil Procedure,,영어,,Eric Anderson,국제법무학과,3.0/3.0,0,40,"화 10:30-11:45 (미래관 20304-Eric Anderson)
수 10:30-11:45 (미래관 20403-Eric Anderson)",3학년 국제법무학과
,전선-국제법무,복선-국제법무/부선-국제법무,,2150645301,Comparative Criminal Procedure,,영어,,이상현,국제법무학과,3.0/3.0,0,40,"수 09:00-10:15 (진리관 11404-이상현)
금 10:30-11:45 (진리관 11407-이상현)",3학년 국제법무학과
,전선-국제법무,복선-국제법무/부선-국제법무,,2150644901,Comparative Torts,,,,박완규,국제법무학과,3.0/3.0,0,40,월 목 13:30-14:45 (진리관 11407-박완규),3학년 국제법무학과
,전선-국제법무,복선-국제법무/부선-국제법무,,2150048101,Legal Argument & Writing,,영어,,,국제법무학과,3.0/3.0,0,40,"월 10:30-11:45 (진리관 11304-)
금 09:00-10:15 (진리관 11304-)",3학년 국제법무학과
,전기-국제법무,복선-국제법무/부선-국제법무/융선-지식재산융합,,2150047001,민사소송법,,,,임상혁,국제법무학과,3.0/3.0,0,40,화 수 12:00-13:15 (진리관 11404-임상혁),"3학년 국제법무학과, 지식재산융합"
,전선-국제법무,복선-국제법무/부선-국제법무,,2150048301,Antitrust Law,,영어,,,국제법무학과,3.0/3.0,0,0,화 13:30-14:45 (-),4학년 국제법무학과
,전선-국제법무,복선-국제법무/부선-국제법무/융선-통일외교및개발협력,,2150664701,Int'l Business Transaction,,영어,,Christophe Duvert,국제법무학과,3.0/3.0,0,40,"월 12:00-13:15 (미래관 20304-Christophe Duvert)
수 09:00-10:15 (미래관 20304-Christophe Duvert)","4학년 국제법무학과,통일외교및개발협력"
,전선-국제법무,복선-국제법무/부선-국제법무/융선-지식재산융합/융선-통일외교및개발협력,,2150660501, Intellectual Property Law,,,,정우성,국제법무학과,3.0/3.0,0,40,"목 09:00-10:15 (진리관 11407-정우성)
목 10:30-11:45 (진리관 11407-정우성)","4학년 국제법무학과, 지식재산융합, 통일외교및개발협력"
,전선-국제법무,복선-국제법무/부선-국제법무/융선-통일외교및개발협력,,2150626701,동아시아법,,,,김대홍,국제법무학과,3.0/3.0,0,40,"수 13:30-14:45 (미래관 20304-김대홍)
목 16:30-17:45 (진리관 11407-김대홍)","4학년 국제법무학과,통일외교및개발협력"
