계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-법학,복필-법학/부선-법학,,2150147401,민법총칙,가반,,,이지은,법학과,3.0/3.0,0,40,"수 10:30-11:45 (진리관 11410-이지은)
목 12:00-13:15 (진리관 11516-이지은)",1학년 법학
,전기-법학,복필-법학/부선-법학,,2150147402,민법총칙,나반,,,김은아,법학과,3.0/3.0,0,40,"수 12:00-13:15 (진리관 11407-김은아)
목 13:30-14:45 (진리관 11404-김은아)",1학년 법학
,전기-법학,복필-법학/부선-법학,,2150147403,민법총칙,다반,,,김은아,법학과,3.0/3.0,0,40,"수 15:00-16:15 (진리관 11407-김은아)
목 15:00-16:15 (진리관 11410-김은아)",1학년 법학
,전선-법학,복선-법학/부선-법학,,2150117101,법학글쓰기세미나,,,,윤진숙,법학과,3.0/3.0,0,60,"월 13:30-14:45 (전산관 19531(70인 강의실)-윤진숙)
월 15:00-16:15 (전산관 19531(70인 강의실)-윤진숙)",1학년 법학 (대상외수강제한)(대상외수강제한)
,전기-법학,복필-법학/부선-법학/융선-지식재산융합,,2150160701,상법총칙,가반,,,이재구,법학과,3.0/3.0,0,50,"화 09:00-10:15 (진리관 11410-이재구)
화 10:30-11:45 (진리관 11410-이재구)","2학년 법학,지식재산융합"
,전기-법학,복필-법학/부선-법학/융선-지식재산융합,,2150160702,상법총칙,나반,,,정주호,법학과,3.0/3.0,0,50,"월 12:00-13:15 (벤처중소기업센터 10311-정주호)
수 12:00-13:15 (진리관 11410-정주호)","2학년 법학,지식재산융합"
,전선-법학,복선-법학/부선-법학,,2150206301,채권법총론,가반,,,윤철홍,법학과,3.0/3.0,0,50,"화 15:00-16:15 (진리관 11410-윤철홍)
수 16:30-17:45 (진리관 11410-윤철홍)",2학년 법학
,전선-법학,복선-법학/부선-법학,,2150206302,채권법총론,나반,,,윤철홍,법학과,3.0/3.0,0,50,"화 16:30-17:45 (진리관 11410-윤철홍)
수 15:00-16:15 (진리관 11410-윤철홍)",2학년 법학
,전선-법학,복선-법학/부선-법학,,2150220901,헌법2,가반,,,허창환,법학과,3.0/3.0,0,50,"금 12:00-13:15 (백마관 07403-허창환)
금 13:30-14:45 (백마관 07403-허창환)",2학년 법학
,전선-법학,복선-법학/부선-법학,,2150220902,헌법2,나반,,,고문현,법학과,3.0/3.0,0,40,"월 13:30-14:45 (진리관 11404-고문현)
목 16:30-17:45 (진리관 11303-고문현)",2학년 법학
