계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-자유전공,,,2150177301,전공물리,,,,"김남미
이윤상",자유전공학부,4.0/3.0,0,25,"화 09:00-09:50 (백마관 07317-이윤상)
화 10:00-10:50 (백마관 07317-이윤상)
화 11:00-11:50 (조만식기념관 12123-김남미)
화 12:00-12:50 (조만식기념관 12123-김남미)",1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150177302,전공물리,,,,"정현희
이윤상",자유전공학부,4.0/3.0,0,25,"화 09:00-09:50 (백마관 07317-이윤상)
화 10:00-10:50 (백마관 07317-이윤상)
화 11:00-11:50 (조만식기념관 12124-정현희)
화 12:00-12:50 (조만식기념관 12124-정현희)",1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150177303,전공물리,,,,"이동렬
최현희",자유전공학부,4.0/3.0,0,25,"화 09:00-09:50 (조만식기념관 12123-이동렬)
화 10:00-10:50 (조만식기념관 12123-이동렬)
화 11:00-11:50 (벤처중소기업센터 10512-최현희)
화 12:00-12:50 (벤처중소기업센터 10512-최현희)",1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150177304,전공물리,,,,최현희,자유전공학부,4.0/3.0,0,25,"화 09:00-09:50 (조만식기념관 12124-최현희)
화 10:00-10:50 (조만식기념관 12124-최현희)",1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150154401,전공수학,01분반만 수강가능,,,이상민,자유전공학부,3.0/3.0,0,0,화 목 13:30-14:45 (문화관 03105-이상민),1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150154402,전공수학,02분반만 수강가능,,,정은경,자유전공학부,3.0/3.0,0,0,화 목 13:30-14:45 (문화관 03106-정은경),1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150154403,전공수학,03분반만 수강가능,,,이종규,자유전공학부,3.0/3.0,0,0,"화 13:30-14:45 (백마관 07117-이종규)
목 13:30-14:45 (정보과학관 21403-이종규)",1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150154404,전공수학,04분반만 수강가능,,,최현석,자유전공학부,3.0/3.0,0,0,"월 13:30-14:45 (문화관 03105-최현석)
목 12:00-13:15 (문화관 03105-최현석)",1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150154405,전공수학,05분반만 수강가능,,,고선양,자유전공학부,3.0/3.0,0,0,"월 13:30-14:45 (문화관 03106-고선양)
목 12:00-13:15 (문화관 03106-고선양)",1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150154406,전공수학,06분반만 수강가능,,,이종규,자유전공학부,3.0/3.0,0,0,"월 13:30-14:45 (미래관 20303-이종규)
목 12:00-13:15 (정보과학관 21403-이종규)",1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150177501,전공화학,,,,남궁미옥,자유전공학부,3.0/3.0,0,40,"월 15:00-16:15 (문화관 03105-남궁미옥)
목 15:00-16:15 (문화관 03105-남궁미옥)",1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150177502,전공화학,,,,남궁미옥,자유전공학부,3.0/3.0,0,40,"화 15:00-16:15 (문화관 03105-남궁미옥)
금 15:00-16:15 (문화관 03105-남궁미옥)",1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150177201,주제탐구세미나:인간과AI,01분반만 수강가능,"대면+녹화
EL+",,조배준,자유전공학부,3.0/3.0,0,0,수 12:00-13:15 (문화관 03105-조배준),1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150177202,주제탐구세미나:인간과AI,02분반만 수강가능,"대면+녹화
EL+",,김광연,자유전공학부,3.0/3.0,0,0,수 12:00-13:15 (문화관 03106-김광연),1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150177203,주제탐구세미나:인간과AI,03분반만 수강가능,"대면+녹화
EL+",,양선진,자유전공학부,3.0/3.0,0,0,수 12:00-13:15 (백마관 07218-양선진),1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150177204,주제탐구세미나:인간과AI,04분반만 수강가능,"대면+녹화
EL+",,이연희,자유전공학부,3.0/3.0,0,0,수 12:00-13:15 (조만식기념관 12407-이연희),1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150177205,주제탐구세미나:인간과AI,05분반만 수강가능,"대면+녹화
EL+",,조배준,자유전공학부,3.0/3.0,0,0,수 13:30-14:45 (문화관 03105-조배준),1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150177206,주제탐구세미나:인간과AI,06분반만 수강가능,"대면+녹화
EL+",,김광연,자유전공학부,3.0/3.0,0,0,수 13:30-14:45 (문화관 03106-김광연),1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150177207,주제탐구세미나:인간과AI,07분반만 수강가능,"대면+녹화
EL+",,양선진,자유전공학부,3.0/3.0,0,0,수 13:30-14:45 (백마관 07218-양선진),1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
,전기-자유전공,,,2150177208,주제탐구세미나:인간과AI,08분반만 수강가능,"대면+녹화
EL+",,이연희,자유전공학부,3.0/3.0,0,0,수 13:30-14:45 (조만식기념관 12407-이연희),1학년 자유전공학부 (대상외수강제한)(대상외수강제한)
