계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-사회복지,복선-사회복지/부선-사회복지,,2150608001,사회복지와문화다양성,가,EL+,,이채원,사회복지학부,3.0/3.0,0,40,"수 09:00-10:15 (조만식기념관 12204-이채원)
수 10:30-11:45 (조만식기념관 12204-이채원)",1학년 사회복지
,전기-사회복지,복선-사회복지/부선-사회복지,,2150608002,사회복지와문화다양성,나,EL+,,이채원,사회복지학부,3.0/3.0,0,40,"화 15:00-16:15 (조만식기념관 12406-이채원)
화 16:30-17:45 (조만식기념관 12406-이채원)",1학년 사회복지
,전기-사회복지,복필-사회복지/부선-사회복지,,2150386501,사회복지학개론,가,EL+,,임예윤,사회복지학부,3.0/3.0,0,40,"월 15:00-16:15 (미래관 20502-임예윤)
월 16:30-17:45 (미래관 20502-임예윤)",1학년 사회복지
,전기-사회복지,복필-사회복지/부선-사회복지,,2150386502,사회복지학개론,나,EL+,,임예윤,사회복지학부,3.0/3.0,0,40,"수 15:00-16:15 (진리관 11521-임예윤)
수 16:30-17:45 (진리관 11521-임예윤)",1학년 사회복지
,전선-사회복지,복선-사회복지/부선-사회복지/융선-통일외교및개발협력,,2150618101,국제사회복지론,,EL+,,최운정,사회복지학부,3.0/3.0,0,40,"화 18:00-19:15 (진리관 11521-최운정)
화 19:30-20:45 (진리관 11521-최운정)","2학년 사회복지,통일외교및개발협력융합"
,전선-사회복지,복선-사회복지/부선-사회복지,,2150035201,복지현장의이해,,EL+,,신혜정,사회복지학부,3.0/3.0,0,40,"수 18:00-19:15 (진리관 11521-신혜정)
수 19:30-20:45 (진리관 11521-신혜정)",2학년 사회복지
,전선-사회복지,복선-사회복지/부선-사회복지,,2150427601,사회복지실천론,가,EL+,,김경미,사회복지학부,3.0/3.0,0,40,"월 16:30-17:45 (조만식기념관 12203-김경미)
월 18:00-19:15 (조만식기념관 12203-김경미)",2학년 사회복지
,전선-사회복지,복선-사회복지/부선-사회복지,,2150427602,사회복지실천론,나,,,맹혜영,사회복지학부,3.0/3.0,0,40,"목 09:00-10:15 (조만식기념관 12406-맹혜영)
목 10:30-11:45 (조만식기념관 12406-맹혜영)",2학년 사회복지
,전선-사회복지,복선-사회복지/부선-사회복지,,2150429001,사회복지정책론,가,EL+,,유태균,사회복지학부,3.0/3.0,0,40,"목 12:00-13:15 (조만식기념관 12403-유태균)
목 13:30-14:45 (조만식기념관 12403-유태균)",2학년 사회복지
,전선-사회복지,복선-사회복지/부선-사회복지,,2150429002,사회복지정책론,나,,,이상은,사회복지학부,3.0/3.0,0,40,"화 15:00-16:15 (진리관 11521-이상은)
화 16:30-17:45 (진리관 11521-이상은)",2학년 사회복지
,전선-사회복지,복선-사회복지/부선-사회복지,,2150427901,사회복지조사론,가,EL+,,유태균,사회복지학부,3.0/3.0,0,40,"월 12:00-13:15 (조만식기념관 12406-유태균)
월 13:30-14:45 (조만식기념관 12406-유태균)",2학년 사회복지
