계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-언론홍보,복선-언론홍보/부선-언론홍보,,2150820503,연구조사방법론,,,,김효숙,언론홍보학과,3.0/3.0,0,40,"금 09:00-10:15 (조만식기념관 12525 (박영립강의실)-김효숙)
금 10:30-11:45 (조만식기념관 12525 (박영립강의실)-김효숙)",전체학년 언론홍보
,전기-언론홍보,복필-언론홍보/부선-언론홍보,,2150525801,매스미디어의이해,외국인 수강 불가,,,박웅기,언론홍보학과,3.0/3.0,0,40,"화 12:00-13:15 (조만식기념관 12525 (박영립강의실)-박웅기)
화 13:30-14:45 (조만식기념관 12525 (박영립강의실)-박웅기)","1학년 언론홍보, 내국인 전용강좌"
,전기-언론홍보,복필-언론홍보/부선-언론홍보,,2150525802,매스미디어의이해,내국인 수강 불가,,,박웅기,언론홍보학과,3.0/3.0,0,40,"목 12:00-13:15 (조만식기념관 12525 (박영립강의실)-박웅기)
목 13:30-14:45 (조만식기념관 12525 (박영립강의실)-박웅기)","1학년 ;순수외국인입학생 ,언론홍보"
,전기-언론홍보,복필-언론홍보/부선-언론홍보,,2150525803,매스미디어의이해,내국인 수강 불가,,,박웅기,언론홍보학과,3.0/3.0,0,40,"금 12:00-13:15 (조만식기념관 12525 (박영립강의실)-박웅기)
금 13:30-14:45 (조만식기념관 12525 (박영립강의실)-박웅기)","1학년 ;순수외국인입학생 ,언론홍보"
,전기-언론홍보,복필-언론홍보/부선-언론홍보,,2150525804,매스미디어의이해,외국인 수강 불가,,,박웅기,언론홍보학과,3.0/3.0,0,40,"월 15:00-16:15 (조만식기념관 12525 (박영립강의실)-박웅기)
월 16:30-17:45 (조만식기념관 12525 (박영립강의실)-박웅기)",1학년 언론홍보
,전기-언론홍보,복선-언론홍보/부선-언론홍보,,2150820501,연구조사방법론,외국인 수강 불가,,,김효숙,언론홍보학과,3.0/3.0,0,40,"월 09:00-10:15 (조만식기념관 12525 (박영립강의실)-김효숙)
월 10:30-11:45 (조만식기념관 12525 (박영립강의실)-김효숙)","1학년 언론홍보, 내국인 전용강좌, 타학과 학생 수강 제한 ,조직미지정"
,전기-언론홍보,복선-언론홍보/부선-언론홍보,,2150820502,연구조사방법론,내국인 수강 불가,,,김효숙,언론홍보학과,3.0/3.0,0,40,"화 09:00-10:15 (조만식기념관 12525 (박영립강의실)-김효숙)
화 10:30-11:45 (조만식기념관 12525 (박영립강의실)-김효숙)","1학년 언론홍보, 타학과 학생 수강 제한;순수외국인입학생"
,전기-언론홍보,복선-언론홍보/부선-언론홍보,,2150518001,커뮤니케이션의이해,외국인 수강 불가,,,정용남,언론홍보학과,3.0/3.0,0,40,"수 12:00-13:15 (미래관 20308-정용남)
수 13:30-14:45 (미래관 20308-정용남)","1학년 언론홍보, 내국인 전용강좌"
,전기-언론홍보,복선-언론홍보/부선-언론홍보,,2150518002,커뮤니케이션의이해,내국인 수강 불가,,,박웅기,언론홍보학과,3.0/3.0,0,40,"수 09:00-10:15 (미래관 20305-박웅기)
수 10:30-11:45 (미래관 20305-박웅기)","1학년 언론홍보, 순수외국인입학생"
,전기-언론홍보,복선-언론홍보/부선-언론홍보,,2150518003,커뮤니케이션의이해,,,,박웅기,언론홍보학과,3.0/3.0,0,40,"목 09:00-10:15 (조만식기념관 12530 (경제학과겸임교수강의실)-박웅기)
목 10:30-11:45 (조만식기념관 12530 (경제학과겸임교수강의실)-박웅기)",1학년 언론홍보;순수외국인입학생
,전선-언론홍보,복선-언론홍보/부선-언론홍보,,2150173301,AI미디어와사회,,,,박웅기,언론홍보학과,3.0/3.0,0,40,"월 12:00-13:15 (조만식기념관 12525 (박영립강의실)-박웅기)
월 13:30-14:45 (조만식기념관 12525 (박영립강의실)-박웅기)",2학년 언론홍보
,전선-언론홍보,복선-언론홍보/부선-언론홍보,,2150465601,PR론,외국인 수강 불가,,,김효숙,언론홍보학과,3.0/3.0,0,40,"수 09:00-10:15 (미래관 20308-김효숙)
수 10:30-11:45 (미래관 20308-김효숙)","2학년 언론홍보, 순수 외국인 수강 제한"
