계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-정보사회,복선-정보사회/부선-정보사회,,2150908101,사회학개론,,,,정인관,정보사회학과,3.0/3.0,0,40,"화 15:00-16:15 (조만식기념관 12530 (경제학과겸임교수강의실)-정인관)
목 16:30-17:45 (진리관 11521-정인관)",1학년 정보사회
,전기-정보사회,복선-정보사회/부선-정보사회,,2150576301,정보와사회,,,,백경민,정보사회학과,3.0/3.0,0,40,"월 10:30-11:45 (조만식기념관 12530 (경제학과겸임교수강의실)-백경민)
수 10:30-11:45 (미래관 20502-백경민)",1학년 정보사회
,전선-정보사회,복필-정보사회/부선-정보사회,,2150401201,사회조사방법론,,,,정인관,정보사회학과,3.0/3.0,0,40,"목 12:00-13:15 (미래관 20502-정인관)
목 13:30-14:45 (미래관 20502-정인관)","2학년 정보사회, 문화예술마케팅"
,전필-정보사회,복선-정보사회/부선-정보사회,,2150530501,사회통계1,,,,인정,정보사회학과,3.0/3.0,0,40,"수 15:00-16:15 (조만식기념관 12426-인정)
수 16:30-17:45 (조만식기념관 12426-인정)","2학년 정보사회, 뉴미디어마케팅융합, 문화예술마케팅"
,전선-정보사회,복선-정보사회/부선-정보사회,,2150530601,인터넷과사이버사회,,,,박창호,정보사회학과,3.0/3.0,0,40,"화 09:00-10:15 (조만식기념관 12530 (경제학과겸임교수강의실)-박창호)
화 10:30-11:45 (조만식기념관 12530 (경제학과겸임교수강의실)-박창호)","2학년 정보사회, 뉴미디어마케팅융합"
,전선-정보사회,복선-정보사회/부선-정보사회/융선-통일외교및개발협력,,2150459701,정보사회학,,EL+,,서문기,정보사회학과,3.0/3.0,0,40,"월 12:00-13:15 (조만식기념관 12530 (경제학과겸임교수강의실)-서문기)
월 13:30-14:45 (조만식기념관 12530 (경제학과겸임교수강의실)-서문기)","2학년 정보사회,통일외교및개발협력"
,전선-정보사회,복선-정보사회/부선-정보사회,,2150546101,사이버문화론,,EL+,,박창호,정보사회학과,3.0/3.0,0,40,"수 09:00-10:15 (조만식기념관 12530 (경제학과겸임교수강의실)-박창호)
수 10:30-11:45 (조만식기념관 12530 (경제학과겸임교수강의실)-박창호)",3학년 정보사회
,전선-정보사회,복선-정보사회/부선-정보사회,,2150459901,사회불평등론,,EL+,,서문기,정보사회학과,3.0/3.0,0,40,"수 12:00-13:15 (조만식기념관 12530 (경제학과겸임교수강의실)-서문기)
수 13:30-14:45 (조만식기념관 12530 (경제학과겸임교수강의실)-서문기)",3학년 정보사회
,전선-정보사회,복선-정보사회/부선-정보사회/융선-통일외교및개발협력,,2150492501,인터넷과사회운동,,EL+,,유은혜,정보사회학과,3.0/3.0,0,40,"월 15:00-16:15 (조만식기념관 12426-유은혜)
월 16:30-17:45 (조만식기념관 12426-유은혜)","3학년 정보사회,통일외교및개발협력"
,전선-정보사회,복선-정보사회/부선-정보사회,,2150402501,일탈과사회통제,,,,이성식,정보사회학과,3.0/3.0,0,40,"목 15:00-16:15 (조만식기념관 12530 (경제학과겸임교수강의실)-이성식)
목 16:30-17:45 (조만식기념관 12530 (경제학과겸임교수강의실)-이성식)",3학년 정보사회
,전선-정보사회,복선-정보사회/부선-정보사회,,2150491601,정보사회정책,,EL+,,인정,정보사회학과,3.0/3.0,0,40,"화 15:00-16:15 (조만식기념관 12426-인정)
화 16:30-17:45 (조만식기념관 12426-인정)",3학년 정보사회
,전선-정보사회,복선-정보사회/부선-정보사회,,2150473501,기술활용과사회규범,,EL+,,서문기,정보사회학과,3.0/3.0,0,40,"목 12:00-13:15 (조만식기념관 12530 (경제학과겸임교수강의실)-서문기)
목 13:30-14:45 (조만식기념관 12530 (경제학과겸임교수강의실)-서문기)",4학년 정보사회
,전선-정보사회,복선-정보사회/부선-정보사회,,2150564301,디지털사회와문화분석,,"대면+녹화
EL+",,유은혜,정보사회학과,3.0/3.0,0,40,월 12:00-13:15 (조만식기념관 12426-유은혜),4학년 정보사회
,전선-정보사회,복선-정보사회/부선-정보사회,,2150492001,사회조사분석,,EL+,,이성식,정보사회학과,3.0/3.0,0,40,"금 12:00-13:15 (조만식기념관 12426-이성식)
금 13:30-14:45 (조만식기념관 12426-이성식)",4학년 정보사회
,전선-정보사회,,,2150037101,창의적문제해결(캡스톤디자인),,캡스톤디자인,,백경민,정보사회학과,3.0/3.0,0,40,"월 13:30-14:45 (진리관 11305-백경민)
수 15:00-16:15 (조만식기념관 12530 (경제학과겸임교수강의실)-백경민)",4학년 정보사회
