계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-정외,복선-정외/부선-정외,,2150099101,외교와정치,,EL+,,최슬아,정치외교학과,3.0/3.0,0,40,"월 12:00-13:15 (조만식기념관 12329-최슬아)
수 13:30-14:45 (조만식기념관 12209-최슬아)",1학년 정외
,전기-정외,복선-정외/부선-정외,,2150490201,한국정치의이해,,,,최효노,정치외교학과,3.0/3.0,0,40,"금 10:30-11:45 (미래관 20305-최효노)
금 12:00-13:15 (미래관 20305-최효노)",1학년 정외
,전기-정외,복필-정외/부선-정외,,2150902101,현대정치의이해,,,,김지영,정치외교학과,3.0/3.0,0,40,"수 12:00-13:15 (조만식기념관 12329-김지영)
목 10:30-11:45 (조만식기념관 12207 (박명복강의실)-김지영)",1학년 정외
,전선-정외,복선-정외/부선-정외/융선-통일외교및개발협력,,2150337801,국제정치의이해,,,,김태형,정치외교학과,3.0/3.0,0,40,"월 10:30-11:45 (조만식기념관 12329-김태형)
화 10:30-11:45 (조만식기념관 12329-김태형)","2학년 정외,통일외교및개발협력"
,전선-정외,복선-정외/부선-정외/융선-통일외교및개발협력,,2150560201,북한의정치와경제,,,,박아름,정치외교학과,3.0/3.0,0,40,"목 15:00-16:15 (미래관 20406-박아름)
목 16:30-17:45 (미래관 20406-박아름)","2학년 정외,통일외교및개발협력"
,전선-정외,복선-정외/부선-정외/융선-통일외교및개발협력,,2150356001,비교정치,,,,신정섭,정치외교학과,3.0/3.0,0,40,"화 13:30-14:45 (조만식기념관 12329-신정섭)
수 13:30-14:45 (조만식기념관 12329-신정섭)","2학년 정외,통일외교및개발협력"
,전선-정외,복선-정외/부선-정외/융선-통일외교및개발협력,,2150431601,비교정치경제,,,,조홍식,정치외교학과,3.0/3.0,0,40,"목 12:00-13:15 (조만식기념관 12329-조홍식)
목 13:30-14:45 (조만식기념관 12329-조홍식)","2학년 정외,통일외교및개발협력"
,전선-정외,복선-정외/부선-정외,,2150490501,현대정치사상,,,,김학재,정치외교학과,3.0/3.0,0,40,"월 12:00-13:15 (진리관 11304-김학재)
수 10:30-11:45 (조만식기념관 12329-김학재)",2학년 정외
,전선-정외,복선-정외/부선-정외,,2150552501,Understanding Democracy,,,,최효노,정치외교학과,3.0/3.0,0,40,"금 13:30-14:45 (미래관 20308-최효노)
금 15:00-16:15 (미래관 20308-최효노)",3학년 정외
,전선-정외,복선-정외/부선-정외/융선-통일외교및개발협력,,2150370501,Understanding Foreign Policy,,영어,,김태형,정치외교학과,3.0/3.0,0,40,"월 13:30-14:45 (조만식기념관 12329-김태형)
화 15:00-16:15 (조만식기념관 12329-김태형)","3학년 정외,통일외교및개발협력"
,전선-정외,복선-정외/부선-정외/융선-통일외교및개발협력,,2150667301,글로벌협력과발전,,,,,정치외교학과,3.0/3.0,0,40,"월 12:00-13:15 (미래관 20308-)
금 12:00-13:15 (진리관 11404-)","3학년 정외,통일외교및개발협력"
,전선-정외,복선-정외/부선-정외,,2150099301,데이터와정치학,,,,이화준,정치외교학과,3.0/3.0,0,40,"목 09:00-10:15 (백마관 07219-이화준)
목 10:30-11:45 (백마관 07219-이화준)",3학년 정외
,전선-정외,복선-정외/부선-정외,,2150490601,Legislative Politics,,,,이세희,정치외교학과,3.0/3.0,0,40,"목 12:00-13:15 (미래관 20308-이세희)
목 13:30-14:45 (미래관 20308-이세희)",4학년 정외
,전선-정외,복선-정외/부선-정외,,2150404101,국제정치경제,,,,조홍식,정치외교학과,3.0/3.0,0,40,"금 12:00-13:15 (조만식기념관 12329-조홍식)
금 13:30-14:45 (조만식기념관 12329-조홍식)",4학년 정외
,전선-정외,복선-정외/부선-정외,,2150545801,동아시아정치사상,,,,박보기,정치외교학과,3.0/3.0,0,40,"월 12:00-13:15 (조만식기념관 12524 (안재국강의실)-박보기)
월 13:30-14:45 (조만식기념관 12524 (안재국강의실)-박보기)",4학년 정외
,전선-정외,복선-정외/부선-정외,,2150684901,시민사회론,,,,김성현,정치외교학과,3.0/3.0,0,40,"월 10:30-11:45 (미래관 20307-김성현)
금 10:30-11:45 (조만식기념관 12530 (경제학과겸임교수강의실)-김성현)",4학년 정외
,전선-정외,복선-정외/부선-정외,,2150430701,현대정치특강,,EL+,,강성철,정치외교학과,3.0/3.0,0,40,"수 10:30-11:45 (백마관 07219-강성철)
수 12:00-13:15 (백마관 07219-강성철)",4학년 정외
