계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-평생교육,복선-평생교육/부선-평생교육,,2150517701,숭실인과평생교육,,, (팀티칭),"이기성
전주성
유기웅
문한나",평생교육학과,3.0/3.0,0,40,"금 12:00-13:15 (조만식기념관 12209-전주성)
금 13:30-14:45 (조만식기념관 12209-전주성)
금 12:00-13:15 (조만식기념관 12209-이기성)
금 13:30-14:45 (조만식기념관 12209-이기성)
금 12:00-13:15 (조만식기념관 12209-전주성)
금 13:30-14:45 (조만식기념관 12209-전주성)
금 12:00-13:15 (조만식기념관 12209-유기웅)
금 13:30-14:45 (조만식기념관 12209-유기웅)
금 12:00-13:15 (조만식기념관 12209-문한나)
금 13:30-14:45 (조만식기념관 12209-문한나)
금 12:00-13:15 (조만식기념관 12209-전주성)
금 13:30-14:45 (조만식기념관 12209-전주성)",1학년 평생교육
,전기-평생교육,복선-평생교육/부선-평생교육,,2150604501,평생교육강론,,EL+,,김남숙,평생교육학과,3.0/3.0,0,40,"수 10:30-11:45 (조만식기념관 12209-김남숙)
수 12:00-13:15 (조만식기념관 12209-김남숙)",1학년 평생교육
,전기-평생교육,복선-평생교육/부선-평생교육,,2150517801,평생교육의이해와커리어개발,,,,,평생교육학과,3.0/3.0,0,40,"목 09:00-10:15 (조만식기념관 12201-)
목 10:30-11:45 (조만식기념관 12201-)",1학년 평생교육
,전선-평생교육,복선-평생교육/부선-평생교육,,2150502401,성인학습자의인간발달과조직심리,,"영어
EL+",,문한나,평생교육학과,3.0/3.0,0,40,"목 09:00-10:15 (조만식기념관 12209-문한나)
목 10:30-11:45 (조만식기념관 12209-문한나)",2학년 평생교육
,전선-평생교육,복선-평생교육/부선-평생교육/융선-통일외교및개발협력,,2150456401,인적자원개발론,,,,이기성,평생교육학과,3.0/3.0,0,56,"월 09:00-10:15 (조만식기념관 12209-이기성)
월 10:30-11:45 (조만식기념관 12209-이기성)","2학년 평생교육, 통일외교및개발협력융합
3학년 평생교육, 통일외교및개발협력융합"
,전선-평생교육,복선-평생교육/부선-평생교육/융선-통일외교및개발협력,,2150615901,지역사회교육론,,EL+,,김남숙,평생교육학과,3.0/3.0,0,40,"월 12:00-13:15 (조만식기념관 12209-김남숙)
월 13:30-14:45 (조만식기념관 12209-김남숙)","2학년 평생교육,통일외교 및 개발협력융합"
,전선-평생교육,복필-평생교육/부선-평생교육,,2150461001,평생교육론,,,,유기웅,평생교육학과,3.0/3.0,0,40,"수 10:30-11:45 (조만식기념관 12201-유기웅)
수 12:00-13:15 (조만식기념관 12201-유기웅)",2학년 평생교육
,전선-평생교육,복선-평생교육/부선-평생교육,,2150502801,평생교육자의리더십,,EL+,,이윤진,평생교육학과,3.0/3.0,0,40,"목 12:00-13:15 (조만식기념관 12524 (안재국강의실)-이윤진)
목 13:30-14:45 (조만식기념관 12524 (안재국강의실)-이윤진)",2학년 평생교육
,전선-평생교육,복선-평생교육/부선-평생교육,,2150138101,HRD와코칭,,,,김진영,평생교육학과,3.0/3.0,0,40,"목 12:00-13:15 (벤처중소기업센터 10512-김진영)
목 13:30-14:45 (벤처중소기업센터 10512-김진영)",3학년 평생교육
,전선-평생교육,복선-평생교육/부선-평생교육,,2150544401,성인발달과학습심리,,,,박수진,평생교육학과,3.0/3.0,0,40,"월 09:00-10:15 (조만식기념관 12406-박수진)
월 10:30-11:45 (조만식기념관 12406-박수진)",3학년 평생교육
,전선-평생교육,복선-평생교육/부선-평생교육,,2150665801,자기주도학습연구개발세미나,,EL+,,윤옥희,평생교육학과,3.0/3.0,0,40,"월 15:00-16:15 (조만식기념관 12201-윤옥희)
월 16:30-17:45 (조만식기념관 12201-윤옥희)",3학년 평생교육
,전선-평생교육,복필-평생교육/부선-평생교육,,2150465501,평생교육방법론,,EL+,,전주성,평생교육학과,3.0/3.0,0,40,"월 12:00-13:15 (조만식기념관 12201-전주성)
월 13:30-14:45 (조만식기념관 12201-전주성)",3학년 평생교육
,전선-평생교육,복선-평생교육/부선-평생교육,,2150068601,평생교육복지론,,EL+,,원지선,평생교육학과,3.0/3.0,0,50,"수 12:00-13:15 (숭덕경상관 02112 (PC실습실)-원지선)
수 13:30-14:45 (숭덕경상관 02112 (PC실습실)-원지선)","3학년 평생교육
4학년 평생교육"
,전선-평생교육,복선-평생교육/부선-평생교육,,2150666201,교육조사연구,,EL+,,유경훈,평생교육학과,3.0/3.0,0,40,"목 12:00-13:15 (조만식기념관 12209-유경훈)
목 13:30-14:45 (조만식기념관 12209-유경훈)",4학년 평생교육
,전선-평생교육,복선-평생교육/부선-평생교육,,2150545001,기업교육의요구분석,,,,김휘경,평생교육학과,3.0/3.0,0,40,"화 12:00-13:15 (조만식기념관 12209-김휘경)
화 13:30-14:45 (조만식기념관 12209-김휘경)",4학년 평생교육
,전선-평생교육,복선-평생교육/부선-평생교육,,2150590001,사이버교육론,,,,,평생교육학과,3.0/3.0,0,40,"목 15:00-16:15 (조만식기념관 12209-)
목 16:30-17:45 (조만식기념관 12209-)",4학년 평생교육
,전선-평생교육,복선-평생교육/부선-평생교육,,2150616001,평생교육실습,,,,전주성,평생교육학과,3.0/3.0,0,40,"월 09:00-10:15 (진리관 11302-전주성)
월 10:30-11:45 (진리관 11302-전주성)",4학년 평생교육
