계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-행정학부,복선-행정학부/부선-행정학부,,2150660701,경제학개론,가,,,,행정학부,3.0/3.0,0,40,"금 09:00-10:15 (조만식기념관 12526 (김사풍강의실)-)
금 10:30-11:45 (조만식기념관 12526 (김사풍강의실)-)",1학년 행정학부
,전기-행정학부,복선-행정학부/부선-행정학부,,2150660702,경제학개론,나,,,,행정학부,3.0/3.0,0,40,"금 12:00-13:15 (조만식기념관 12526 (김사풍강의실)-)
금 13:30-14:45 (조만식기념관 12526 (김사풍강의실)-)",1학년 행정학부
,전기-행정학부,복선-행정학부/부선-행정학부,,2150441401,정치학개론,가,,,,행정학부,3.0/3.0,0,40,"월 09:00-10:15 (벤처중소기업센터 10512-)
월 10:30-11:45 (벤처중소기업센터 10512-)",1학년 행정학부
,전기-행정학부,복선-행정학부/부선-행정학부,,2150441402,정치학개론,나,,,,행정학부,3.0/3.0,0,40,"월 12:00-13:15 (벤처중소기업센터 10512-)
월 13:30-14:45 (벤처중소기업센터 10512-)",1학년 행정학부
,전기-행정학부,복선-행정학부/부선-행정학부,,2150441501,행정학개론,가,,,김기형,행정학부,3.0/3.0,0,40,"화 15:00-16:15 (미래관 20304-김기형)
화 16:30-17:45 (미래관 20304-김기형)",1학년 행정학부
,전기-행정학부,복선-행정학부/부선-행정학부,,2150441502,행정학개론,나,,,김기형,행정학부,3.0/3.0,0,40,"수 15:00-16:15 (조만식기념관 12329-김기형)
수 16:30-17:45 (조만식기념관 12329-김기형)",1학년 행정학부
,전필-행정학부,복선-행정학부/부선-행정학부,,2150429801,공공데이터분석과통계,가,,,권남호,행정학부,3.0/3.0,0,40,"화 09:00-10:15 (조만식기념관 12526 (김사풍강의실)-권남호)
화 10:30-11:45 (조만식기념관 12526 (김사풍강의실)-권남호)",2학년 행정학부
,전필-행정학부,복선-행정학부/부선-행정학부,,2150429802,공공데이터분석과통계,나,,,권남호,행정학부,3.0/3.0,0,40,"수 13:30-14:45 (조만식기념관 12526 (김사풍강의실)-권남호)
수 15:00-16:15 (조만식기념관 12526 (김사풍강의실)-권남호)",2학년 행정학부
,전선-행정학부,복선-행정학부/부선-행정학부/융선-사회적기업혁신융합,,2150188901,인사행정론,,EL+,,배귀희,행정학부,3.0/3.0,0,40,"월 09:00-10:15 (조만식기념관 12404-배귀희)
월 10:30-11:45 (조만식기념관 12404-배귀희)","2학년 행정학부,사회적기업과사회혁신융합"
,전선-행정학부,복선-행정학부/부선-행정학부/융선-사회적기업혁신융합/융선-통일외교및개발협력,,2150191501,재정거버넌스와전략,,EL+,,손종민,행정학부,3.0/3.0,0,40,"수 10:30-11:45 (조만식기념관 12526 (김사풍강의실)-손종민)
수 12:00-13:15 (조만식기념관 12526 (김사풍강의실)-손종민)","2학년 행정학부,사회적기업과사회혁신융합,통일외교및개발협력"
,전선-행정학부,복선-행정학부/부선-행정학부,,2150219701,정부구조와조직역동성,,,,김기형,행정학부,3.0/3.0,0,40,"목 10:30-11:45 (조만식기념관 12526 (김사풍강의실)-김기형)
목 12:00-13:15 (조만식기념관 12526 (김사풍강의실)-김기형)","2학년 행정학부, 인적자원관리시스템융합"
,전필-행정학부,복선-행정학부/부선-행정학부/융선-사회적기업혁신융합,,2150429701,행정이론,가,,,이은빈,행정학부,3.0/3.0,0,40,"화 12:00-13:15 (미래관 20305-이은빈)
화 13:30-14:45 (미래관 20305-이은빈)","2학년 행정학부,사회적기업과사회혁신융합"
,전필-행정학부,복선-행정학부/부선-행정학부/융선-사회적기업혁신융합,,2150429702,행정이론,나,,,이은빈,행정학부,3.0/3.0,0,40,"화 15:00-16:15 (미래관 20305-이은빈)
화 16:30-17:45 (미래관 20305-이은빈)","2학년 행정학부,사회적기업과사회혁신융합"
,전선-행정학부,복선-행정학부/부선-행정학부,,2150613001,디지털시대집단지성과공동생산을위한협력적거버넌스,,EL+,,우윤석,행정학부,3.0/3.0,0,40,"수 15:00-16:15 (조만식기념관 12403-우윤석)
수 16:30-17:45 (조만식기념관 12403-우윤석)",3학년 행정학부
,전선-행정학부,복선-행정학부/부선-행정학부,,2150619801,정책집행의전략적접근,,,,,행정학부,3.0/3.0,0,40,"수 09:00-10:15 (진리관 11521-)
수 10:30-11:45 (진리관 11521-)",3학년 행정학부
,전선-행정학부,복선-행정학부/부선-행정학부,,2150480901,정책커뮤니케이션,,EL+,,박지형,행정학부,3.0/3.0,0,40,"월 10:30-11:45 (조만식기념관 12526 (김사풍강의실)-박지형)
월 12:00-13:15 (조만식기념관 12526 (김사풍강의실)-박지형)","3학년 행정학부, 여론조사컨설팅융합"
,전선-행정학부,복선-행정학부/부선-행정학부,,2150148801,지방재정전략과미래형공공관리,,,,,행정학부,3.0/3.0,0,40,"목 15:00-16:15 (조만식기념관 12526 (김사풍강의실)-)
목 16:30-17:45 (조만식기념관 12526 (김사풍강의실)-)",3학년 행정학부
,전선-행정학부,복선-행정학부/부선-행정학부/융선-사회적기업혁신융합,,2150204801,지방행정론,,,,이은빈,행정학부,3.0/3.0,0,40,"월 15:00-16:15 (조만식기념관 12404-이은빈)
월 16:30-17:45 (조만식기념관 12404-이은빈)","3학년 행정학부,사회적기업과사회혁신융합"
,전선-행정학부,복선-행정학부/부선-행정학부,,2150575301,"행정정보처리,분석및시각화",,,,김소정,행정학부,3.0/3.0,0,40,"화 15:00-16:15 (진리관 11310 (PC실습실)-김소정)
화 16:30-17:45 (진리관 11310 (PC실습실)-김소정)",3학년 행정학부
,전선-행정학부,복선-행정학부/부선-행정학부,,2150037001,AI와플랫폼을활용한사회적문제해결,,EL+,,배귀희,행정학부,3.0/3.0,0,40,"화 09:00-10:15 (조만식기념관 12203-배귀희)
화 10:30-11:45 (조만식기념관 12203-배귀희)",4학년 행정학부
,전선-행정학부,복선-행정학부/부선-행정학부,,2150127001,공기업등공공기관의운영과관리를위한이론과실제,,,,,행정학부,3.0/3.0,0,40,"목 09:00-10:15 (조만식기념관 12208-)
목 10:30-11:45 (조만식기념관 12208-)",4학년 행정학부
,전선-행정학부,복선-행정학부/부선-행정학부/융선-사회적기업혁신융합/융선-통일외교및개발협력,,2150667201,산업기술정책,,,,권남호,행정학부,3.0/3.0,0,40,"화 13:30-14:45 (조만식기념관 12526 (김사풍강의실)-권남호)
화 15:00-16:15 (조만식기념관 12526 (김사풍강의실)-권남호)","4학년 행정학부,통일외교및개발협력,사회적기업과사회혁신융합"
,전선-행정학부,복선-행정학부/부선-행정학부/융선-통일외교및개발협력,,2150112701,시장경제와지속가능한규제,,영어,,배주현,행정학부,3.0/3.0,0,40,"월 13:30-14:45 (조만식기념관 12526 (김사풍강의실)-배주현)
월 15:00-16:15 (조만식기념관 12526 (김사풍강의실)-배주현)","4학년 행정학부,통일외교및개발협력"
,전선-행정학부,복선-행정학부/부선-행정학부/융선-통일외교및개발협력,,2150220601,행정학특강,,,,김기형,행정학부,3.0/3.0,0,40,"목 15:00-16:15 (조만식기념관 12525 (박영립강의실)-김기형)
목 16:30-17:45 (조만식기념관 12525 (박영립강의실)-김기형)","4학년 행정학부,통일외교및개발협력"
,전선-행정학부,복선-행정학부/부선-행정학부,,2150618901,협상및갈등관리와실무전략,,,,,행정학부,3.0/3.0,0,40,"월 10:30-11:45 (미래관 20502-)
월 12:00-13:15 (미래관 20502-)",4학년 행정학부
,전선-행정학부,복선-행정학부/부선-행정학부,,2150347101,환경정책과거버넌스,,,,,행정학부,3.0/3.0,0,40,"금 10:30-11:45 (벤처중소기업센터 10512-)
금 12:00-13:15 (벤처중소기업센터 10512-)",4학년 행정학부
