계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-국문,복선-국문/부선-국문,,2150517201,국어연구의기초,,,,오충연,국어국문학과,3.0/3.0,0,40,화 목 13:30-14:45 (조만식기념관 12312-오충연),1학년 국문
,전기-국문,복선-국문/부선-국문,,2150517202,국어연구의기초,외국인 분반,,,장경우,국어국문학과,3.0/3.0,0,60,"화 12:00-13:15 (미래관 20201-장경우)
금 13:30-14:45 (조만식기념관 12312-장경우)",1학년 국문;순수외국인입학생
,전기-국문,복선-국문/부선-국문,,2150301501,문학이란무엇인가,,,,박동억,국어국문학과,3.0/3.0,0,40,수 목 09:00-10:15 (미래관 20201-박동억),1학년 국문
,전기-국문,복선-국문/부선-국문,,2150301502,문학이란무엇인가,외국인 분반,,,송상덕,국어국문학과,3.0/3.0,0,60,"수 09:00-10:15 (조만식기념관 12327-송상덕)
금 15:00-16:15 (조만식기념관 12312-송상덕)",1학년 국문;순수외국인입학생
,전기-국문,복선-국문/부선-국문,,2150517301,전공한문의기초,,,,강지희,국어국문학과,3.0/3.0,0,40,"월 13:30-14:45 (조만식기념관 12312-강지희)
목 12:00-13:15 (미래관 20307-강지희)",1학년 국문
,전기-국문,복선-국문/부선-국문,,2150517302,전공한문의기초,외국인 분반,,,강지희,국어국문학과,3.0/3.0,0,60,월 목 09:00-10:15 (조만식기념관 12312-강지희),1학년 국문;순수외국인입학생
,전선-국문,복필-국문/부선-국문/융선-뉴미디어콘텐츠융합,,2150542301,구비문학의이해,,,,이현정,국어국문학과,3.0/3.0,0,40,"월 10:30-11:45 (조만식기념관 12312-이현정)
월 12:00-13:15 (조만식기념관 12312-이현정)","2학년 국문,뉴미디어콘텐츠"
,전선-국문,복필-국문/부선-국문/융선-뉴미디어콘텐츠융합,,2150542302,구비문학의이해,외국인 분반,,,한예민,국어국문학과,3.0/3.0,0,50,"금 10:30-11:45 (미래관 20107-한예민)
금 12:00-13:15 (미래관 20107-한예민)","2학년 ;순수외국인입학생 ,국문, 뉴미디어콘텐츠융합"
,전선-국문,복선-국문/부선-국문,,2150120801,국어문법론,,,,오충연,국어국문학과,3.0/3.0,0,40,화 목 12:00-13:15 (조만식기념관 12312-오충연),2학년 국문
,전선-국문,복선-국문/부선-국문,,2150120802,국어문법론,외국인 분반,,,임채훈,국어국문학과,3.0/3.0,0,50,"월 13:30-14:45 (미래관 20305-임채훈)
목 13:30-14:45 (미래관 20406-임채훈)","2학년 ;순수외국인입학생 ,국문"
,전선-국문,복선-국문/부선-국문,,2150121001,국어음운론,,,,김수영,국어국문학과,3.0/3.0,0,40,"화 09:00-10:15 (조만식기념관 12312-김수영)
목 10:30-11:45 (조만식기념관 12312-김수영)",2학년 국문
,전선-국문,복선-국문/부선-국문,,2150121002,국어음운론,외국인 분반,,,임선우,국어국문학과,3.0/3.0,0,40,"화 13:30-14:45 (진리관 11401-임선우)
수 13:30-14:45 (조만식기념관 12312-임선우)","2학년 ;순수외국인입학생 ,국문"
