계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-기독교,복선-기독교/부선-기독교,,2150692601,문화속신학읽기,,,,이용주,기독교학과,3.0/3.0,0,40,"수 10:30-11:45 (벤처중소기업센터 10511-이용주)
금 10:30-11:45 (진리관 11303-이용주)",1학년 기독교
,전기-기독교,복필-기독교/부선-기독교,,2150062901,영어성경강독,,,,권연경,기독교학과,3.0/3.0,0,40,"수 09:00-10:15 (진리관 11303-권연경)
목 10:30-11:45 (진리관 11303-권연경)",1학년 기독교
,전선-기독교,복선-기독교/부선-기독교,,2150560001,기독교교육상담,,,,박승민,기독교학과,3.0/3.0,0,40,"화 13:30-14:45 (미래관 20307-박승민)
목 13:30-14:45 (미래관 20307-박승민)",2학년 기독교
,전선-기독교,복선-기독교/부선-기독교,,2150422701,신약학이해,,,,권연경,기독교학과,3.0/3.0,0,40,"수 10:30-11:45 (진리관 11303-권연경)
목 09:00-10:15 (진리관 11303-권연경)",2학년 기독교
,전선-기독교,복선-기독교/부선-기독교,,2150012001,인문학적성서이해,,,,이삭,기독교학과,3.0/3.0,0,40,"월 10:30-11:45 (백마관 07316-이삭)
월 12:00-13:15 (백마관 07316-이삭)",2학년 기독교
,전선-기독교,복선-기독교/부선-기독교,,2150458401,조직신학1,,,,이용주,기독교학과,3.0/3.0,0,40,"화 09:00-10:15 (진리관 11303-이용주)
화 10:30-11:45 (진리관 11303-이용주)",2학년 기독교
,전선-기독교,복선-기독교/부선-기독교,,5010030501,현대사회문제와기독교,,,,이철,기독교학과,3.0/3.0,0,40,"수 13:30-14:45 (진리관 11303-이철)
목 12:00-13:15 (진리관 11303-이철)",2학년 기독교
,전선-기독교,복선-기독교/부선-기독교,,2150422601,기독교사상과실천의역사,,,,김성수,기독교학과,3.0/3.0,0,40,"목 13:30-14:45 (미래관 20503-김성수)
목 15:00-16:15 (미래관 20503-김성수)",3학년 기독교
,전선-기독교,복선-기독교/부선-기독교,,2150444501,기독교윤리,,,,김성수,기독교학과,3.0/3.0,0,40,"금 12:00-13:15 (진리관 11303-김성수)
금 13:30-14:45 (진리관 11303-김성수)",3학년 기독교
,전선-기독교,복선-기독교/부선-기독교,,2150820401,성격과적응,,,,신선임,기독교학과,3.0/3.0,0,40,"월 12:00-13:15 (미래관 20307-신선임)
화 12:00-13:15 (미래관 20307-신선임)",3학년 기독교
,전선-기독교,복선-기독교/부선-기독교,,2150615601,한국교회와사회,,,,이철,기독교학과,3.0/3.0,0,40,"월 13:30-14:45 (진리관 11303-이철)
수 12:00-13:15 (진리관 11303-이철)",3학년 기독교
,전선-기독교,복선-기독교/부선-기독교,,2150568301,헬라어,,,,김윤경,기독교학과,3.0/3.0,0,40,"월 10:30-11:45 (진리관 11303-김윤경)
수 10:30-11:45 (미래관 20503-김윤경)",3학년 기독교
,전선-기독교,복선-기독교/부선-기독교,,2150489001,기독교와포스트모던사회학,,,,이철,기독교학과,3.0/3.0,0,40,"월 12:00-13:15 (진리관 11303-이철)
목 13:30-14:45 (진리관 11303-이철)",4학년 기독교
,전선-기독교,복선-기독교/부선-기독교,,2150615701,성과사랑의심리학,,,,신선임,기독교학과,3.0/3.0,0,40,"월 13:30-14:45 (미래관 20307-신선임)
화 10:30-11:45 (미래관 20307-신선임)",4학년 기독교
,전선-기독교,복선-기독교/부선-기독교,,2150659101,성서윤리,,,,김윤경,기독교학과,3.0/3.0,0,40,"화 12:00-13:15 (진리관 11303-김윤경)
화 13:30-14:45 (진리관 11303-김윤경)",4학년 기독교
,전선-기독교,복선-기독교/부선-기독교,,2150488901,신약신학,,,,박장훈,기독교학과,3.0/3.0,0,40,"수 10:30-11:45 (미래관 20307-박장훈)
수 12:00-13:15 (미래관 20307-박장훈)",4학년 기독교
