계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전필-독문,복선-독문/부선-독문,,2150518501,기초독회화1,,,,현희,독어독문학과,3.0/3.0,0,40,화 목 13:30-14:45 (미래관 20206-현희),1학년 독문
,전선-독문,복선-독문/부선-독문,,2150303201,독일명작의이해,,,,김대권,독어독문학과,3.0/3.0,0,40,"월 13:30-14:45 (진리관 11301-김대권)
수 12:00-13:15 (미래관 20301-김대권)",1학년 독문
,전필-독문,복선-독문/부선-독문,,2150518401,집중독일어1,,,,이재호,독어독문학과,3.0/3.0,0,40,"화 12:00-13:15 (진리관 11403-이재호)
목 12:00-13:15 (조만식기념관 12326 (조해자강의실)-이재호)",1학년 독문
,전선-독문,복선-독문/부선-독문,,2150134401,독문학개론,,,,김대권,독어독문학과,3.0/3.0,0,40,월 수 10:30-11:45 (미래관 20206-김대권),2학년 독문
,전선-독문,복선-독문/부선-독문,,2150136201,독어학입문,,,,윤진희,독어독문학과,3.0/3.0,0,40,화 목 09:00-10:15 (진리관 11307-윤진희),2학년 독문
,전선-독문,복선-독문/부선-독문,,2150671101,독일지역학,,,,김연정,독어독문학과,3.0/3.0,0,40,"화 12:00-13:15 (조만식기념관 12530 (경제학과겸임교수강의실)-김연정)
화 13:30-14:45 (조만식기념관 12408 (림인식강의실)-김연정)",2학년 독문
,전선-독문,복선-독문/부선-독문,,2150339801,중급독문법,,,,이재호,독어독문학과,3.0/3.0,0,40,화 목 10:30-11:45 (조만식기념관 12326 (조해자강의실)-이재호),2학년 독문
,전선-독문,복선-독문/부선-독문,,2150328001,초급독회화1,,,,현희,독어독문학과,3.0/3.0,0,40,수 금 13:30-14:45 (미래관 20206-현희),2학년 독문
,전선-독문,복선-독문/부선-독문,,2150135201,독일명시의이해,,,,김연정,독어독문학과,3.0/3.0,0,40,화 금 09:00-10:15 (미래관 20206-김연정),3학년 독문
,전선-독문,복선-독문/부선-독문,,2150135101,독일소설,,,,구연정,독어독문학과,3.0/3.0,0,40,월 수 13:30-14:45 (미래관 20302-구연정),3학년 독문
,전선-독문,복선-독문/부선-독문/융선-뉴미디어콘텐츠융합,,2150221601,독일의언어와문화,,,,이재호,독어독문학과,3.0/3.0,0,40,월 수 10:30-11:45 (조만식기념관 12326 (조해자강의실)-이재호),"3학년 독문, 뉴미디어콘텐츠융합"
,전선-독문,복선-독문/부선-독문,,2150172201,시사독일어,,,,이민수,독어독문학과,3.0/3.0,0,40,"목 12:00-13:15 (전산관 19531(70인 강의실)-이민수)
목 13:30-14:45 (전산관 19531(70인 강의실)-이민수)",3학년 독문
,교직전공-독문,,,2150694101,외국어교과교육론,교직전공(교과교육영역); 학점교류생 수강불가,EL+,,정성희,학사팀,3.0/3.0,0,20,월 18:00-20:45 (미래관 20108-정성희),"3학년 영문, 독문, 불문, 중문, 일어일문;교직이수자
4학년 영문, 독문, 불문, 중문, 일어일문;교직이수자"
,교직전공-독문,,,2150694501,외국어교과논리및논술,교직전공(교과교육영역); 학점교류생 수강불가,,,김은수,학사팀,3.0/2.0,0,20,화 18:00-20:45 (진리관 11407-김은수),"3학년 ;교직이수자 ,영문 ,중문 ,불문 ,독문 ,일어일문
4학년 영문 ,독문 ,불문 ,중문 ,일어일문;교직이수자"
,전선-독문,복선-독문/부선-독문,,2150136901,중급독회화1,,,,현희,독어독문학과,3.0/3.0,0,30,수 금 12:00-13:15 (미래관 20206-현희),3학년 독문
,전선-독문,복선-독문/부선-독문,,2150233301,ZD독일어-B2,,,,현희,독어독문학과,3.0/3.0,0,30,화 목 12:00-13:15 (미래관 20206-현희),4학년 독문
,전선-독문,복선-독문/부선-독문,,2150389701,괴테와파우스트,,,,김대권,독어독문학과,3.0/3.0,0,40,화 목 10:30-11:45 (미래관 20206-김대권),4학년 독문
,전선-독문,복선-독문/부선-독문,,2150562701,독일아동문학번역,,,,이민수,독어독문학과,3.0/3.0,0,40,"목 15:00-16:15 (미래관 20206-이민수)
목 16:30-17:45 (미래관 20206-이민수)",4학년 독문
