계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전선-불문,복선-불문/부선-불문,,2150358701,프랑스명작의이해,,,,이가야,불어불문학과,3.0/3.0,0,35,"월 13:30-14:45 (조만식기념관 12326 (조해자강의실)-이가야)
수 13:30-14:45 (벤처중소기업센터 10513-이가야)",1학년 불문
,전기-불문,복필-불문/부선-불문,,2150517501,프랑스어문법과읽기,,,,김고운,불어불문학과,3.0/3.0,0,40,"화 13:30-14:45 (진리관 11306-김고운)
목 15:00-16:15 (미래관 20301-김고운)",1학년 불문
,전기-불문,복선-불문/부선-불문,,2150517601,프랑스어실습1,,,,Stephanie Tome Garnier,불어불문학과,3.0/3.0,0,40,"화 12:00-13:15 (조만식기념관 12526 (김사풍강의실)-Stephanie Tome Garnier)
목 12:00-13:15 (미래관 20301-Stephanie Tome Garnier)",1학년 불문
,전선-불문,복선-불문/부선-불문,,2150529801,멀티미디어프랑스어,,,,지영호,불어불문학과,3.0/3.0,0,35,"월 12:00-13:15 (벤처중소기업센터 10513-지영호)
목 15:00-16:15 (미래관 20403-지영호)",2학년 불문
,전선-불문,복선-불문/부선-불문,,2150421501,중급프랑스어문법1,,,,이형석,불어불문학과,3.0/3.0,0,40,"화 12:00-13:15 (조만식기념관 12210-이형석)
목 10:30-11:45 (조만식기념관 12210-이형석)",2학년 불문
,전선-불문,복선-불문/부선-불문/융선-뉴미디어콘텐츠융합,,2150368901,프랑스문학과예술,,EL+,,김기일,불어불문학과,3.0/3.0,0,40,"화 10:30-11:45 (미래관 20301-김기일)
목 13:30-14:45 (조만식기념관 12210-김기일)","2학년 불문,뉴미디어콘텐츠"
,전선-불문,복선-불문/부선-불문,,2150352001,프랑스생활회화1,,,,Stephanie Tome Garnier,불어불문학과,3.0/3.0,0,40,"화 13:30-14:45 (미래관 20301-Stephanie Tome Garnier)
금 12:00-13:15 (미래관 20301-Stephanie Tome Garnier)",2학년 불문
,전선-불문,복선-불문/부선-불문,,2150560101,프랑스시와샹송,,,,김유정,불어불문학과,3.0/3.0,0,40,"월 10:30-11:45 (미래관 20301-김유정)
수 13:30-14:45 (교육관 06202-김유정)",2학년 불문
,교직전공-불문,,,2150694101,외국어교과교육론,교직전공(교과교육영역); 학점교류생 수강불가,EL+,,정성희,학사팀,3.0/3.0,0,20,월 18:00-20:45 (미래관 20108-정성희),"3학년 영문, 독문, 불문, 중문, 일어일문;교직이수자
4학년 영문, 독문, 불문, 중문, 일어일문;교직이수자"
,교직전공-불문,,,2150694501,외국어교과논리및논술,교직전공(교과교육영역); 학점교류생 수강불가,,,김은수,학사팀,3.0/2.0,0,20,화 18:00-20:45 (진리관 11407-김은수),"3학년 ;교직이수자 ,영문 ,중문 ,불문 ,독문 ,일어일문
4학년 영문 ,독문 ,불문 ,중문 ,일어일문;교직이수자"
,전선-불문,복선-불문/부선-불문,,2150421601,프랑스소설,,,,이가야,불어불문학과,3.0/3.0,0,35,"월 10:30-11:45 (벤처중소기업센터 10513-이가야)
수 12:00-13:15 (벤처중소기업센터 10513-이가야)",3학년 불문
,전선-불문,복선-불문/부선-불문,,2150358501,프랑스어작문2,,,,이형석,불어불문학과,3.0/3.0,0,40,"화 13:30-14:45 (조만식기념관 12210-이형석)
목 15:00-16:15 (조만식기념관 12524 (안재국강의실)-이형석)",3학년 불문
,전선-불문,복선-불문/부선-불문,,2150368801,프랑스연극,,EL+,,김기일,불어불문학과,3.0/3.0,0,40,"화 12:00-13:15 (미래관 20301-김기일)
목 10:30-11:45 (미래관 20301-김기일)",3학년 불문
,전필-불문,복선-불문/부선-불문,,2150368701,프랑스회화B1-1,,,,Stephanie Tome Garnier,불어불문학과,3.0/3.0,0,40,월 목 13:30-14:45 (미래관 20301-Stephanie Tome Garnier),3학년 불문
,전선-불문,복선-불문/부선-불문/융선-뉴미디어콘텐츠융합,,2150389801,초현실주의와현대시,,,,이필은,불어불문학과,3.0/3.0,0,40,수 금 13:30-14:45 (미래관 20301-이필은),"4학년 불문,뉴미디어콘텐츠"
,전선-불문,복선-불문/부선-불문,,2150390101,프랑스영화와시사,,,,Stephanie Tome Garnier,불어불문학과,3.0/3.0,0,40,"월 12:00-13:15 (미래관 20301-Stephanie Tome Garnier)
금 10:30-11:45 (미래관 20301-Stephanie Tome Garnier)",4학년 불문
