계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-사학,복선-사학/부선-사학,,2150607501,고고학입문,,,,송만영,사학과,3.0/3.0,0,50,"화 13:30-14:45 (조만식기념관 12326 (조해자강의실)-송만영)
목 10:30-11:45 (진리관 11304-송만영)",1학년 사학
,전기-사학,복필-사학/부선-사학/융선-뉴미디어콘텐츠융합,,2150820601,중국사입문,,,,이유진,사학과,3.0/3.0,0,50,"화 10:30-11:45 (조만식기념관 12207 (박명복강의실)-이유진)
목 09:00-10:15 (조만식기념관 12326 (조해자강의실)-이유진)","1학년 사학,뉴미디어콘텐츠"
,전기-사학,복필-사학/부선-사학,,2150518801,한국사입문,,,,황민호,사학과,3.0/3.0,0,50,"월 13:30-14:45 (조만식기념관 12210-황민호)
수 13:30-14:45 (조만식기념관 12326 (조해자강의실)-황민호)",1학년 사학
,전선-사학,복선-사학/부선-사학,,2150137301,동양고대사,,,,,사학과,3.0/3.0,0,40,"금 10:30-11:45 (미래관 20205-)
금 12:00-13:15 (미래관 20205-)",2학년 사학
,전선-사학,복선-사학/부선-사학,,2150162501,서양고대사,,,,장시은,사학과,3.0/3.0,0,40,"화 10:30-11:45 (미래관 20205-장시은)
화 12:00-13:15 (미래관 20205-장시은)",2학년 사학
,전선-사학,복선-사학/부선-사학,,2150189201,일본사,,,,,사학과,3.0/3.0,0,40,"목 15:00-16:15 (조만식기념관 12329-)
목 16:30-17:45 (조만식기념관 12329-)",2학년 사학
,전선-사학,복선-사학/부선-사학,,2150214301,한국고대사,,,,송만영,사학과,3.0/3.0,0,40,"월 10:30-11:45 (진리관 11401-송만영)
수 12:00-13:15 (미래관 20205-송만영)",2학년 사학
,전선-사학,복선-사학/부선-사학,,2150215201,한국사강독,,,,강문식,사학과,3.0/3.0,0,45,"화 13:30-14:45 (미래관 20205-강문식)
수 10:30-11:45 (미래관 20107-강문식)",2학년 사학
,전선-사학,복선-사학/부선-사학,,2150098601,AI와디지털역사연구,,,,주성지,사학과,3.0/3.0,0,40,"목 15:00-16:15 (미래관 20304-주성지)
목 16:30-17:45 (미래관 20304-주성지)",3학년 사학
,전선-사학,복선-사학/부선-사학,,2150576401,동양사강독,,,,심영신,사학과,3.0/3.0,0,45,"화 12:00-13:15 (조만식기념관 12326 (조해자강의실)-심영신)
목 13:30-14:45 (미래관 20402-심영신)",3학년 사학
,교직전공-사학,,,2150693901,사회교과교육론,교직전공(교과교육영역); 학점교류생 수강불가,,,지연정,학사팀,3.0/3.0,0,20,월 18:00-20:45 (미래관 20109-지연정),"3학년 사학 ,경제;교직이수자
4학년 사학 ,경제;교직이수자"
,교직전공-사학,,,2150694401,사회교과논리및논술,교직전공(교과교육영역); 학점교류생 수강불가,,,지연정,학사팀,3.0/2.0,0,20,수 18:00-20:45 (미래관 20108-지연정),"3학년 ;교직이수자 ,사학 ,경제
4학년 ;교직이수자 ,사학 ,경제"
,전선-사학,복선-사학/부선-사학,,2150234701,서양근대사,,,,양승조,사학과,3.0/3.0,0,40,"수 10:30-11:45 (조만식기념관 12524 (안재국강의실)-양승조)
금 12:00-13:15 (조만식기념관 12326 (조해자강의실)-양승조)",3학년 사학
,전선-사학,복선-사학/부선-사학,,2150215501,역사콘텐츠와대중문화,,,,,사학과,3.0/3.0,0,40,"수 15:00-16:15 (조만식기념관 12312-)
수 16:30-17:45 (조만식기념관 12312-)",3학년 사학
,전선-사학,복선-사학/부선-사학,,2150022001,창의적문제해결(캡스톤디자인),,,,심영신,사학과,3.0/3.0,0,40,"화 13:30-14:45 (조만식기념관 12203-심영신)
목 10:30-11:45 (조만식기념관 12202-심영신)","3학년 사학
4학년 사학"
,전선-사학,복선-사학/부선-사학,,2150214501,한국근세사,,,,강문식,사학과,3.0/3.0,0,40,"월 10:30-11:45 (진리관 11404-강문식)
목 12:00-13:15 (진리관 11305-강문식)",3학년 사학
,전선-사학,복선-사학/부선-사학,,2150234801,동양현대사,,,,이서현,사학과,3.0/3.0,0,40,"월 10:30-11:45 (미래관 20503-이서현)
월 12:00-13:15 (미래관 20503-이서현)",4학년 사학
,전선-사학,복선-사학/부선-사학/융선-뉴미디어콘텐츠융합,,2150052001,박물관학,,,,심영신,사학과,3.0/3.0,0,40,"화 10:30-11:45 (진리관 11516-심영신)
목 15:00-16:15 (조만식기념관 12203-심영신)","4학년 사학,뉴미디어콘텐츠"
,전선-사학,복선-사학/부선-사학,,2150216901,한국현대사,,,,조유재,사학과,3.0/3.0,0,40,"금 10:30-11:45 (진리관 11410-조유재)
금 12:00-13:15 (진리관 11410-조유재)",4학년 사학
