계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-영문,복선-영문/부선-영문,,2150016101,문학의세계,(가)반 학생만 신청,,(가반),이광진,영어영문학과,3.0/3.0,0,40,"월 15:00-16:15 (미래관 20201-이광진)
목 13:30-14:45 (미래관 20201-이광진)",1학년 영문
,전기-영문,복선-영문/부선-영문,,2150016102,문학의세계,(나)반 학생만 신청,,(나반),이광진,영어영문학과,3.0/3.0,0,40,"월 13:30-14:45 (미래관 20201-이광진)
목 12:00-13:15 (미래관 20201-이광진)",1학년 영문
,전기-영문,복선-영문/부선-영문,,2150170001,영어학개론,(가)반 학생만 신청,,(가반),이주은,영어영문학과,3.0/3.0,0,40,화 목 12:00-13:15 (조만식기념관 12327-이주은),1학년 영문
,전기-영문,복선-영문/부선-영문,,2150170002,영어학개론,(나)반 학생만 신청,,(나반),이주은,영어영문학과,3.0/3.0,0,40,화 목 13:30-14:45 (조만식기념관 12327-이주은),1학년 영문
,전선-영문,복선-영문/부선-영문,,2150543001,19세기영미시,,,,송윤,영어영문학과,3.0/3.0,0,40,"수 10:30-11:45 (조만식기념관 12202-송윤)
금 13:30-14:45 (조만식기념관 12404-송윤)",2학년 영문
,전선-영문,복선-영문/부선-영문,,2150543002,19세기영미시,,,,송윤,영어영문학과,3.0/3.0,0,40,"수 13:30-14:45 (조만식기념관 12201-송윤)
금 12:00-13:15 (진리관 11407-송윤)",2학년 영문
,전선-영문,복선-영문/부선-영문,,2150537101,Essential Listening and Speaking Skills,,,,웡킴벌리앤,영어영문학과,3.0/3.0,0,40,"목 10:30-11:45 (조만식기념관 12204-웡킴벌리앤)
목 12:00-13:15 (조만식기념관 12204-웡킴벌리앤)",2학년 영문
,전선-영문,복선-영문/부선-영문,,2150537102,Essential Listening and Speaking Skills,,,,웡킴벌리앤,영어영문학과,3.0/3.0,0,40,"목 13:30-14:45 (조만식기념관 12204-웡킴벌리앤)
목 15:00-16:15 (조만식기념관 12204-웡킴벌리앤)",2학년 영문
,전선-영문,복선-영문/부선-영문,,2150569901,문학비평,,,,백정국,영어영문학과,3.0/3.0,0,40,화 목 09:00-10:15 (조만식기념관 12327-백정국),2학년 영문
,전기-영문,복선-영문/부선-영문,,2150555301,미국문학의이해,,,(가반),이승복,영어영문학과,3.0/3.0,0,40,월 수 10:30-11:45 (조만식기념관 12327-이승복),2학년 영문
,전기-영문,복선-영문/부선-영문,,2150555302,미국문학의이해,,,(나반),이승복,영어영문학과,3.0/3.0,0,40,"화 12:00-13:15 (조만식기념관 12311-이승복)
금 12:00-13:15 (조만식기념관 12312-이승복)",2학년 영문
,전선-영문,복선-영문/부선-영문,,2150529401,영어발음법,,EL+,,임수연,영어영문학과,3.0/3.0,0,40,"월 12:00-13:15 (조만식기념관 12202-임수연)
수 12:00-13:15 (조만식기념관 12406-임수연)",2학년 영문
,전선-영문,복선-영문/부선-영문,,2150529402,영어발음법,,EL+,,임수연,영어영문학과,3.0/3.0,0,40,"화 12:00-13:15 (조만식기념관 12202-임수연)
목 12:00-13:15 (조만식기념관 12406-임수연)",2학년 영문
,전선-영문,복선-영문/부선-영문,,2150517401,영어학의기초와응용,,,,이주은,영어영문학과,3.0/3.0,0,40,월 수 12:00-13:15 (조만식기념관 12327-이주은),2학년 영문
,전선-영문,복선-영문/부선-영문,,2150543201,Advanced listening and speaking skills,,,,웡킴벌리앤,영어영문학과,3.0/3.0,0,40,"금 12:00-13:15 (조만식기념관 12327-웡킴벌리앤)
금 13:30-14:45 (조만식기념관 12327-웡킴벌리앤)",3학년 영문
,전선-영문,복선-영문/부선-영문,,2150543501,기후환경소설,,EL+,,최정선,영어영문학과,3.0/3.0,0,36,월 수 12:00-13:15 (미래관 20108-최정선),3학년 영문
,전선-영문,복선-영문/부선-영문/융선-뉴미디어콘텐츠융합,,2150034701,빅데이터영어학,,EL+,,임수연,영어영문학과,3.0/3.0,0,40,"화 13:30-14:45 (조만식기념관 12202-임수연)
목 13:30-14:45 (조만식기념관 12406-임수연)","3학년 영문, 뉴미디어콘텐츠융합"
,전선-영문,복선-영문/부선-영문,,2150542801,영어교육론,,EL+,,김지은,영어영문학과,3.0/3.0,0,40,화 목 12:00-13:15 (숭덕경상관 02209-김지은),3학년 영문
,교직전공-영문,,,2150694101,외국어교과교육론,교직전공(교과교육영역); 학점교류생 수강불가,EL+,,정성희,학사팀,3.0/3.0,0,20,월 18:00-20:45 (미래관 20108-정성희),"3학년 영문, 독문, 불문, 중문, 일어일문;교직이수자
4학년 영문, 독문, 불문, 중문, 일어일문;교직이수자"
,교직전공-영문,,,2150694501,외국어교과논리및논술,교직전공(교과교육영역); 학점교류생 수강불가,,,김은수,학사팀,3.0/2.0,0,20,화 18:00-20:45 (진리관 11407-김은수),"3학년 ;교직이수자 ,영문 ,중문 ,불문 ,독문 ,일어일문
4학년 영문 ,독문 ,불문 ,중문 ,일어일문;교직이수자"
,전선-영문,복선-영문/부선-영문,,2150543601,현대미국소설,,,,이승복,영어영문학과,3.0/3.0,0,40,월 수 13:30-14:45 (조만식기념관 12327-이승복),3학년 영문
,전선-영문,복선-영문/부선-영문,,2150420501,Business English,,,,김소연,영어영문학과,3.0/3.0,0,40,"수 10:30-11:45 (교육관 06202-김소연)
수 12:00-13:15 (교육관 06202-김소연)",4학년 영문
,전선-영문,복선-영문/부선-영문,,2150543401,르네상스와셰익스피어,,,,백정국,영어영문학과,3.0/3.0,0,36,화 목 12:00-13:15 (미래관 20108-백정국),4학년 영문
,전선-영문,복선-영문/부선-영문/융선-뉴미디어콘텐츠융합,,2150389001,영어담화분석,,,,김은수,영어영문학과,3.0/3.0,0,40,"화 13:30-14:45 (진리관 11402-김은수)
수 13:30-14:45 (조만식기념관 12408 (림인식강의실)-김은수)","4학년 영문, 뉴미디어콘텐츠융합"
,전선-영문,복선-영문,,2150170301,영어와사회,,EL+,,김지은,영어영문학과,3.0/3.0,0,40,"화 10:30-11:45 (조만식기념관 12327-김지은)
목 13:30-14:45 (벤처중소기업센터 10511-김지은)",4학년 영문
,전선-영문,,,2150021601,창의적문제해결(캡스톤디자인),,,,최정선,영어영문학과,3.0/3.0,0,40,"금 10:30-11:45 (미래관 20201-최정선)
금 12:00-13:15 (미래관 20201-최정선)",4학년 영문
