계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-문예창작,복선-문예창작/부선-문예창작,,2150329801,산문작법,,,,민병훈,예술창작학부 문예창작전공,3.0/3.0,0,40,"금 12:00-13:15 (백마관 07316-민병훈)
금 13:30-14:45 (백마관 07316-민병훈)",1학년 문예창작전공
,전기-문예창작,복선-문예창작/부선-문예창작,,2150532901,운문작법,,,,김소형,예술창작학부 문예창작전공,3.0/3.0,0,40,"화 10:30-11:45 (진리관 11401-김소형)
화 12:00-13:15 (진리관 11401-김소형)",1학년 문예창작전공
,전선-문예창작,복선-문예창작/부선-문예창작/융선-문화서비스산업융합,,2150660101,AI예술과매체서사,,,,김태용,예술창작학부 문예창작전공,3.0/3.0,0,40,"목 12:00-13:15 (진리관 11401-김태용)
목 13:30-14:45 (진리관 11401-김태용)","2학년 문예창작전공, 문화서비스산업, 문예예술마케팅"
,전선-문예창작,복선-문예창작/부선-문예창작,,2150394701,TV드라마창작실습,,,,조유진,예술창작학부 문예창작전공,3.0/3.0,0,40,"수 09:00-10:15 (진리관 11401-조유진)
수 10:30-11:45 (진리관 11401-조유진)","2학년 문예창작전공, 문화예술마케팅, 소셜벤처미디어"
,전필-문예창작,복필-문예창작/부선-문예창작,,2150378101,소설론,,,,홍정희,예술창작학부 문예창작전공,3.0/3.0,0,40,"금 12:00-13:15 (미래관 20405-홍정희)
금 13:30-14:45 (미래관 20405-홍정희)",2학년 문예창작전공
,전선-문예창작,복선-문예창작/부선-문예창작,,2150558001,소설분석,,,,민병훈,예술창작학부 문예창작전공,3.0/3.0,0,40,"금 16:30-17:45 (진리관 11401-민병훈)
금 18:00-19:15 (진리관 11401-민병훈)",2학년 문예창작전공
,전필-문예창작,복필-문예창작/부선-문예창작,,2150359201,시론,,,,김인섭,예술창작학부 문예창작전공,3.0/3.0,0,40,"화 15:00-16:15 (진리관 11401-김인섭)
목 15:00-16:15 (진리관 11401-김인섭)",2학년 문예창작전공
,전필-문예창작,복필-문예창작/부선-문예창작,,2150378201,희곡론,,,,백로라,예술창작학부 문예창작전공,3.0/3.0,0,40,"월 12:00-13:15 (진리관 11401-백로라)
수 12:00-13:15 (진리관 11401-백로라)",2학년 문예창작전공
,전선-문예창작,복선-문예창작/부선-문예창작/연계1-융합창업/융선-문화서비스산업융합,,2150673401,게임과서사,,,,이유리,예술창작학부 문예창작전공,3.0/3.0,0,40,"수 12:00-13:15 (조만식기념관 12202-이유리)
수 13:30-14:45 (조만식기념관 12202-이유리)","3학년 문예창작전공,문화서비스산업,융합창업연계,문화예술마케팅"
,전필-문예창작,복선-문예창작/부선-문예창작/융선-문화서비스산업융합,,2150501401,비평론,,,,최가은,예술창작학부 문예창작전공,3.0/3.0,0,40,"목 15:00-16:15 (미래관 20302-최가은)
목 16:30-17:45 (미래관 20302-최가은)","3학년 문예창작전공,문화서비스산업"
,전선-문예창작,복선-문예창작/부선-문예창작,,2150393901,소설창작2,,,,김태용,예술창작학부 문예창작전공,3.0/3.0,0,40,"금 12:00-13:15 (진리관 11401-김태용)
금 13:30-14:45 (진리관 11401-김태용)",3학년 문예창작전공
,전선-문예창작,복선-문예창작/부선-문예창작,,2150393601,시창작2,,,,김소연,예술창작학부 문예창작전공,3.0/3.0,0,40,"월 15:00-16:15 (진리관 11401-김소연)
월 16:30-17:45 (진리관 11401-김소연)",3학년 문예창작전공
,전선-문예창작,복선-문예창작/부선-문예창작,,2150545101,희곡창작2,,EL+,,백로라,예술창작학부 문예창작전공,3.0/3.0,0,40,"화 15:00-16:15 (미래관 20302-백로라)
화 16:30-17:45 (미래관 20302-백로라)",3학년 문예창작전공
,전선-문예창작,복선-문예창작/부선-문예창작,,2150525201,Translation of Contemporary ForeignDrama,,,,백로라,예술창작학부 문예창작전공,3.0/3.0,0,40,"월 13:30-14:45 (진리관 11401-백로라)
수 13:30-14:45 (진리관 11401-백로라)",4학년 문예창작전공
,전선-문예창작,복선-문예창작/부선-문예창작,,2150154701,그림책제작실습,,,,최민지,예술창작학부 문예창작전공,3.0/3.0,0,40,"목 12:00-13:15 (미래관 20302-최민지)
목 13:30-14:45 (미래관 20302-최민지)",4학년 문예창작전공
,전선-문예창작,복선-문예창작/부선-문예창작/융선-문화서비스산업융합,,2150501701,시세미나,,,,김인섭,예술창작학부 문예창작전공,3.0/3.0,0,40,"화 16:30-17:45 (진리관 11401-김인섭)
목 16:30-17:45 (진리관 11401-김인섭)","4학년 문예창작전공,문화서비스산업"
,전선-문예창작,복선-문예창작/부선-문예창작,,2150462401,아동청소년문학,,,,신영배,예술창작학부 문예창작전공,3.0/3.0,0,40,"수 15:00-16:15 (진리관 11401-신영배)
수 16:30-17:45 (진리관 11401-신영배)",4학년 문예창작전공
