계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전선-영화예술,,,2150675201,감각과감정,가 ( 수업장소: 공동연습실3 ),,,유정숙,예술창작학부 영화예술전공,3.0/3.0,0,30,"화 11:00-12:15 (베어드홀 01102 (한덕우강의실)-유정숙)
화 12:30-13:45 (베어드홀 01102 (한덕우강의실)-유정숙)",1학년 영화예술전공 (타학과수강제한)
,전선-영화예술,,,2150675202,감각과감정,나 ( 수업장소: 공동연습실3 ),,,유정숙,예술창작학부 영화예술전공,3.0/3.0,0,30,"수 15:00-16:15 (교육관 06203-유정숙)
수 16:30-17:45 (교육관 06203-유정숙)",1학년 영화예술전공 (타학과수강제한)
,전기-영화예술,,,2150674701,단편영화읽기1,,,,최익환,예술창작학부 영화예술전공,3.0/3.0,0,50,"금 12:00-13:15 (베어드홀 01102 (한덕우강의실)-최익환)
금 13:30-14:45 (베어드홀 01102 (한덕우강의실)-최익환)",1학년 영화예술전공 (타학과수강제한)
,전기-영화예술,,,2150674601,이야기발상법,,,,윤가은,예술창작학부 영화예술전공,3.0/3.0,0,50,"월 10:30-11:45 (베어드홀 01102 (한덕우강의실)-윤가은)
월 12:00-13:15 (베어드홀 01102 (한덕우강의실)-윤가은)",1학년 영화예술전공 (타학과수강제한)
,전기-영화예술,,,2150687101,"Critique(아이디어,예산,프로듀싱,제작QC)1",,EL+,,"전려경
가성문
강인",예술창작학부 영화예술전공,3.0/3.0,0,50,"목 15:00-16:15 (베어드홀 01102 (한덕우강의실)-강인)
목 15:00-16:15 (베어드홀 01102 (한덕우강의실)-전려경)
목 15:00-16:15 (베어드홀 01102 (한덕우강의실)-가성문)
목 16:30-17:45 (베어드홀 01102 (한덕우강의실)-강인)
목 16:30-17:45 (베어드홀 01102 (한덕우강의실)-전려경)
목 16:30-17:45 (베어드홀 01102 (한덕우강의실)-가성문)",2학년 영화예술전공 (타학과수강제한)
,전선-영화예술,,,2150687301,Staging1-감정만들기, ( 수업장소: 스튜디오 ),,,강혜연,예술창작학부 영화예술전공,3.0/3.0,0,30,"수 12:00-13:15 (베어드홀 01102 (한덕우강의실)-강혜연)
수 13:30-14:45 (베어드홀 01102 (한덕우강의실)-강혜연)",2학년 영화예술전공 (타학과수강제한)
,전기-영화예술,,,2150687201,디지털필름메이킹2-편집,가 ( 수업장소: 편집실 ),,,김민진,예술창작학부 영화예술전공,3.0/3.0,0,25,"금 09:00-10:15 (교육관 06203-김민진)
금 10:30-11:45 (교육관 06203-김민진)",2학년 영화예술전공 (타학과수강제한)
,전기-영화예술,,,2150687202,디지털필름메이킹2-편집,나 ( 수업장소: 편집실 ),,,김민진,예술창작학부 영화예술전공,3.0/3.0,0,25,"금 13:30-14:45 (교육관 06203-김민진)
금 15:00-16:15 (교육관 06203-김민진)",2학년 영화예술전공 (타학과수강제한)
,전선-영화예술,,,2150687501,시나리오쓰기1-'나'를주인공으로,,,,전계수,예술창작학부 영화예술전공,3.0/3.0,0,42,"화 13:30-14:45 (조만식기념관 12403-전계수)
화 15:00-16:15 (조만식기념관 12403-전계수)",2학년 영화예술전공 (대상외수강제한)
,전선-영화예술,,,2150687401,장편영화장면연습1,,,,임오정,예술창작학부 영화예술전공,3.0/3.0,0,40,"월 18:00-19:15 (베어드홀 01102 (한덕우강의실)-임오정)
월 19:30-20:45 (베어드홀 01102 (한덕우강의실)-임오정)",2학년 영화예술전공 (타학과수강제한)
,전필-영화예술,,,2150015601,Critique3,,EL+,,"최익환
엄주영
윤가은",예술창작학부 영화예술전공,3.0/3.0,0,50,"목 15:00-16:15 (미래관 20107-엄주영)
목 15:00-16:15 (미래관 20107-윤가은)
목 15:00-16:15 (미래관 20107-최익환)
목 16:30-17:45 (미래관 20107-엄주영)
목 16:30-17:45 (미래관 20107-윤가은)
목 16:30-17:45 (미래관 20107-최익환)",3학년 영화예술전공 (타학과수강제한)
,전선-영화예술,,,2150031601,디지털후반작업1, ( 수업장소: 스튜디오 ),,,정그림,예술창작학부 영화예술전공,3.0/3.0,0,30,"월 18:00-19:15 (베어드홀 01103-정그림)
월 19:30-20:45 (베어드홀 01103-정그림)",3학년 영화예술전공 (타학과수강제한)
,전선-영화예술,,,2150040101,영화기획·프로듀싱,,,,권용한,예술창작학부 영화예술전공,3.0/3.0,0,40,"화 18:00-19:15 (베어드홀 01102 (한덕우강의실)-권용한)
화 19:30-20:45 (베어드홀 01102 (한덕우강의실)-권용한)",3학년 영화예술전공 (타학과수강제한)
,전선-영화예술,,,2150015801,영화연기1, ( 수업장소: 공동연습실3 ),,,남연우,예술창작학부 영화예술전공,3.0/3.0,0,30,"수 12:00-13:15 (미래관 20503-남연우)
수 13:30-14:45 (미래관 20503-남연우)",3학년 영화예술전공 (타학과수강제한)
,전선-영화예술,,,2150039901,오디션연습1, ( 수업장소: 스튜디오 ),,,권오범,예술창작학부 영화예술전공,3.0/3.0,0,30,"화 12:00-13:15 (교육관 06203-권오범)
화 13:30-14:45 (교육관 06203-권오범)",3학년 영화예술전공 (타학과수강제한)
,전선-영화예술,,,2150040201,졸업공연-무대실습, ( '졸업공연-연출스타일분석' 같이 수강 신청 필수! ),,,최규화,예술창작학부 영화예술전공,3.0/3.0,0,40,"목 10:00-11:15 (미래관 20107-최규화)
목 11:30-12:45 (미래관 20107-최규화)",4학년 영화예술전공 (대상외수강제한)(대상외수강제한)
,전선-영화예술,,,2150032001,졸업공연-연출스타일분석, ( '졸업공연-무대실습' 같이 수강 신청 필수! ) ( 여름 방학동안 진행. 학기 중 실제 수업은 '졸업공연-무대실습' 시간에만! ),,,최규화,예술창작학부 영화예술전공,3.0/3.0,0,40,"목 18:00-19:15 (베어드홀 01102 (한덕우강의실)-최규화)
목 19:30-20:45 (베어드홀 01102 (한덕우강의실)-최규화)",4학년 영화예술전공 (대상외수강제한)(대상외수강제한)
,전선-영화예술,,,2150031901,졸업작품 WS1, ( '졸업작품WS2' 같이 수강 신청 필수! ),,,최익환,예술창작학부 영화예술전공,3.0/3.0,0,40,"화 12:00-13:15 (조만식기념관 12201-최익환)
화 13:30-14:45 (조만식기념관 12201-최익환)",4학년 영화예술전공 (대상외수강제한)(대상외수강제한)
,전선-영화예술,,,2150032401,졸업작품 WS2, ( '졸업작품WS1' 같이 수강 신청 필수! ) ( 여름 방학동안 진행. 학기 중 실제 수업은 '졸업작품WS1' 시간에만! ),,,가성문,예술창작학부 영화예술전공,3.0/3.0,0,40,"화 18:00-19:15 (베어드홀 01103-가성문)
화 19:30-20:45 (베어드홀 01103-가성문)",4학년 영화예술전공 (대상외수강제한)(대상외수강제한)
