계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-일어일문,복선-일어일문/부선-일어일문,,2150581701,시청각일본어1,,,,원지은,일어일문학과,3.0/3.0,0,40,"화 12:00-13:15 (조만식기념관 12208-원지은)
목 13:30-14:45 (조만식기념관 12201-원지은)",1학년 일어일문
,전기-일어일문,복선-일어일문/부선-일어일문,,2150516801,일본사회문화의이해,,,,한세희,일어일문학과,3.0/3.0,0,40,"목 15:00-16:15 (교육관 06202-한세희)
목 16:30-17:45 (교육관 06202-한세희)",1학년 일어일문
,전선-일어일문,복선-일어일문/부선-일어일문,,2150335201,초급일본어회화1,,,,Kawaguchi Keiko,일어일문학과,2.0/2.0,0,30,"목 12:00-12:50 (조만식기념관 12210-Kawaguchi Keiko)
금 12:00-12:50 (진리관 11304-Kawaguchi Keiko)",1학년 일어일문
,전기-일어일문,복선-일어일문/부선-일어일문,,2150516701,초급전공일본어1,,,,오미영,일어일문학과,3.0/3.0,0,40,"월 13:30-14:45 (진리관 11304-오미영)
수 10:30-11:45 (진리관 11304-오미영)",1학년 일어일문
,전선-일어일문,복선-일어일문/부선-일어일문/융선-동아시아경제통상,,2150432301,기본일본어작문,,,,최서영,일어일문학과,3.0/3.0,0,36,"월 12:00-13:15 (미래관 20305-최서영)
수 10:30-11:45 (미래관 20109-최서영)",2학년 일어일문
,전선-일어일문,복선-일어일문/부선-일어일문/융선-동아시아경제통상,,2150530401,기초일본어문법,,,,권승림,일어일문학과,3.0/3.0,0,40,"화 12:00-13:15 (진리관 11304-권승림)
수 12:00-13:15 (진리관 11304-권승림)",2학년 일어일문
,전선-일어일문,복선-일어일문/부선-일어일문,,2150318201,일본고전문학과문화,,,,이시준,일어일문학과,3.0/3.0,0,40,"화 10:30-11:45 (진리관 11307-이시준)
목 13:30-14:45 (조만식기념관 12526 (김사풍강의실)-이시준)",2학년 일어일문
,전선-일어일문,복선-일어일문/부선-일어일문,,2150473701,일본어문장독해,,,,원지은,일어일문학과,3.0/3.0,0,40,"화 13:30-14:45 (진리관 11517-원지은)
목 15:00-16:15 (진리관 11304-원지은)",2학년 일어일문
,전선-일어일문,복선-일어일문/부선-일어일문,,2150355701,중급일본어회화1,,,,Kawaguchi Keiko,일어일문학과,2.0/2.0,0,30,"수 13:30-14:20 (진리관 11306-Kawaguchi Keiko)
금 13:30-14:20 (진리관 11304-Kawaguchi Keiko)",2학년 일어일문
,전선-일어일문,복선-일어일문/부선-일어일문/융선-동아시아경제통상,,2150546401,비즈니스일본어회화,,,,Kawaguchi Keiko,일어일문학과,3.0/3.0,0,30,"화 12:00-13:15 (백마관 07316-Kawaguchi Keiko)
목 13:30-14:45 (백마관 07218-Kawaguchi Keiko)",3학년 일어일문
,교직전공-일문,,,2150694101,외국어교과교육론,교직전공(교과교육영역); 학점교류생 수강불가,EL+,,정성희,학사팀,3.0/3.0,0,20,월 18:00-20:45 (미래관 20108-정성희),"3학년 영문, 독문, 불문, 중문, 일어일문;교직이수자
4학년 영문, 독문, 불문, 중문, 일어일문;교직이수자"
,교직전공-일문,,,2150694501,외국어교과논리및논술,교직전공(교과교육영역); 학점교류생 수강불가,,,김은수,학사팀,3.0/2.0,0,20,화 18:00-20:45 (진리관 11407-김은수),"3학년 ;교직이수자 ,영문 ,중문 ,불문 ,독문 ,일어일문
4학년 영문 ,독문 ,불문 ,중문 ,일어일문;교직이수자"
,전선-일어일문,복선-일어일문/부선-일어일문,,2150546601,일본문학번역과감상,,,,이시준,일어일문학과,3.0/3.0,0,40,"수 10:30-11:45 (조만식기념관 12403-이시준)
수 12:00-13:15 (조만식기념관 12403-이시준)",3학년 일어일문
,전선-일어일문,복선-일어일문/부선-일어일문/융선-동아시아경제통상,,2150313501,일본사회론,,,,정세진,일어일문학과,3.0/3.0,0,40,"목 15:00-16:15 (백마관 07316-정세진)
목 16:30-17:45 (백마관 07316-정세진)",3학년 일어일문
,전선-일어일문,복선-일어일문/부선-일어일문,,2150546301,일본어원서강독,,,,권승림,일어일문학과,3.0/3.0,0,40,"화 13:30-14:45 (진리관 11304-권승림)
수 13:30-14:45 (진리관 11304-권승림)",3학년 일어일문
,전선-일어일문,복선-일어일문/부선-일어일문,,2150546701,일본어학의이해,,,,이정옥,일어일문학과,3.0/3.0,0,40,"월 12:00-13:15 (교육관 06202-이정옥)
월 13:30-14:45 (교육관 06202-이정옥)",3학년 일어일문
,전선-일어일문,복선-일어일문/부선-일어일문,,2150564201,일본스크린문학론,,,,이시준,일어일문학과,3.0/3.0,0,40,"목 15:00-16:15 (조만식기념관 12403-이시준)
목 16:30-17:45 (조만식기념관 12403-이시준)",4학년 일어일문
,전선-일어일문,복선-일어일문/부선-일어일문,,2150571501,일본어문헌강독,,EL+,,오미영,일어일문학과,3.0/3.0,0,36,"화 10:30-11:45 (미래관 20109-오미영)
화 12:00-13:15 (미래관 20109-오미영)",4학년 일어일문
,전선-일어일문,복선-일어일문/부선-일어일문,,2150125001,한일커뮤니케이션론,,,,원지은,일어일문학과,3.0/3.0,0,40,"월 12:00-13:15 (조만식기념관 12404-원지은)
월 13:30-14:45 (조만식기념관 12404-원지은)",4학년 일어일문
,전선-일어일문,복선-일어일문/부선-일어일문,,2150564001,현대일본어문법론,,,,권승림,일어일문학과,3.0/3.0,0,40,"목 12:00-13:15 (진리관 11304-권승림)
목 13:30-14:45 (진리관 11304-권승림)",4학년 일어일문
