계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-중문,복선-중문/부선-중문,,2150330401,기초중어1,,,,정진강,중어중문학과,3.0/3.0,0,40,"월 13:30-14:45 (진리관 11307-정진강)
수 12:00-13:15 (진리관 11307-정진강)",1학년 중문
,전기-중문,복필-중문/부선-중문,,2150552701,중국문화의지평,,,,공상철,중어중문학과,3.0/3.0,0,40,"화 12:00-13:15 (미래관 20302-공상철)
목 12:00-13:15 (미래관 20109-공상철)",1학년 중문
,전기-중문,복선-중문/부선-중문,,2150518301,초급중어회화작문1,,,,윤민희,중어중문학과,3.0/3.0,0,30,"화 13:30-14:45 (조만식기념관 12530 (경제학과겸임교수강의실)-윤민희)
목 13:30-14:45 (진리관 11307-윤민희)",1학년 중문
,전기-중문,복선-중문/부선-중문,,2150518302,초급중어회화작문1,,,,Piao Hongying,중어중문학과,3.0/3.0,0,30,화 목 13:30-14:45 (조만식기념관 12328-Piao Hongying),1학년 중문
,전선-중문,복선-중문/부선-중문,,2150524201,성어로배우는문언문,,,,정진강,중어중문학과,3.0/3.0,0,40,"수 13:30-14:45 (진리관 11307-정진강)
금 12:00-13:15 (진리관 11307-정진강)",2학년 중문
,전선-중문,복필-중문/부선-중문,,2150530001,중국문학의지평,,,,공상철,중어중문학과,3.0/3.0,0,36,"목 15:00-16:15 (미래관 20109-공상철)
금 13:30-14:45 (미래관 20302-공상철)",2학년 중문
,전선-중문,복선-중문/부선-중문,,2150034601,중국어문법의기초,,,,임정현,중어중문학과,3.0/3.0,0,40,"화 12:00-13:15 (진리관 11307-임정현)
수 12:00-13:15 (조만식기념관 12328-임정현)",2학년 중문
,전선-중문,복선-중문/부선-중문,,2150312701,중급중어강독,,,,임정현,중어중문학과,3.0/3.0,0,40,"화 13:30-14:45 (진리관 11307-임정현)
목 12:00-13:15 (진리관 11307-임정현)",2학년 중문
,전선-중문,복선-중문/부선-중문,,2150287701,중급중어회화,,EL+,,Piao Hongying,중어중문학과,3.0/3.0,0,30,"화 10:30-11:45 (조만식기념관 12404-Piao Hongying)
목 10:30-11:45 (진리관 11307-Piao Hongying)",2학년 중문
,전선-중문,복선-중문/부선-중문,,2150288701,고급중어강독,,,,오효려,중어중문학과,3.0/3.0,0,40,"화 12:00-13:15 (미래관 20501-오효려)
목 13:30-14:45 (미래관 20205-오효려)",3학년 중문
,전선-중문,복선-중문/부선-중문,,2150311901,고급중어회화,,EL+,,Piao Hongying,중어중문학과,3.0/3.0,0,30,"목 15:00-16:15 (조만식기념관 12404-Piao Hongying)
금 13:30-14:45 (진리관 11407-Piao Hongying)",3학년 중문
,교직전공-중문,,,2150694101,외국어교과교육론,교직전공(교과교육영역); 학점교류생 수강불가,EL+,,정성희,학사팀,3.0/3.0,0,20,월 18:00-20:45 (미래관 20108-정성희),"3학년 영문, 독문, 불문, 중문, 일어일문;교직이수자
4학년 영문, 독문, 불문, 중문, 일어일문;교직이수자"
,교직전공-중문,,,2150694501,외국어교과논리및논술,교직전공(교과교육영역); 학점교류생 수강불가,,,김은수,학사팀,3.0/2.0,0,20,화 18:00-20:45 (진리관 11407-김은수),"3학년 ;교직이수자 ,영문 ,중문 ,불문 ,독문 ,일어일문
4학년 영문 ,독문 ,불문 ,중문 ,일어일문;교직이수자"
,전선-중문,복선-중문/부선-중문,,2150472101,인물로배우는중국문학사,,,,김지연,중어중문학과,3.0/3.0,0,40,월 수 12:00-13:15 (미래관 20302-김지연),3학년 중문
,전선-중문,복선-중문/부선-중문,,2150472001,중국소설과스토리텔링,,,,김지연,중어중문학과,3.0/3.0,0,40,월 수 10:30-11:45 (미래관 20302-김지연),3학년 중문
,전선-중문,복선-중문/부선-중문,,2150288901,중국현대문학의세계,,,,공상철,중어중문학과,3.0/3.0,0,40,"화 13:30-14:45 (미래관 20302-공상철)
금 12:00-13:15 (미래관 20302-공상철)",3학년 중문
,전선-중문,복선-중문/부선-중문,,2150319501,시청각중국어,,EL+,,Piao Hongying,중어중문학과,3.0/3.0,0,40,"수 12:00-13:15 (조만식기념관 12404-Piao Hongying)
금 10:30-11:45 (진리관 11307-Piao Hongying)",4학년 중문
,전선-중문,복선-중문/부선-중문,,2150098701,영상으로보는중국,,EL+,,진성희,중어중문학과,3.0/3.0,0,40,월 수 13:30-14:45 (조만식기념관 12204-진성희),4학년 중문
,전선-중문,복선-중문/부선-중문,,2150500601,중국어로보는사회,,,,정진강,중어중문학과,3.0/3.0,0,40,"월 12:00-13:15 (진리관 11307-정진강)
금 13:30-14:45 (진리관 11307-정진강)",4학년 중문
,전선-중문,복선-중문/부선-중문,,2150316201,중한번역실습1,,EL+,,김봉연,중어중문학과,3.0/3.0,0,40,월 수 10:30-11:45 (진리관 11307-김봉연),4학년 중문
