계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-철학,복선-철학/부선-철학/융선-뉴미디어콘텐츠융합,,2150043301,문화와철학,,,,박준상,철학과,3.0/3.0,0,40,수 금 12:00-13:15 (진리관 11403-박준상),"1학년 철학, 뉴미디어콘텐츠"
,전기-철학,복필-철학/부선-철학,,2150043201,철학입문,복필,,,장미성,철학과,3.0/3.0,0,40,"화 12:00-13:15 (미래관 20503-장미성)
화 13:30-14:45 (미래관 20501-장미성)",1학년 철학
,전선-철학,복선-철학/부선-철학/융선-뉴미디어콘텐츠융합,,2150358801,기호논리학,,,,백도형,철학과,3.0/3.0,0,40,화 목 13:30-14:45 (진리관 11403-백도형),"2학년 철학,뉴미디어콘텐츠"
,전선-철학,복선-철학/부선-철학,,2150352701,동양고·중세철학,,,,선병삼,철학과,3.0/3.0,0,40,"수 10:30-11:45 (조만식기념관 12203-선병삼)
수 12:00-13:15 (조만식기념관 12203-선병삼)",2학년 철학
,전필-철학,복필-철학/부선-철학,,2150162601,서양고대철학,복필,,,정준영,철학과,3.0/3.0,0,40,"목 15:00-16:15 (진리관 11403-정준영)
목 16:30-17:45 (진리관 11403-정준영)",2학년 철학
,전선-철학,복선-철학/부선-철학,,2150043701,윤리이론,,,,이양수,철학과,3.0/3.0,0,40,"월 10:30-11:45 (진리관 11403-이양수)
월 12:00-13:15 (진리관 11403-이양수)",2학년 철학
,전선-철학,복선-철학/부선-철학,,2150043601,철학적글쓰기,,,,유현상,철학과,3.0/3.0,0,40,"월 09:00-10:15 (교육관 06302-유현상)
수 13:30-14:45 (교육관 06302-유현상)",2학년 철학
,전선-철학,복선-철학/부선-철학,,2150208701,근현대독일철학,,,,김준석,철학과,3.0/3.0,0,40,"목 15:00-16:15 (교육관 06203-김준석)
목 16:30-17:45 (교육관 06203-김준석)",3학년 철학
,전선-철학,복선-철학/부선-철학,,2150043801,문학과철학,,,,박준상,철학과,3.0/3.0,0,40,수 금 13:30-14:45 (진리관 11403-박준상),3학년 철학
,전선-철학,복선-철학/부선-철학,,2150170901,미학특강,,,,김대식,철학과,3.0/3.0,0,40,"화 13:30-14:45 (미래관 20B102-김대식)
화 15:00-16:15 (미래관 20B102-김대식)",3학년 철학
,전선-철학,복선-철학/부선-철학/융선-뉴미디어콘텐츠융합,,2150189001,인식론,,,,정준영,철학과,3.0/3.0,0,40,"목 10:30-11:45 (진리관 11403-정준영)
목 12:00-13:15 (진리관 11403-정준영)","3학년 철학, 뉴미디어콘텐츠"
,교직전공-철학,,,5010159201,철학교과교육론,교직전공(교과교육영역); 학점교류생 수강불가,,,권희정,학사팀,3.0/3.0,0,25,수 18:00-20:45 (진리관 11309-권희정),"3학년 ;교직이수자 ,철학
4학년 ;교직이수자 ,철학"
,교직전공-철학,융선-아동철학교육융합,,5012321101,철학교과논리및논술,교직전공(교과교육영역); 학점교류생 수강불가,,,권희정,학사팀,3.0/2.0,0,15,목 18:00-20:45 (진리관 11309-권희정),"3학년 ;교직이수자 ,철학
4학년 ;교직이수자 ,철학"
,전필-철학,복필-철학/부선-철학,,2150216101,한국철학사,복필,,,선병삼,철학과,3.0/3.0,0,40,"월 13:30-14:45 (조만식기념관 12202-선병삼)
월 15:00-16:15 (조만식기념관 12202-선병삼)",3학년 철학
,전선-철학,복선-철학/부선-철학,,2150099001,기후철학,,EL+,,장미성,철학과,3.0/3.0,0,40,"월 10:30-11:45 (안익태기념관 04403-장미성)
월 12:00-13:15 (안익태기념관 04403-장미성)",4학년 철학
,전선-철학,복선-철학/부선-철학,,2150125601,동양미학,,,,서희연,철학과,3.0/3.0,0,40,"목 10:30-11:45 (교육관 06203-서희연)
목 12:00-13:15 (교육관 06203-서희연)",4학년 철학
,전선-철학,복선-철학/부선-철학,,2150159401,사회정치철학,,,,박민철,철학과,3.0/3.0,0,40,"수 12:00-13:15 (교육관 06203-박민철)
금 12:00-13:15 (미래관 20503-박민철)",4학년 철학
,전선-철학,복선-철학/부선-철학,,2150233801,영미철학특강,,,,신현주,철학과,3.0/3.0,0,40,화 목 16:30-17:45 (진리관 11307-신현주),4학년 철학
