계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-수학,복선-수학/부선-수학,,2150329701,미적분학1,,,,이상욱,수학과,3.0/3.0,0,40,"월 13:30-14:45 (진리관 11516-이상욱)
금 10:30-11:45 (조만식기념관 12311-이상욱)",1학년 수학
,전필-수학,복선-수학/부선-수학,,5010193601,프로그래밍및실습,,,,채석주,수학과,4.0/3.0,0,40,"목 09:00-09:50 (베어드홀 01424-채석주)
목 10:00-10:50 (베어드홀 01424-채석주)
금 12:00-12:50 (베어드홀 01424-채석주)
금 13:00-13:50 (베어드홀 01424-채석주)",1학년 수학
,전기-수학,복선-수학/부선-수학,,2150387501,화학1및실험,,,,정윤성,수학과,4.0/3.0,0,25,"화 09:00-09:50 (숭덕경상관 02317-정윤성)
화 10:00-10:50 (숭덕경상관 02317-정윤성)
화 11:00-11:50 (베어드홀 01213 (일반화학실험실)-정윤성)
화 12:00-12:50 (베어드홀 01213 (일반화학실험실)-정윤성)",1학년 수학
,전기-수학,복선-수학/부선-수학,,2150387502,화학1및실험,,,,"양진국
정윤성",수학과,4.0/3.0,0,25,"화 09:00-09:50 (숭덕경상관 02317-정윤성)
화 10:00-10:50 (숭덕경상관 02317-정윤성)
화 11:00-11:50 (베어드홀 01214 (일반화학실험실)-양진국)
화 12:00-12:50 (베어드홀 01214 (일반화학실험실)-양진국)",1학년 수학
,전선-수학,복선-수학/부선-수학,,2150594401,기하학,,,,이은주,수학과,3.0/3.0,0,40,"화 10:30-11:45 (진리관 11403-이은주)
목 15:00-16:15 (안익태기념관 04404-이은주)",2학년 수학
,전선-수학,복선-수학/부선-수학,,2150908501,미분방정식1,,영어,,송윤정,수학과,3.0/3.0,0,40,"수 10:30-11:45 (베어드홀 01102 (한덕우강의실)-송윤정)
금 10:30-11:45 (조만식기념관 12330-송윤정)",2학년 수학
,전기-수학,복선-수학/부선-수학,,2150329702,미적분학1,,영어, (공통-재수강),송윤정,수학과,3.0/3.0,0,40,"수 09:00-10:15 (숭덕경상관 02108-송윤정)
금 09:00-10:15 (조만식기념관 12311-송윤정)","2학년 수학, 물리, 화학, 통계보험, 의생명시스템
3학년 수학, 물리, 화학, 통계보험, 의생명시스템
4학년 수학, 물리, 화학, 통계보험, 의생명시스템
5학년 수학, 물리, 화학, 통계보험, 의생명시스템"
,전선-수학,복선-수학/부선-수학,,2150676801,벡터해석,,,,이은주,수학과,3.0/3.0,0,40,"화 13:30-14:45 (조만식기념관 12311-이은주)
목 10:30-11:45 (베어드홀 01102 (한덕우강의실)-이은주)",2학년 수학
,전필-수학,복필-수학/부선-수학/융선-정보보호융합,,2150164601,선형대수1,,영어,,송윤정,수학과,3.0/3.0,0,40,"화 09:00-10:15 (진리관 11516-송윤정)
목 09:00-10:15 (진리관 11516-송윤정)","2학년 수학, 정보보호융합"
,전필-수학,복필-수학/부선-수학/융선-정보보호융합,,2150217701,해석개론1,,,,김수정,수학과,3.0/3.0,0,40,"월 12:00-13:15 (조만식기념관 12311-김수정)
수 13:30-14:45 (조만식기념관 12311-김수정)","2학년 수학, 정보보호융합"
,전선-수학,복선-수학/부선-수학,,2150111601,다변수해석학,,,,김수정,수학과,3.0/3.0,0,40,"월 10:30-11:45 (조만식기념관 12311-김수정)
수 10:30-11:45 (숭덕경상관 02317-김수정)",3학년 수학
,전선-수학,복선-수학/부선-수학,,2150150901,복소수함수론1,,,,김정헌,수학과,3.0/3.0,0,40,"화 12:00-13:15 (숭덕경상관 02107-김정헌)
목 10:30-11:45 (진리관 11516-김정헌)",3학년 수학
,전선-수학,복선-수학/부선-수학,,2150145901,수리인공지능1,,,,이의우,수학과,3.0/3.0,0,40,"화 13:30-14:45 (진리관 11516-이의우)
목 13:30-14:45 (진리관 11516-이의우)",3학년 수학
,전선-수학,복선-수학/부선-수학/융선-정보보호융합,,2150170501,수치해석,,,,한정민,수학과,3.0/3.0,0,40,"월 09:00-10:15 (진리관 11516-한정민)
수 09:00-10:15 (진리관 11516-한정민)","3학년 수학, 정보보호융합"
,교직전공-수학,,,5012316501,수학교과교육론,교직전공(교과교육영역); 학점교류생 수강불가,,,강성권,학사팀,3.0/3.0,0,20,화 18:00-20:45 (문화관 03111 (토론식강의실)-강성권),"3학년 ;교직이수자 ,수학
4학년 ;교직이수자 ,수학"
,교직전공-수학,,,5010159401,수학교과논리및논술,교직전공(교과교육영역); 학점교류생 수강불가,,,강성권,학사팀,3.0/2.0,0,15,목 18:00-20:45 (문화관 03111 (토론식강의실)-강성권),"3학년 ;교직이수자 ,수학
4학년 ;교직이수자 ,수학"
,전선-수학,복선-수학/부선-수학,,2150184501,위상수학1,,,,이상욱,수학과,3.0/3.0,0,40,"월 12:00-13:15 (진리관 11516-이상욱)
수 13:30-14:45 (진리관 11516-이상욱)",3학년 수학
,전선-수학,복선-수학/부선-수학,,2150579701,금융수학,,,,정두섭,수학과,3.0/3.0,0,40,"금 09:00-10:15 (진리관 11516-정두섭)
금 10:30-11:45 (진리관 11516-정두섭)",4학년 수학
