계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-의생명시스템,,,5006762801,(공통)물리1및실험,,,,"이순녀
최현희",물리학과,4.0/3.0,0,25,"월 13:00-13:50 (조만식기념관 12214-이순녀)
월 14:00-14:50 (조만식기념관 12214-이순녀)
월 15:00-15:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)
월 16:00-16:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-의생명시스템,,,5006762802,(공통)물리1및실험,,,,김남미,물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12123-김남미)
수 14:00-14:50 (조만식기념관 12123-김남미)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-의생명시스템,,,5006762803,(공통)물리1및실험,,,,"김남미
이순녀",물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12124-이순녀)
수 14:00-14:50 (조만식기념관 12124-이순녀)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-의생명시스템,,,5006763001,화학1및실험,,,,장상목,화학과,4.0/3.0,0,25,"화 15:00-15:50 (숭덕경상관 02318-장상목)
화 16:00-16:50 (숭덕경상관 02318-장상목)
목 14:00-14:50 (베어드홀 01213 (일반화학실험실)-장상목)
목 15:00-15:50 (베어드홀 01213 (일반화학실험실)-장상목)","전체학년 물리 ,산업정보 ,신소재 ,의생명시스템 ,전기 ,화공 ,화학"
,전필-의생명시스템,복필-의생명시스템/부선-의생명시스템/융선-빅데이터컴퓨팅융합/융선-지식재산융합,,2150459101,생명정보개론,,,,류재용,의생명시스템학부,3.0/3.0,0,40,"목 12:00-13:15 (벤처중소기업센터 10711-류재용)
목 13:30-14:45 (벤처중소기업센터 10711-류재용)","1학년 의생명시스템, 빅데이터컴퓨팅, 지식재산"
,전필-의생명시스템,복필-의생명시스템/부선-의생명시스템/융선-빅데이터컴퓨팅융합/융선-지식재산융합,,2150459102,생명정보개론,,,,류재용,의생명시스템학부,3.0/3.0,0,40,"금 09:00-10:15 (벤처중소기업센터 10711-류재용)
금 10:30-11:45 (벤처중소기업센터 10711-류재용)","1학년 의생명시스템, 빅데이터컴퓨팅, 지식재산"
,전기-의생명시스템,복선-의생명시스템/부선-의생명시스템,,2150449401,일반생물1및실험,,,,임도환,의생명시스템학부,4.0/3.0,0,20,"월 13:30-14:20 (백마관 07117-임도환)
월 14:30-15:20 (백마관 07117-임도환)
월 15:30-16:20 (벤처중소기업센터 10611-임도환)
월 16:30-17:20 (벤처중소기업센터 10611-임도환)",1학년 의생명시스템
,전기-의생명시스템,복선-의생명시스템/부선-의생명시스템,,2150449402,일반생물1및실험,,,,임도환,의생명시스템학부,4.0/3.0,0,20,"월 13:30-14:20 (백마관 07117-임도환)
월 14:30-15:20 (백마관 07117-임도환)
화 15:30-16:20 (벤처중소기업센터 10611-임도환)
화 16:30-17:20 (벤처중소기업센터 10611-임도환)",1학년 의생명시스템
,전기-의생명시스템,복선-의생명시스템/부선-의생명시스템,,2150449403,일반생물1및실험,,,,"심가용
임도환",의생명시스템학부,4.0/3.0,0,20,"목 10:00-10:50 (백마관 07117-임도환)
목 11:00-11:50 (백마관 07117-임도환)
금 13:00-13:50 (벤처중소기업센터 10611-심가용)
금 14:00-14:50 (벤처중소기업센터 10611-심가용)",1학년 의생명시스템
,전기-의생명시스템,복선-의생명시스템/부선-의생명시스템,,2150449404,일반생물1및실험,,,,"심가용
임도환",의생명시스템학부,4.0/3.0,0,20,"목 10:00-10:50 (백마관 07117-임도환)
목 11:00-11:50 (백마관 07117-임도환)
금 15:00-15:50 (벤처중소기업센터 10611-심가용)
금 16:00-16:50 (벤처중소기업센터 10611-심가용)",1학년 의생명시스템
,전기-의생명시스템,복선-의생명시스템/부선-의생명시스템,,2150577201,화학1및실험,,,,"남궁미옥
강성훈",의생명시스템학부,4.0/3.0,0,25,"화 11:00-11:50 (백마관 07117-남궁미옥)
화 12:00-12:50 (백마관 07117-남궁미옥)
화 13:00-13:50 (베어드홀 01213 (일반화학실험실)-강성훈)
화 14:00-14:50 (베어드홀 01213 (일반화학실험실)-강성훈)",1학년 의생명시스템
,전기-의생명시스템,복선-의생명시스템/부선-의생명시스템,,2150577202,화학1및실험,,,,남궁미옥,의생명시스템학부,4.0/3.0,0,25,"화 11:00-11:50 (백마관 07117-남궁미옥)
화 12:00-12:50 (백마관 07117-남궁미옥)
화 13:00-13:50 (베어드홀 01214 (일반화학실험실)-남궁미옥)
화 14:00-14:50 (베어드홀 01214 (일반화학실험실)-남궁미옥)",1학년 의생명시스템
,전선-의생명시스템,복선-의생명시스템/부선-의생명시스템,,2150459201,미생물학및실험,,대면+녹화,,김미연,의생명시스템학부,4.0/3.0,0,20,"화 10:30-11:20 (벤처중소기업센터 10511-김미연)
수 12:00-12:50 (벤처중소기업센터 10611-김미연)
수 13:00-13:50 (벤처중소기업센터 10611-김미연)",2학년 의생명시스템
