계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-통계·보험,복선-통계·보험/부선-통계·보험,,2150641601,미적분학1,,,,한정민,정보통계·보험수리학과,3.0/3.0,0,40,수 금 12:00-13:15 (조만식기념관 12330-한정민),1학년 통계보험 (대상외수강제한)(대상외수강제한)
,전기-통계·보험,복선-통계·보험/부선-통계·보험,,2150385801,통계학,,,,권혁성,정보통계·보험수리학과,3.0/3.0,0,50,화 목 10:30-11:45 (조만식기념관 12330-권혁성),1학년 통계보험
,전선-통계·보험,복선-통계·보험/부선-통계·보험,,5010194701,프로그래밍및실습,,,,조상훈,정보통계·보험수리학과,4.0/3.0,0,30,"화 12:00-12:50 (베어드홀 01513 (정보통계보험수리실습실)-조상훈)
화 13:00-13:50 (베어드홀 01513 (정보통계보험수리실습실)-조상훈)
화 14:00-14:50 (베어드홀 01513 (정보통계보험수리실습실)-조상훈)
목 09:00-09:50 (베어드홀 01513 (정보통계보험수리실습실)-조상훈)",1학년 통계보험
,전선-통계·보험,복선-통계·보험/부선-통계·보험,,5010194702,프로그래밍및실습,,,,조상훈,정보통계·보험수리학과,4.0/3.0,0,30,"화 09:00-09:50 (베어드홀 01513 (정보통계보험수리실습실)-조상훈)
목 12:00-12:50 (베어드홀 01513 (정보통계보험수리실습실)-조상훈)
목 13:00-13:50 (베어드홀 01513 (정보통계보험수리실습실)-조상훈)
목 14:00-14:50 (베어드홀 01513 (정보통계보험수리실습실)-조상훈)",1학년 통계보험
,전선-통계·보험,복선-통계·보험/부선-통계·보험,,2150426401,금융수리1,,,,홍지민,정보통계·보험수리학과,3.0/3.0,0,40,월 수 15:00-16:15 (조만식기념관 12330-홍지민),2학년 통계보험
,전선-통계·보험,복선-통계·보험/부선-통계·보험,,2150426402,금융수리1,,, (공통-재수강),홍지민,정보통계·보험수리학과,3.0/3.0,0,40,월 수 13:30-14:45 (조만식기념관 12330-홍지민),2학년 통계보험
,전선-통계·보험,복선-통계·보험/부선-통계·보험/융선-AI모빌리티융합/융선-빅데이터융합,,2150442701,딥러닝기초,,,,오미화,정보통계·보험수리학과,3.0/3.0,0,40,"월 09:00-10:15 (베어드홀 01523-오미화)
월 10:30-11:45 (베어드홀 01523-오미화)","2학년 통계보험,빅데이터융합,AI모빌리티융합"
,전선-통계·보험,복선-통계·보험/부선-통계·보험/융선-AI모빌리티융합/융선-빅데이터융합,,2150442702,딥러닝기초,,, (공통-재수강),오미화,정보통계·보험수리학과,3.0/3.0,0,40,"금 15:00-16:15 (베어드홀 01523-오미화)
금 16:30-17:45 (베어드홀 01523-오미화)","2학년 통계보험,빅데이터융합,AI모빌리티융합"
,전기-통계·보험,,,2150329702,미적분학1,,영어, (공통-재수강),송윤정,수학과,3.0/3.0,0,40,"수 09:00-10:15 (숭덕경상관 02108-송윤정)
금 09:00-10:15 (조만식기념관 12311-송윤정)","2학년 수학, 물리, 화학, 통계보험, 의생명시스템
3학년 수학, 물리, 화학, 통계보험, 의생명시스템
4학년 수학, 물리, 화학, 통계보험, 의생명시스템
5학년 수학, 물리, 화학, 통계보험, 의생명시스템"
,전필-통계·보험,복필-통계·보험/부선-통계·보험,,2150324801,수리통계1,,,,고방원,정보통계·보험수리학과,3.0/3.0,0,40,"화 13:30-14:45 (조만식기념관 12330-고방원)
목 12:00-13:15 (조만식기념관 12330-고방원)","2학년 통계보험,여론조사컨설팅 (대상외수강제한)(대상외수강제한)"
