계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-화학,,,5006762801,(공통)물리1및실험,,,,"이순녀
최현희",물리학과,4.0/3.0,0,25,"월 13:00-13:50 (조만식기념관 12214-이순녀)
월 14:00-14:50 (조만식기념관 12214-이순녀)
월 15:00-15:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)
월 16:00-16:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-화학,,,5006762802,(공통)물리1및실험,,,,김남미,물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12123-김남미)
수 14:00-14:50 (조만식기념관 12123-김남미)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-화학,,,5006762803,(공통)물리1및실험,,,,"김남미
이순녀",물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12124-이순녀)
수 14:00-14:50 (조만식기념관 12124-이순녀)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-화학,,,5006763001,화학1및실험,,,,장상목,화학과,4.0/3.0,0,25,"화 15:00-15:50 (숭덕경상관 02318-장상목)
화 16:00-16:50 (숭덕경상관 02318-장상목)
목 14:00-14:50 (베어드홀 01213 (일반화학실험실)-장상목)
목 15:00-15:50 (베어드홀 01213 (일반화학실험실)-장상목)","전체학년 물리 ,산업정보 ,신소재 ,의생명시스템 ,전기 ,화공 ,화학"
,전기-화학,복선-화학/부선-화학,,5010197501,물리1및실험,,,,이순녀,화학과,4.0/3.0,0,25,"화 09:00-09:50 (조만식기념관 12214-이순녀)
화 10:00-10:50 (조만식기념관 12214-이순녀)
화 11:00-11:50 (숭덕경상관 02318-이순녀)
화 12:00-12:50 (숭덕경상관 02318-이순녀)",1학년 화학
,전기-화학,복선-화학/부선-화학,,5010197502,물리1및실험,,,,"이순녀
송현석",화학과,4.0/3.0,0,25,"화 09:00-09:50 (조만식기념관 12215 (물리실험실)-송현석)
화 10:00-10:50 (조만식기념관 12215 (물리실험실)-송현석)
화 11:00-11:50 (숭덕경상관 02318-이순녀)
화 12:00-12:50 (숭덕경상관 02318-이순녀)",1학년 화학
,전기-화학,복선-화학/부선-화학,,2150604801,미적분학1,,,,이은주,화학과,3.0/3.0,0,45,"목 12:00-13:15 (숭덕경상관 02318-이은주)
금 12:00-13:15 (조만식기념관 12311-이은주)",1학년 화학 (대상외수강제한)(대상외수강제한)
,전기-화학,복선-화학/부선-화학,,5010195801,화학1및실험,,,,남궁미옥,화학과,4.0/3.0,0,25,"수 12:00-12:50 (숭덕경상관 02318-남궁미옥)
수 13:00-13:50 (숭덕경상관 02318-남궁미옥)
수 14:00-14:50 (베어드홀 01213 (일반화학실험실)-남궁미옥)
수 15:00-15:50 (베어드홀 01213 (일반화학실험실)-남궁미옥)",1학년 화학
,전기-화학,복선-화학/부선-화학,,5010195802,화학1및실험,,,,"남궁미옥
강원철",화학과,4.0/3.0,0,25,"수 12:00-12:50 (숭덕경상관 02318-남궁미옥)
수 13:00-13:50 (숭덕경상관 02318-남궁미옥)
수 14:00-14:50 (베어드홀 01214 (일반화학실험실)-강원철)
수 15:00-15:50 (베어드홀 01214 (일반화학실험실)-강원철)",1학년 화학
,전필-화학,복선-화학/부선-화학/융선-인공지능반도체융합,,2150145701,물리화학1,,,,강위경,화학과,3.0/3.0,0,40,"월 12:00-13:15 (문화관 03308-강위경)
수 10:30-11:45 (문화관 03308-강위경)","2학년 화학, 인공지능반도체융합"
,전기-화학,,,2150329702,미적분학1,,영어, (공통-재수강),송윤정,수학과,3.0/3.0,0,40,"수 09:00-10:15 (숭덕경상관 02108-송윤정)
금 09:00-10:15 (조만식기념관 12311-송윤정)","2학년 수학, 물리, 화학, 통계보험, 의생명시스템
3학년 수학, 물리, 화학, 통계보험, 의생명시스템
4학년 수학, 물리, 화학, 통계보험, 의생명시스템
5학년 수학, 물리, 화학, 통계보험, 의생명시스템"
,전선-화학,복선-화학/부선-화학/융선-순환경제·친환경/융선-양자나노융합/융선-인공지능반도체융합,,2150152001,분석화학1,,,,신익수,화학과,3.0/3.0,0,40,"금 12:00-13:15 (숭덕경상관 02318-신익수)
금 13:30-14:45 (숭덕경상관 02318-신익수)","2학년 화학, 양자나노융합, 인공지능반도체융합, 순환경제·친환경화학소재"
,전필-화학,복필-화학/부선-화학,,2150355901,분석화학실험,,,,신익수,화학과,4.0/2.0,0,25,"금 15:00-15:50 (베어드홀 01108-신익수)
금 16:00-16:50 (베어드홀 01108-신익수)
금 17:00-17:50 (베어드홀 01108-신익수)
금 18:00-18:50 (베어드홀 01108-신익수)",2학년 화학
,전필-화학,복필-화학/부선-화학,,2150355902,분석화학실험,,,,남궁미옥,화학과,4.0/2.0,0,25,"목 11:00-11:50 (베어드홀 01108-남궁미옥)
목 12:00-12:50 (베어드홀 01108-남궁미옥)
목 13:00-13:50 (베어드홀 01108-남궁미옥)
목 14:00-14:50 (베어드홀 01108-남궁미옥)",2학년 화학
,전선-화학,복선-화학/부선-화학/융선-순환경제·친환경/융선-양자나노융합,,2150185201,유기화학1,,,,강성훈,화학과,3.0/3.0,0,40,월 수 15:00-16:15 (숭덕경상관 02318-강성훈),"2학년 화학, 양자나노융합, 순환경제·친환경화학소재"
,교직전공-화학,,,5032225701,과학교과교육론,교직전공(교과교육영역); 학점교류생 수강불가,,,박종찬,학사팀,3.0/3.0,0,40,화 18:00-20:45 (조만식기념관 12201-박종찬),"3학년 ;교직이수자 ,물리 ,화학
4학년 ;교직이수자 ,물리 ,화학"
,교직전공-화학,,,2150694301,과학교과논리및논술,교직전공(교과교육영역); 학점교류생 수강불가,,,,학사팀,3.0/2.0,0,40,월 18:00-20:45 (조만식기념관 12201-),"3학년 ;교직이수자 ,물리 ,화학
4학년 ;교직이수자 ,물리 ,화학"
,전선-화학,복선-화학/부선-화학/융선-순환경제·친환경/융선-양자나노융합,,2150580801,기초생화학,,,,양진국,화학과,3.0/3.0,0,40,월 수 09:00-10:15 (숭덕경상관 02318-양진국),"3학년 화학, 양자나노융합, 순환경제·친환경화학소재"
,전선-화학,복선-화학/부선-화학,,2150399001,나노재료AI전산실험,,EL+,,김자헌,화학과,4.0/2.0,0,25,"화 15:00-15:50 (베어드홀 01101-3(자연과학 융합실습실)-김자헌)
화 16:00-16:50 (베어드홀 01101-3(자연과학 융합실습실)-김자헌)
화 17:00-17:50 (베어드홀 01101-3(자연과학 융합실습실)-김자헌)
화 18:00-18:50 (베어드홀 01101-3(자연과학 융합실습실)-김자헌)",3학년 화학
,전선-화학,복선-화학/부선-화학,,2150399002,나노재료AI전산실험,,EL+,,김자헌,화학과,4.0/2.0,0,25,"수 15:00-15:50 (베어드홀 01101-3(자연과학 융합실습실)-김자헌)
수 16:00-16:50 (베어드홀 01101-3(자연과학 융합실습실)-김자헌)
수 17:00-17:50 (베어드홀 01101-3(자연과학 융합실습실)-김자헌)
수 18:00-18:50 (베어드홀 01101-3(자연과학 융합실습실)-김자헌)",3학년 화학
,전선-화학,복선-화학/부선-화학/융선-순환경제·친환경,,2150140401,무기화학,,,,김자헌,화학과,3.0/3.0,0,40,수 목 10:30-11:45 (숭덕경상관 02318-김자헌),"3학년 화학, 순환경제·친환경화학소재"
,전선-화학,복선-화학/부선-화학/융선-양자나노융합,,2150235101,물리화학3,,,,신권수,화학과,3.0/3.0,0,40,"월 10:30-11:45 (숭덕경상관 02318-신권수)
목 13:30-14:45 (숭덕경상관 02318-신권수)","3학년 화학,양자나노융합"
,전선-화학,복선-화학/부선-화학,,2150185101,분자설계및합성,,,,전근호,화학과,3.0/3.0,0,40,월 화 13:30-14:45 (숭덕경상관 02318-전근호),3학년 화학
,전선-화학,복선-화학/부선-화학,,2150615001,단백질생화학,,EL+,,강원철,화학과,3.0/3.0,0,40,"목 15:00-16:15 (숭덕경상관 02318-강원철)
금 16:30-17:45 (숭덕경상관 02318-강원철)",4학년 화학
,전선-화학,복선-화학/부선-화학,,2150175101,양자나노분광응용,,,,주상우,화학과,3.0/3.0,0,30,화 수 12:00-13:15 (베어드홀 01101-3(자연과학 융합실습실)-주상우),4학년 화학
,전선-화학,복선-화학/부선-화학,,2150145101,의약화학,,,,김종훈,화학과,3.0/3.0,0,40,"월 15:00-16:15 (진리관 11516-김종훈)
수 13:30-14:45 (진리관 11402-김종훈)",4학년 화학
,전선-화학,복선-화학/부선-화학,,2150077101,창의적문제해결(캡스톤디자인),,,,김자헌,화학과,3.0/3.0,0,30,"월 16:30-17:45 (베어드홀 01101-3(자연과학 융합실습실)-김자헌)
월 18:00-19:15 (베어드홀 01101-3(자연과학 융합실습실)-김자헌)",4학년 화학
